dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,threshold,accuracy,precision,recall,f1,mcc
10,2,1,entropy,0.1,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.2,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.30000000000000004,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.4,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.5,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.6,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.7000000000000001,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.8,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,entropy,0.9,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,1,gini,0.1,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.2,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.30000000000000004,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.4,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.5,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.6,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.7000000000000001,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.8,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,1,gini,0.9,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,2,2,entropy,0.1,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,2,entropy,0.2,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,2,entropy,0.30000000000000004,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,2,entropy,0.4,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,2,entropy,0.5,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,2,2,entropy,0.6,0.9516031457955233,0.8739393939393938,0.8222222222222222,0.8378070175438597,0.8164457103869902
10,2,2,entropy,0.7000000000000001,0.9516031457955233,0.8739393939393938,0.8222222222222222,0.8378070175438597,0.8164457103869902
10,2,2,entropy,0.8,0.9516031457955233,0.8739393939393938,0.8222222222222222,0.8378070175438597,0.8164457103869902
10,2,2,entropy,0.9,0.9516031457955233,0.8739393939393938,0.8222222222222222,0.8378070175438597,0.8164457103869902
10,2,2,gini,0.1,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,2,2,gini,0.2,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,2,2,gini,0.30000000000000004,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,2,2,gini,0.4,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,2,2,gini,0.5,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,2,2,gini,0.6,0.9481548699334542,0.8942857142857144,0.8222222222222222,0.826681042070058,0.8173200470435852
10,2,2,gini,0.7000000000000001,0.9481548699334542,0.8942857142857144,0.8222222222222222,0.826681042070058,0.8173200470435852
10,2,2,gini,0.8,0.9481548699334542,0.8942857142857144,0.8222222222222222,0.826681042070058,0.8173200470435852
10,2,2,gini,0.9,0.9481548699334542,0.8942857142857144,0.8222222222222222,0.826681042070058,0.8173200470435852
10,5,1,entropy,0.1,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,1,entropy,0.2,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,1,entropy,0.30000000000000004,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,1,entropy,0.4,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,1,entropy,0.5,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,1,entropy,0.6,0.9481548699334542,0.8737012987012986,0.8,0.8297058823529412,0.8041116004976496
10,5,1,entropy,0.7000000000000001,0.9481548699334542,0.8737012987012986,0.8,0.8297058823529412,0.8041116004976496
10,5,1,entropy,0.8,0.9481548699334542,0.8737012987012986,0.8,0.8297058823529412,0.8041116004976496
10,5,1,entropy,0.9,0.9481548699334542,0.8737012987012986,0.8,0.8297058823529412,0.8041116004976496
10,5,1,gini,0.1,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.2,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.30000000000000004,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.4,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.5,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.6,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.7000000000000001,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.8,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,1,gini,0.9,0.9481548699334542,0.8742857142857143,0.8444444444444444,0.8425514874141877,0.8236156269054682
10,5,2,entropy,0.1,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,2,entropy,0.2,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,2,entropy,0.30000000000000004,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,2,entropy,0.4,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,2,entropy,0.5,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
10,5,2,entropy,0.6,0.9447065940713854,0.8689393939393939,0.7777777777777778,0.8130392156862744,0.7877027382899808
10,5,2,entropy,0.7000000000000001,0.9447065940713854,0.8689393939393939,0.7777777777777778,0.8130392156862744,0.7877027382899808
10,5,2,entropy,0.8,0.9447065940713854,0.8689393939393939,0.7777777777777778,0.8130392156862744,0.7877027382899808
10,5,2,entropy,0.9,0.9447065940713854,0.8689393939393939,0.7777777777777778,0.8130392156862744,0.7877027382899808
10,5,2,gini,0.1,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,5,2,gini,0.2,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,5,2,gini,0.30000000000000004,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,5,2,gini,0.4,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,5,2,gini,0.5,0.9550514216575923,0.8942857142857144,0.8666666666666666,0.8636041189931349,0.8488282525684043
10,5,2,gini,0.6,0.9412583182093164,0.8892857142857142,0.7777777777777778,0.8019132402124729,0.7885770749465758
10,5,2,gini,0.7000000000000001,0.9412583182093164,0.8892857142857142,0.7777777777777778,0.8019132402124729,0.7885770749465758
10,5,2,gini,0.8,0.9412583182093164,0.8892857142857142,0.7777777777777778,0.8019132402124729,0.7885770749465758
10,5,2,gini,0.9,0.9412583182093164,0.8892857142857142,0.7777777777777778,0.8019132402124729,0.7885770749465758
20,2,1,entropy,0.1,0.9550514216575923,0.8787012987012985,0.8444444444444444,0.8544736842105263,0.832854572594659
