rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,fold,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,1,0.1,0.7241379310344828,0.36,1.0,0.5294117647058824,0.49239108398897385
50,10,5,2,gini,1,0.2,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
50,10,5,2,gini,1,0.30000000000000004,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
50,10,5,2,gini,1,0.4,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,10,5,2,gini,1,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
50,10,5,2,gini,1,0.6,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
50,10,5,2,gini,1,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
50,10,5,2,gini,1,0.8,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,10,5,2,gini,1,0.9,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,10,5,2,gini,2,0.1,0.7586206896551724,0.391304347826087,1.0,0.5625,0.528680532637681
50,10,5,2,gini,2,0.2,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
50,10,5,2,gini,2,0.30000000000000004,0.8793103448275862,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6039867765859692
50,10,5,2,gini,2,0.4,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
50,10,5,2,gini,2,0.5,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
50,10,5,2,gini,2,0.6,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
50,10,5,2,gini,2,0.7000000000000001,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
50,10,5,2,gini,2,0.8,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,10,5,2,gini,2,0.9,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,10,5,2,gini,3,0.1,0.6724137931034483,0.3076923076923077,0.8888888888888888,0.45714285714285713,0.3797054914636985
50,10,5,2,gini,3,0.2,0.8103448275862069,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.5359464517499496
50,10,5,2,gini,3,0.30000000000000004,0.8620689655172413,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6168743975838902
50,10,5,2,gini,3,0.4,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
50,10,5,2,gini,3,0.5,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,10,5,2,gini,3,0.6,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
50,10,5,2,gini,3,0.7000000000000001,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
50,10,5,2,gini,3,0.8,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
