rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,entropy,0.1,0.7220810647307925,0.3646946007515723,1.0,0.533163171660625,0.4944958160614271
50,10,5,2,entropy,0.2,0.8332123411978222,0.4890914786967418,0.9333333333333332,0.6396190476190476,0.595364993179147
50,10,5,2,entropy,0.30000000000000004,0.8957652752571083,0.6362237762237762,0.888888888888889,0.734481658692185,0.6932002720690117
50,10,5,2,entropy,0.4,0.9410768300060497,0.7709090909090909,0.888888888888889,0.8252631578947367,0.7932929531928764
50,10,5,2,entropy,0.5,0.9444646098003631,0.7977777777777778,0.8666666666666666,0.8304093567251462,0.7985398716128622
50,10,5,2,entropy,0.6,0.951361161524501,0.9019841269841269,0.7777777777777778,0.8334967320261437,0.8094284433860072
50,10,5,2,entropy,0.7000000000000001,0.9339987900786448,0.9016666666666666,0.6444444444444445,0.7473249299719888,0.7268335295473327
50,10,5,2,entropy,0.8,0.9062915910465819,0.95,0.4222222222222222,0.567892107892108,0.5882519035366152
50,10,5,2,entropy,0.9,0.8679975801572898,1.0,0.15555555555555553,0.26,0.3560555521450242
50,10,5,2,gini,0.1,0.6977011494252874,0.340534963287587,0.9777777777777779,0.5045477664750111,0.4565388088752747
50,10,5,2,gini,0.2,0.836660617059891,0.4946031746031746,0.9333333333333332,0.6445185185185185,0.6004850001500739
50,10,5,2,gini,0.30000000000000004,0.8818511796733212,0.591864801864802,0.888888888888889,0.7054545454545454,0.6609226902685277
50,10,5,2,gini,0.4,0.9410768300060497,0.7690909090909092,0.888888888888889,0.8242105263157894,0.7923740140382691
50,10,5,2,gini,0.5,0.9515426497277677,0.8527777777777779,0.8444444444444444,0.8465084279325765,0.8192298253855157
50,10,5,2,gini,0.6,0.9444041137326075,0.8984126984126984,0.7333333333333333,0.8037908496732026,0.7796399129210317
50,10,5,2,gini,0.7000000000000001,0.9339987900786448,0.9333333333333333,0.6222222222222222,0.7445238095238096,0.728964774123934
50,10,5,2,gini,0.8,0.9062915910465821,1.0,0.4,0.5584415584415584,0.5926062754109382
50,10,5,2,gini,0.9,0.8713853599516032,1.0,0.17777777777777776,0.28545454545454546,0.34709461290508936
50,10,5,5,entropy,0.1,0.5797943133696309,0.2702573509192491,0.9777777777777779,0.42281908478424013,0.35670156550333665
50,10,5,5,entropy,0.2,0.8191167574107683,0.4705065359477124,0.9333333333333332,0.6226863506863507,0.5769524352051526
50,10,5,5,entropy,0.30000000000000004,0.8609800362976406,0.5388394062078273,0.888888888888889,0.6679653679653679,0.6193430936235348
50,10,5,5,entropy,0.4,0.9132486388384755,0.6797435897435898,0.888888888888889,0.7656299840510367,0.7273743874338525
50,10,5,5,entropy,0.5,0.9339987900786448,0.7902164502164502,0.8,0.7907017543859649,0.7546537240255685
50,10,5,5,entropy,0.6,0.9373865698729583,0.8484126984126984,0.7333333333333333,0.784967320261438,0.752422021008682
50,10,5,5,entropy,0.7000000000000001,0.930550514216576,0.9666666666666666,0.5777777777777777,0.7144871794871795,0.7124591451509994
50,10,5,5,entropy,0.8,0.8958257713248639,1.0,0.3333333333333333,0.49160839160839165,0.5391574967318689
50,10,5,5,entropy,0.9,0.8644888082274651,1.0,0.13333333333333333,0.2254545454545455,0.29991627071884486
50,10,5,5,gini,0.1,0.5519056261343012,0.2625,1.0,0.41485622391545734,0.35057307443188945
50,10,5,5,gini,0.2,0.8122807017543859,0.4572426377110722,0.9333333333333332,0.6117657712657713,0.5652571827196593
50,10,5,5,gini,0.30000000000000004,0.854204476709014,0.520952380952381,0.888888888888889,0.6557971014492754,0.6052708690974853
50,10,5,5,gini,0.4,0.9133091349062312,0.6804972804972805,0.8666666666666666,0.7588455988455989,0.7175377717570931
50,10,5,5,gini,0.5,0.9444041137326075,0.8305555555555555,0.8222222222222222,0.8242862057103544,0.7927520583491127
50,10,5,5,gini,0.6,0.9374470659407137,0.8845238095238095,0.6888888888888889,0.7730392156862745,0.746194963217145
50,10,5,5,gini,0.7000000000000001,0.9235934664246823,0.9314285714285713,0.5555555555555556,0.6842857142857144,0.678866871204078
50,10,5,5,gini,0.8,0.9062915910465821,1.0,0.4,0.5659340659340659,0.5970794692189005
50,10,5,5,gini,0.9,0.8610405323653962,1.0,0.11111111111111112,0.19272727272727272,0.2735360703463939
50,10,10,2,entropy,0.1,0.6768300060496067,0.3300759585242344,1.0,0.4952563226247436,0.4512448244273826
50,10,10,2,entropy,0.2,0.8366001209921354,0.5048412698412699,0.9333333333333332,0.6500731957253696,0.6066602296684205
50,10,10,2,entropy,0.30000000000000004,0.8889292196007259,0.6198135198135197,0.888888888888889,0.7223604465709729,0.6799802072596659
50,10,10,2,entropy,0.4,0.9340592861464005,0.7457342657342657,0.888888888888889,0.8088995215311006,0.7755206387489405
50,10,10,2,entropy,0.5,0.951482153660012,0.8705555555555555,0.8222222222222222,0.8426298589611283,0.8165399670597455
50,10,10,2,entropy,0.6,0.961826981246219,0.9277777777777778,0.8222222222222222,0.8704248366013072,0.8511927678305587
50,10,10,2,entropy,0.7000000000000001,0.927102238354507,0.8933333333333333,0.6,0.715952380952381,0.6950322819559634
50,10,10,2,entropy,0.8,0.9166969147005444,1.0,0.4666666666666666,0.625934065934066,0.6466257763659239
50,10,10,2,entropy,0.9,0.8645493042952207,1.0,0.13333333333333333,0.23272727272727273,0.33525741033123063
50,10,10,2,gini,0.1,0.6698729582577132,0.32560023041474656,1.0,0.49007543737816334,0.44517404154139306
50,10,10,2,gini,0.2,0.8332728372655778,0.4847712418300653,0.9333333333333332,0.6371179880145397,0.5928760532170056
50,10,10,2,gini,0.30000000000000004,0.8854204476709014,0.5945270415858651,0.888888888888889,0.7096266052787792,0.6647487130155569
50,10,10,2,gini,0.4,0.927102238354507,0.7266666666666667,0.8666666666666666,0.7889724310776942,0.7508039244205283
50,10,10,2,gini,0.5,0.951482153660012,0.8705555555555555,0.8222222222222222,0.8426298589611283,0.8165399670597455
50,10,10,2,gini,0.6,0.9444041137326075,0.9142857142857143,0.711111111111111,0.798235294117647,0.7759028563355171
50,10,10,2,gini,0.7000000000000001,0.9305505142165759,0.9266666666666665,0.6,0.7254761904761905,0.7111214377609689
50,10,10,2,gini,0.8,0.9132486388384755,1.0,0.4444444444444445,0.5986613386613386,0.6258276345521303
50,10,10,2,gini,0.9,0.8679370840895342,1.0,0.15555555555555553,0.2581818181818182,0.3262964710912958
50,10,10,5,entropy,0.1,0.5797943133696309,0.2702573509192491,0.9777777777777779,0.42281908478424013,0.35670156550333665
50,10,10,5,entropy,0.2,0.8191167574107683,0.4705065359477124,0.9333333333333332,0.6226863506863507,0.5769524352051526
50,10,10,5,entropy,0.30000000000000004,0.8609800362976406,0.5388394062078273,0.888888888888889,0.6679653679653679,0.6193430936235348
50,10,10,5,entropy,0.4,0.9132486388384755,0.6797435897435898,0.888888888888889,0.7656299840510367,0.7273743874338525
50,10,10,5,entropy,0.5,0.9339987900786448,0.7902164502164502,0.8,0.7907017543859649,0.7546537240255685
50,10,10,5,entropy,0.6,0.9373865698729583,0.8484126984126984,0.7333333333333333,0.784967320261438,0.752422021008682
50,10,10,5,entropy,0.7000000000000001,0.930550514216576,0.9666666666666666,0.5777777777777777,0.7144871794871795,0.7124591451509994
50,10,10,5,entropy,0.8,0.8958257713248639,1.0,0.3333333333333333,0.49160839160839165,0.5391574967318689
50,10,10,5,entropy,0.9,0.8644888082274651,1.0,0.13333333333333333,0.2254545454545455,0.29991627071884486
50,10,10,5,gini,0.1,0.5519056261343012,0.2625,1.0,0.41485622391545734,0.35057307443188945
50,10,10,5,gini,0.2,0.8122807017543859,0.4572426377110722,0.9333333333333332,0.6117657712657713,0.5652571827196593
50,10,10,5,gini,0.30000000000000004,0.854204476709014,0.520952380952381,0.888888888888889,0.6557971014492754,0.6052708690974853
50,10,10,5,gini,0.4,0.9133091349062312,0.6804972804972805,0.8666666666666666,0.7588455988455989,0.7175377717570931
50,10,10,5,gini,0.5,0.9444041137326075,0.8305555555555555,0.8222222222222222,0.8242862057103544,0.7927520583491127
50,10,10,5,gini,0.6,0.9374470659407137,0.8845238095238095,0.6888888888888889,0.7730392156862745,0.746194963217145
50,10,10,5,gini,0.7000000000000001,0.9235934664246823,0.9314285714285713,0.5555555555555556,0.6842857142857144,0.678866871204078
50,10,10,5,gini,0.8,0.9062915910465821,1.0,0.4,0.5659340659340659,0.5970794692189005
