pca__n_components,kernel,C,fold,threshold,accuracy,precision,recall,f1,mcc
150,linear,0.01,1,0.1,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
150,linear,0.01,1,0.2,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
150,linear,0.01,1,0.30000000000000004,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,1,0.4,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,1,0.6,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,1,0.7000000000000001,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,1,0.8,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,1,0.9,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.01,2,0.1,0.7666666666666667,0.4,0.8,0.5333333333333333,0.44271887242357305
150,linear,0.01,2,0.2,0.85,0.5333333333333333,0.8,0.64,0.5680375574437544
150,linear,0.01,2,0.30000000000000004,0.8833333333333333,0.6363636363636364,0.7,0.6666666666666666,0.5971484496103001
150,linear,0.01,2,0.4,0.9166666666666666,0.7777777777777778,0.7,0.7368421052631579,0.6888467201936644
150,linear,0.01,2,0.5,0.8833333333333333,0.7142857142857143,0.5,0.5882352941176471,0.5340179792444579
150,linear,0.01,2,0.6,0.8833333333333333,0.7142857142857143,0.5,0.5882352941176471,0.5340179792444579
150,linear,0.01,2,0.7000000000000001,0.85,0.6,0.3,0.4,0.3505839284808859
150,linear,0.01,2,0.8,0.85,0.6,0.3,0.4,0.3505839284808859
150,linear,0.01,2,0.9,0.8666666666666667,1.0,0.2,0.3333333333333333,0.41522739926869984
150,linear,0.01,3,0.1,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421,0.5636018619766345
150,linear,0.01,3,0.2,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
150,linear,0.01,3,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
150,linear,0.01,3,0.4,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,linear,0.01,3,0.5,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,linear,0.01,3,0.6,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,linear,0.01,3,0.7000000000000001,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,linear,0.01,3,0.8,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,linear,0.01,3,0.9,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
150,linear,0.01,4,0.1,0.8833333333333333,0.5625,1.0,0.72,0.696630546019236
150,linear,0.01,4,0.2,0.95,0.75,1.0,0.8571428571428571,0.8401680504168058
150,linear,0.01,4,0.30000000000000004,0.9666666666666667,0.8181818181818182,1.0,0.9,0.886620694933573
150,linear,0.01,4,0.4,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
150,linear,0.01,4,0.5,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
150,linear,0.01,4,0.6,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
150,linear,0.01,4,0.7000000000000001,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
150,linear,0.01,4,0.8,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
150,linear,0.01,4,0.9,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
150,linear,0.01,5,0.1,0.65,0.2857142857142857,0.8888888888888888,0.43243243243243246,0.35552856456843185
150,linear,0.01,5,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
150,linear,0.01,5,0.30000000000000004,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
150,linear,0.01,5,0.4,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
150,linear,0.01,5,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,linear,0.01,5,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,linear,0.01,5,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,linear,0.01,5,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,linear,0.01,5,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,linear,0.1,1,0.1,0.6721311475409836,0.2222222222222222,0.4,0.2857142857142857,0.10186486303790311
150,linear,0.1,1,0.2,0.8032786885245902,0.375,0.3,0.3333333333333333,0.22149769358819713
150,linear,0.1,1,0.30000000000000004,0.819672131147541,0.42857142857142855,0.3,0.35294117647058826,0.2573637971418306
150,linear,0.1,1,0.4,0.8360655737704918,0.5,0.3,0.375,0.29982169389212354
150,linear,0.1,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.1,1,0.6,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.1,1,0.7000000000000001,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.1,1,0.8,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.1,1,0.9,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,linear,0.1,2,0.1,0.6,0.28125,0.9,0.42857142857142855,0.3286878675669582
150,linear,0.1,2,0.2,0.7666666666666667,0.3888888888888889,0.7,0.5,0.39036002917941326
150,linear,0.1,2,0.30000000000000004,0.8333333333333334,0.5,0.7,0.5833333333333334,0.493435163795169
150,linear,0.1,2,0.4,0.85,0.5384615384615384,0.7,0.6086956521739131,0.5246774396826565
150,linear,0.1,2,0.5,0.85,0.5454545454545454,0.6,0.5714285714285714,0.4815713303308872
150,linear,0.1,2,0.6,0.8,0.375,0.3,0.3333333333333333,0.2192645048267573
