Model,Best Accuracy,Best Precision,Best Recall,Best F1 Score,Best MCC Score,Best Parameters
Decision Tree,0.919265537,0.703571429,0.866666667,0.765080336,0.731846084,"{'dt__max_depth': 20, 'dt__min_samples_split': 10, 'dt__min_samples_leaf': 2, 'dt__criterion': 'entropy', 'dt__max_features': 'sqrt', 'threshold': 0.4, 'accuracy': 0.9192655367231636, 'precision': 0.7035714285714285, 'recall': 0.8666666666666666, 'f1': 0.7650803362743058, 'mcc': 0.7318460839423182}"
Decision Tree,0.919265537,0.703571429,0.866666667,0.765080336,0.731846084,"{'dt__max_depth': 20, 'dt__min_samples_split': 10, 'dt__min_samples_leaf': 2, 'dt__criterion': 'entropy', 'dt__max_features': 'sqrt', 'threshold': 0.4, 'accuracy': 0.9192655367231636, 'precision': 0.7035714285714285, 'recall': 0.8666666666666666, 'f1': 0.7650803362743058, 'mcc': 0.7318460839423182}"
Decision Tree,0.919265537,0.703571429,0.866666667,0.765080336,0.731846084,"{'dt__max_depth': 20, 'dt__min_samples_split': 10, 'dt__min_samples_leaf': 2, 'dt__criterion': 'entropy', 'dt__max_features': 'sqrt', 'threshold': 0.4, 'accuracy': 0.9192655367231636, 'precision': 0.7035714285714285, 'recall': 0.8666666666666666, 'f1': 0.7650803362743058, 'mcc': 0.7318460839423182}"
Random Forest,0.956384181,0.862777778,0.841666667,0.850610595,0.826196286,"{'rf__n_estimators': 200, 'rf__max_depth': 20, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__criterion': 'entropy', 'threshold': 0.5, 'accuracy': 0.9563841807909604, 'precision': 0.8627777777777779, 'recall': 0.8416666666666666, 'f1': 0.8506105951152391, 'mcc': 0.8261962863067145}"
Random Forest,0.956384181,0.862777778,0.841666667,0.850610595,0.826196286,"{'rf__n_estimators': 200, 'rf__max_depth': 20, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__criterion': 'entropy', 'threshold': 0.5, 'accuracy': 0.9563841807909604, 'precision': 0.8627777777777779, 'recall': 0.8416666666666666, 'f1': 0.8506105951152391, 'mcc': 0.8261962863067145}"
Random Forest,0.956384181,0.862777778,0.841666667,0.850610595,0.826196286,"{'rf__n_estimators': 200, 'rf__max_depth': 20, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__criterion': 'entropy', 'threshold': 0.5, 'accuracy': 0.9563841807909604, 'precision': 0.8627777777777779, 'recall': 0.8416666666666666, 'f1': 0.8506105951152391, 'mcc': 0.8261962863067145}"
KNN,0.916045198,0.84,0.616666667,0.685583189,0.664656279,"{'pca__n_components': 180, 'n_neighbors': 11, 'weights': 'distance', 'metric': 'cosine', 'threshold': 0.7000000000000001, 'accuracy': 0.9160451977401132, 'precision': 0.8400000000000001, 'recall': 0.6166666666666666, 'f1': 0.6855831887410835, 'mcc': 0.6646562794909666}"
KNN,0.916045198,0.84,0.616666667,0.685583189,0.664656279,"{'pca__n_components': 180, 'n_neighbors': 11, 'weights': 'distance', 'metric': 'cosine', 'threshold': 0.7000000000000001, 'accuracy': 0.9160451977401132, 'precision': 0.8400000000000001, 'recall': 0.6166666666666666, 'f1': 0.6855831887410835, 'mcc': 0.6646562794909666}"
KNN,0.916045198,0.84,0.616666667,0.685583189,0.664656279,"{'pca__n_components': 180, 'n_neighbors': 11, 'weights': 'distance', 'metric': 'cosine', 'threshold': 0.7000000000000001, 'accuracy': 0.9160451977401132, 'precision': 0.8400000000000001, 'recall': 0.6166666666666666, 'f1': 0.6855831887410835, 'mcc': 0.6646562794909666}"
SVM,0.925988701,0.813852814,0.705555556,0.732726046,0.707261938,"{'pca__n_components': 180, 'kernel': 'rbf', 'C': 10.0, 'threshold': 0.3, 'accuracy': 0.9259887005649718, 'precision': 0.8138528138528137, 'recall': 0.7055555555555555, 'f1': 0.7327260458839406, 'mcc': 0.7072619382446337}"
SVM,0.925988701,0.813852814,0.705555556,0.732726046,0.707261938,"{'pca__n_components': 180, 'kernel': 'rbf', 'C': 10.0, 'threshold': 0.3, 'accuracy': 0.9259887005649718, 'precision': 0.8138528138528137, 'recall': 0.7055555555555555, 'f1': 0.7327260458839406, 'mcc': 0.7072619382446337}"
SVM,0.925988701,0.813852814,0.705555556,0.732726046,0.707261938,"{'pca__n_components': 180, 'kernel': 'rbf', 'C': 10.0, 'threshold': 0.3, 'accuracy': 0.9259887005649718, 'precision': 0.8138528138528137, 'recall': 0.7055555555555555, 'f1': 0.7327260458839406, 'mcc': 0.7072619382446337}"
XGB,0.926271186,0.841269841,0.638888889,0.713632479,0.688261053,"{'pca__n_components': 180.0, 'max_depth': 3.0, 'learning_rate': 0.5, 'n_estimators': 100.0, 'threshold': 0.5, 'accuracy': 0.926271186440678, 'precision': 0.8412698412698413, 'recall': 0.638888888888889, 'f1': 0.7136324786324787, 'mcc': 0.6882610532921365}"
XGB,0.926271186,0.841269841,0.638888889,0.713632479,0.688261053,"{'pca__n_components': 180.0, 'max_depth': 3.0, 'learning_rate': 0.5, 'n_estimators': 100.0, 'threshold': 0.5, 'accuracy': 0.926271186440678, 'precision': 0.8412698412698413, 'recall': 0.638888888888889, 'f1': 0.7136324786324787, 'mcc': 0.6882610532921365}"
XGB,0.926271186,0.841269841,0.638888889,0.713632479,0.688261053,"{'pca__n_components': 180.0, 'max_depth': 3.0, 'learning_rate': 0.5, 'n_estimators': 100.0, 'threshold': 0.5, 'accuracy': 0.926271186440678, 'precision': 0.8412698412698413, 'recall': 0.638888888888889, 'f1': 0.7136324786324787, 'mcc': 0.6882610532921365}"
