pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,uniform,cosine,1,0.1,0.8333333333333334,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5645244046440765
180,3,uniform,cosine,1,0.2,0.8333333333333334,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5645244046440765
180,3,uniform,cosine,1,0.30000000000000004,0.8333333333333334,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5645244046440765
180,3,uniform,cosine,1,0.4,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
180,3,uniform,cosine,1,0.5,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
180,3,uniform,cosine,1,0.6,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
180,3,uniform,cosine,1,0.7000000000000001,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
180,3,uniform,cosine,1,0.8,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
180,3,uniform,cosine,1,0.9,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
180,3,uniform,cosine,2,0.1,0.7333333333333333,0.3333333333333333,0.7777777777777778,0.4666666666666667,0.37675904400756577
180,3,uniform,cosine,2,0.2,0.7333333333333333,0.3333333333333333,0.7777777777777778,0.4666666666666667,0.37675904400756577
180,3,uniform,cosine,2,0.30000000000000004,0.7333333333333333,0.3333333333333333,0.7777777777777778,0.4666666666666667,0.37675904400756577
180,3,uniform,cosine,2,0.4,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
180,3,uniform,cosine,2,0.5,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
180,3,uniform,cosine,2,0.6,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
180,3,uniform,cosine,2,0.7000000000000001,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
180,3,uniform,cosine,2,0.8,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
180,3,uniform,cosine,2,0.9,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
180,3,uniform,cosine,3,0.1,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
180,3,uniform,cosine,3,0.2,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
180,3,uniform,cosine,3,0.30000000000000004,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
180,3,uniform,cosine,3,0.4,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
180,3,uniform,cosine,3,0.5,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
180,3,uniform,cosine,3,0.6,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
180,3,uniform,cosine,3,0.7000000000000001,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
180,3,uniform,cosine,3,0.8,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
