rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,fold,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,1,0.1,0.8166666666666667,0.45,1.0,0.6206896551724138,0.5940885257860046
50,10,5,2,gini,1,0.2,0.8833333333333333,0.5625,1.0,0.72,0.696630546019236
50,10,5,2,gini,1,0.30000000000000004,0.9333333333333333,0.6923076923076923,1.0,0.8181818181818182,0.79875468685558
50,10,5,2,gini,1,0.4,0.9333333333333333,0.7272727272727273,0.8888888888888888,0.8,0.7659920289562161
50,10,5,2,gini,1,0.5,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
50,10,5,2,gini,1,0.6,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
50,10,5,2,gini,1,0.7000000000000001,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
50,10,5,2,gini,1,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
50,10,5,2,gini,1,0.9,0.85,1.0,0.0,0.0,0.0
50,10,5,2,gini,2,0.1,0.7166666666666667,0.34615384615384615,1.0,0.5142857142857142,0.48038446141526137
50,10,5,2,gini,2,0.2,0.8333333333333334,0.47368421052631576,1.0,0.6428571428571429,0.617093958453955
50,10,5,2,gini,2,0.30000000000000004,0.9,0.6,1.0,0.75,0.727606875108999
50,10,5,2,gini,2,0.4,0.9333333333333333,0.7272727272727273,0.8888888888888888,0.8,0.7659920289562161
50,10,5,2,gini,2,0.5,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
50,10,5,2,gini,2,0.6,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
50,10,5,2,gini,2,0.7000000000000001,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
50,10,5,2,gini,2,0.8,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
50,10,5,2,gini,2,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
50,10,5,2,gini,3,0.1,0.75,0.36363636363636365,0.8888888888888888,0.5161290322580645,0.4552391741653151
50,10,5,2,gini,3,0.2,0.8,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5167534774045314
50,10,5,2,gini,3,0.30000000000000004,0.9,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6854561497129446
50,10,5,2,gini,3,0.4,0.9333333333333333,0.7272727272727273,0.8888888888888888,0.8,0.7659920289562161
50,10,5,2,gini,3,0.5,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
50,10,5,2,gini,3,0.6,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
50,10,5,2,gini,3,0.7000000000000001,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
50,10,5,2,gini,3,0.8,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
50,10,5,2,gini,3,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
50,10,5,2,gini,4,0.1,0.7966101694915254,0.42857142857142855,1.0,0.6,0.5707138387268051
50,10,5,2,gini,4,0.2,0.864406779661017,0.5294117647058824,1.0,0.6923076923076923,0.6668627162714535
50,10,5,2,gini,4,0.30000000000000004,0.8983050847457628,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6843393361600509
50,10,5,2,gini,4,0.4,0.9491525423728814,0.875,0.7777777777777778,0.8235294117647058,0.7958258477559189
50,10,5,2,gini,4,0.5,0.9491525423728814,0.875,0.7777777777777778,0.8235294117647058,0.7958258477559189
50,10,5,2,gini,4,0.6,0.9322033898305084,0.8571428571428571,0.6666666666666666,0.75,0.7190118371612682
50,10,5,2,gini,4,0.7000000000000001,0.9152542372881356,1.0,0.4444444444444444,0.6153846153846154,0.6356417261637282
50,10,5,2,gini,4,0.8,0.9152542372881356,1.0,0.4444444444444444,0.6153846153846154,0.6356417261637282
50,10,5,2,gini,4,0.9,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
50,10,5,2,gini,5,0.1,0.6610169491525424,0.2857142857142857,1.0,0.4444444444444444,0.41673668879415315
50,10,5,2,gini,5,0.2,0.847457627118644,0.47058823529411764,1.0,0.64,0.6225297202504919
50,10,5,2,gini,5,0.30000000000000004,0.9322033898305084,0.6666666666666666,1.0,0.8,0.7838233761296739
50,10,5,2,gini,5,0.4,0.9152542372881356,0.6363636363636364,0.875,0.7368421052631579,0.7002229135349218
50,10,5,2,gini,5,0.5,0.9322033898305084,0.7,0.875,0.7777777777777778,0.7447596033262671
50,10,5,2,gini,5,0.6,0.9322033898305084,0.75,0.75,0.75,0.7107843137254902
50,10,5,2,gini,5,0.7000000000000001,0.9661016949152542,1.0,0.75,0.8571428571428571,0.8495281709322812
50,10,5,2,gini,5,0.8,0.9322033898305084,1.0,0.5,0.6666666666666666,0.6809084840390547
50,10,5,2,gini,5,0.9,0.864406779661017,1.0,0.0,0.0,0.0
50,10,5,2,entropy,1,0.1,0.8166666666666667,0.45,1.0,0.6206896551724138,0.5940885257860046
50,10,5,2,entropy,1,0.2,0.8833333333333333,0.5625,1.0,0.72,0.696630546019236
50,10,5,2,entropy,1,0.30000000000000004,0.9333333333333333,0.6923076923076923,1.0,0.8181818181818182,0.79875468685558
50,10,5,2,entropy,1,0.4,0.9333333333333333,0.6923076923076923,1.0,0.8181818181818182,0.79875468685558
50,10,5,2,entropy,1,0.5,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
50,10,5,2,entropy,1,0.6,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
50,10,5,2,entropy,1,0.7000000000000001,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
50,10,5,2,entropy,1,0.8,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
50,10,5,2,entropy,1,0.9,0.85,1.0,0.0,0.0,0.0
