pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,0.01,100,1,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
180,3,0.01,100,1,0.2,0.16666666666666666,0.15254237288135594,1.0,0.2647058823529412,0.054690281762322934
180,3,0.01,100,1,0.30000000000000004,0.55,0.21875,0.7777777777777778,0.34146341463414637,0.20583232685540792
180,3,0.01,100,1,0.4,0.7833333333333333,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.43797817080236756
180,3,0.01,100,1,0.5,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
180,3,0.01,100,1,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
180,3,0.01,100,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
180,3,0.01,100,1,0.8,0.85,1.0,0.0,0.0,0.0
180,3,0.01,100,1,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,100,2,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
180,3,0.01,100,2,0.2,0.18333333333333332,0.15517241379310345,1.0,0.26865671641791045,0.07800764512385157
180,3,0.01,100,2,0.30000000000000004,0.5333333333333333,0.22857142857142856,0.8888888888888888,0.36363636363636365,0.26035958758213296
180,3,0.01,100,2,0.4,0.6833333333333333,0.2727272727272727,0.6666666666666666,0.3870967741935484,0.26152037664815975
180,3,0.01,100,2,0.5,0.8166666666666667,0.4,0.4444444444444444,0.42105263157894735,0.31311214554257477
180,3,0.01,100,2,0.6,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
180,3,0.01,100,2,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
180,3,0.01,100,2,0.8,0.85,1.0,0.0,0.0,0.0
180,3,0.01,100,2,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,100,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
180,3,0.01,100,3,0.2,0.21666666666666667,0.16071428571428573,1.0,0.27692307692307694,0.11227217828476796
180,3,0.01,100,3,0.30000000000000004,0.5666666666666667,0.24242424242424243,0.8888888888888888,0.38095238095238093,0.28615800206850767
180,3,0.01,100,3,0.4,0.75,0.3125,0.5555555555555556,0.4,0.2744302150984869
180,3,0.01,100,3,0.5,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
180,3,0.01,100,3,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
180,3,0.01,100,3,0.7000000000000001,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
180,3,0.01,100,3,0.8,0.85,1.0,0.0,0.0,0.0
180,3,0.01,100,3,0.9,0.85,1.0,0.0,0.0,0.0
