Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
equal Decision Tree,5-fold,0.6862745098039216,0.6565168165168165,0.8444444444444443,0.7274242424242423,0.4039940487578605,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}"
equal KNN,5-fold,0.7294117647058823,0.8761904761904763,0.5555555555555556,0.6666666666666666,0.5037701173300855,"{'pca_n_components': 65, 'n_neighbors': 7, 'metric': 'euclidean', 'weights': 'distance'}"
equal Random Forest,5-fold,0.8209150326797385,0.8806349206349207,0.7555555555555554,0.8061988304093568,0.6572794638679582,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 5, 'criterion': 'entropy'}"
equal SVM,5-fold,0.84248366,0.8978571428571428,0.7777777777777778,0.8274148606811146,0.6995734256902948,"{'pca_n_components': 50, 'C': 0.01, 'kernel': 'linear'}"
equal XGBoost,5-fold,0.7677777777777778,0.7999999999999999,0.7728444085490794,0.772844409,0.5221696269663778,"{'pca_n_components': 0.1, 'learning_rate': 3.0, 'max_depth': 200.0, 'n_estimators': 0.7633986928104575}"
not equal Decision Tree,5-fold,0.8715668481548701,0.6016666666666668,0.5333333333333333,0.5576057791537667,0.4894531924416285,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}"
not equal KNN,5-fold,0.8889292196007259,0.8699999999999999,0.3555555555555555,0.4936063936063936,0.5050942905498512,"{'pca_n_components': 180, 'n_neighbors': 3, 'metric': 'euclidean', 'weights': 'distance'}"
not equal Random Forest,5-fold,0.8886872353297036,1,0.2888888888888888,0.4188811188811189,0.4510881119035702,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'entropy'}"
not equal SVM,5-fold,0.920084694,0.8619841269841271,0.6,0.684547152,0.6681943208174079,"{'pca_n_components': 180, 'C': 100.0, 'kernel': 'rbf'}"
not equal XGBoost,5-fold,0.91,0.4444444444444445,0.5609167303284951,0.5755240249770524,0.6648022402778224,"{'pca_n_components': 0.1, 'learning_rate': 3.0, 'max_depth': 200.0, 'n_estimators': 0.902843315184513}"
