criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,10,2,1,None,0.8333333333333334,0.8441919191919192,0.8444444444444444,0.8316900093370683,0.6876627092792106,1.8407718333325143
gini,10,5,1,None,0.8333333333333334,0.8441919191919192,0.8444444444444444,0.8316900093370683,0.6876627092792106,1.8407720299993848
gini,10,10,1,None,0.8444444444444444,0.8636363636363636,0.8444444444444444,0.8408403361344539,0.7107156768180869,1.8407721177778311
gini,10,2,2,None,0.8222222222222223,0.8247474747474748,0.8444444444444444,0.8225396825396825,0.6646097417403343,1.8407721822214727
gini,10,5,2,None,0.8333333333333334,0.8441919191919192,0.8444444444444444,0.8316900093370683,0.6876627092792106,1.8407722466664078
gini,10,10,2,None,0.8444444444444444,0.8636363636363636,0.8444444444444444,0.8408403361344539,0.7107156768180869,1.8407723100002233
gini,10,2,5,None,0.8444444444444444,0.8772727272727273,0.8222222222222223,0.8322689075630253,0.7114525059761695,1.8407723699993868
gini,10,5,5,None,0.8444444444444444,0.8772727272727273,0.8222222222222223,0.8322689075630253,0.7114525059761695,1.8407724333332023
gini,10,10,5,None,0.8444444444444444,0.8772727272727273,0.8222222222222223,0.8322689075630253,0.7114525059761695,1.840772492221246
gini,10,2,10,None,0.8,0.8153030303030304,0.7777777777777778,0.7876367389060888,0.6115965876016658,1.8407725533328225
gini,10,5,10,None,0.8,0.8153030303030304,0.7777777777777778,0.7876367389060888,0.6115965876016658,1.8407726211111164
gini,10,10,10,None,0.8,0.8153030303030304,0.7777777777777778,0.7876367389060888,0.6115965876016658,1.8407726822213994
gini,10,2,1,sqrt,0.7777777777777779,0.86,0.7111111111111111,0.7501445922498554,0.5887101077541446,1.840772743332976
gini,10,5,1,sqrt,0.8222222222222223,0.8654545454545455,0.8,0.8146992481203007,0.6658682753923143,1.8407728088890305
gini,10,10,1,sqrt,0.7666666666666667,0.8155555555555555,0.7333333333333333,0.7525480367585631,0.5578717326667195,1.8407728666659549
