n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
50,10,5,2,gini,0.9340592861464005,0.9714285714285715,0.5999999999999999,0.7278571428571429,0.7271414356330366,0.5492363934026798
100,10,5,2,gini,0.951361161524501,1.0,0.6888888888888889,0.8128571428571428,0.8059634087101003,0.5492364187500951
200,10,5,2,gini,0.9444646098003631,0.9714285714285715,0.6666666666666666,0.775,0.7710923873012108,0.5492364340279892
50,10,10,2,gini,0.9409558378705386,1.0,0.6222222222222222,0.760934065934066,0.7600662795679766,0.5492364479165796
100,10,10,2,gini,0.937568058076225,1.0,0.6,0.745934065934066,0.7457121050494585,0.5492364607638996
200,10,10,2,gini,0.9272232304900181,1.0,0.5333333333333333,0.6837912087912088,0.695378685464722,0.5492364743056695
50,10,5,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991,0.5492364878474392
100,10,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492365013888048
200,10,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492365159722491
50,10,10,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991,0.5492365281251195
100,10,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492365406252147
200,10,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492365527776807
50,20,5,2,gini,0.9444646098003631,0.9380952380952381,0.6888888888888889,0.7933333333333333,0.7749773575069362,0.5492365645833261
100,20,5,2,gini,0.9548094373865699,0.975,0.7333333333333333,0.8347058823529411,0.8216482867119673,0.5492365774306462
200,20,5,2,gini,0.9479128856624319,0.9714285714285715,0.6888888888888889,0.7980769230769231,0.7891131143740218,0.5492365895835165
50,20,10,2,gini,0.9444041137326075,1.0,0.6444444444444444,0.7807142857142857,0.7763912275738079,0.5492366010419372
100,20,10,2,gini,0.9375075620084695,1.0,0.5999999999999999,0.745934065934066,0.7456947305000653,0.5492366131944032
200,20,10,2,gini,0.9341197822141559,1.0,0.5777777777777777,0.7207142857142858,0.7268868909895414,0.5492366250000487
50,20,5,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991,0.5492366357640195
100,20,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.549236647569665
200,20,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492366600693559
50,20,10,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991,0.5492366711805516
100,20,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492366826389722
200,20,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492366940973928
50,30,5,2,gini,0.9444646098003631,0.9380952380952381,0.6888888888888889,0.7933333333333333,0.7749773575069362,0.5492367048613637
100,30,5,2,gini,0.9548094373865699,0.975,0.7333333333333333,0.8347058823529411,0.8216482867119673,0.5492367173610546
200,30,5,2,gini,0.9479128856624319,0.9714285714285715,0.6888888888888889,0.7980769230769231,0.7891131143740218,0.5492367281250254
50,30,10,2,gini,0.9444041137326075,1.0,0.6444444444444444,0.7807142857142857,0.7763912275738079,0.5492367399306709
100,30,10,2,gini,0.9375075620084695,1.0,0.5999999999999999,0.745934065934066,0.7456947305000653,0.5492367517363164
200,30,10,2,gini,0.9341197822141559,1.0,0.5777777777777777,0.7207142857142858,0.7268868909895414,0.5492367628471079
50,30,5,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991,0.5492367743055284
100,30,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492367857639491
200,30,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492367982640443
50,30,10,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991,0.5492368093752399
100,30,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492368218749308
200,30,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391,0.5492368333333515
50,10,5,2,entropy,0.9617664851784635,0.9464285714285715,0.7999999999999999,0.8661764705882353,0.8487345249535231,0.549236844791772
100,10,5,2,entropy,0.9582577132486388,0.975,0.7555555555555554,0.8479411764705882,0.8354246195304793,0.5492368569446424
200,10,5,2,entropy,0.9444041137326075,0.9714285714285715,0.6666666666666666,0.79,0.7774820766817435,0.5492368694443334
50,10,10,2,entropy,0.9409558378705384,0.9178571428571429,0.6888888888888889,0.782563025210084,0.7623084375972206,0.5492368812499788
100,10,10,2,entropy,0.9444041137326075,0.9714285714285715,0.6666666666666666,0.7878571428571428,0.7766703682306667,0.5492368934028491
200,10,10,2,entropy,0.9306110102843317,0.9714285714285715,0.5777777777777777,0.7161538461538461,0.7144656656321049,0.5492369055557194
50,10,5,5,entropy,0.9339382940108892,0.9666666666666668,0.6,0.7342673992673994,0.7287116073737152,0.5492369184030395
100,10,5,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653,0.5492369305555056
200,10,5,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927,0.549236942361151
50,10,10,5,entropy,0.9339382940108892,0.9666666666666668,0.6,0.7342673992673994,0.7287116073737152,0.5492369538195716
100,10,10,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653,0.5492369656252171
200,10,10,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927,0.5492369791665825
50,20,5,2,entropy,0.9582577132486388,0.9019841269841269,0.8222222222222222,0.8584967320261437,0.8365236574148588,0.5492369916666777
100,20,5,2,entropy,0.9582577132486388,0.95,0.7777777777777777,0.8526470588235293,0.8359534537978549,0.5492370048612227
200,20,5,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304,0.5492370180557676
50,20,10,2,entropy,0.940895341802783,0.85,0.7555555555555555,0.8,0.7672907492939598,0.549237031944358
100,20,10,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304,0.5492370437500035
200,20,10,2,entropy,0.9375075620084695,0.9428571428571428,0.6444444444444444,0.7628571428571428,0.7474352680464306,0.5492370559028737
50,20,5,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727,0.5492370684029689
100,20,5,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653,0.5492370805554351
200,20,5,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927,0.5492370923610805
50,20,10,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727,0.549237104166726
100,20,10,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653,0.5492371163195963
200,20,10,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927,0.5492371284724666
50,30,5,2,entropy,0.9582577132486388,0.9019841269841269,0.8222222222222222,0.8584967320261437,0.8365236574148588,0.549237139930483
100,30,5,2,entropy,0.9582577132486388,0.95,0.7777777777777777,0.8526470588235293,0.8359534537978549,0.5492371513889035
200,30,5,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304,0.5492371649306733
50,30,10,2,entropy,0.940895341802783,0.85,0.7555555555555555,0.8,0.7672907492939598,0.5492371777779934
100,30,10,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304,0.5492371923610335
200,30,10,2,entropy,0.9375075620084695,0.9428571428571428,0.6444444444444444,0.7628571428571428,0.7474352680464306,0.549237204166679
50,30,5,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727,0.5492372291668693
100,30,5,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653,0.5492372416665603
200,30,5,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927,0.5492372545138804
50,30,10,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727,0.5492372659723009
100,30,10,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653,0.5492372781251712
200,30,10,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927,0.5492372899308167
