pca_n_components,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
50,gini,None,2,1,None,0.6888888888888888,0.6740196078431372,0.7333333333333333,0.7022849462365591,0.3793733742451431,1.0263876344445937
57,gini,None,2,1,None,0.5888888888888889,0.585955710955711,0.5333333333333333,0.5557131041002009,0.17687261951667357,1.0263877666665293
64,gini,None,2,1,None,nan,nan,nan,nan,nan,1.0263878499998504
50,gini,None,5,1,None,0.6666666666666666,0.6666666666666666,0.7111111111111111,0.6819923371647509,0.34000053865775515,1.026387908888541
57,gini,None,5,1,None,0.6666666666666666,0.6527777777777778,0.7333333333333333,0.6856795616528654,0.34394986283590495,1.0263879855551445
64,gini,None,5,1,None,nan,nan,nan,nan,nan,1.0263880577779168
50,gini,None,10,1,None,0.6444444444444444,0.6230936819172114,0.6666666666666666,0.6399410774410774,0.2935558169833245,1.0263881033331725
57,gini,None,10,1,None,0.6444444444444445,0.6279761904761905,0.7333333333333334,0.6738351254480287,0.2954569983390178,1.026388175555298
64,gini,None,10,1,None,nan,nan,nan,nan,nan,1.026388248888543
50,gini,None,2,2,None,0.6555555555555556,0.6880341880341879,0.5777777777777778,0.6278659611992946,0.3159782434498683,1.026388289999967
57,gini,None,2,2,None,0.6999999999999998,0.7547619047619047,0.6,0.6654406130268199,0.411134740681476,1.0263883611109728
64,gini,None,2,2,None,nan,nan,nan,nan,nan,1.026388436666457
50,gini,None,5,2,None,0.6333333333333333,0.6457115009746589,0.5777777777777778,0.5964052287581699,0.275614939714077,1.0263884788890008
57,gini,None,5,2,None,0.611111111111111,0.625,0.5111111111111111,0.5532180146485897,0.22516984412542915,1.0263885555556045
64,gini,None,5,2,None,nan,nan,nan,nan,nan,1.0263886288888493
50,gini,None,10,2,None,0.5888888888888889,0.5793650793650794,0.6222222222222222,0.5925925925925926,0.1838504078564419,1.026388674444105
57,gini,None,10,2,None,0.6222222222222222,0.6157407407407408,0.6666666666666666,0.6392961876832844,0.24555911291123733,1.0263887477779967
64,gini,None,10,2,None,nan,nan,nan,nan,nan,1.026388820000122
50,gini,None,2,5,None,0.6666666666666666,0.7138528138528139,0.5555555555555555,0.6216799292661362,0.34319726909209763,1.0263888644442583
57,gini,None,2,5,None,0.6,0.6252747252747253,0.5111111111111111,0.559408866995074,0.2054890986478748,1.0263889344441446
