criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
gini,None,2,1,None,0.7777777777777778,0.840079365079365,0.6888888888888889,0.75359477124183,0.22728572666674154
gini,None,5,1,None,0.8222222222222222,0.8516666666666668,0.7777777777777778,0.8076367389060888,0.2272858399999677
gini,None,10,1,None,0.8,0.8232323232323232,0.7777777777777777,0.7951307189542484,0.22728589333338378
gini,None,2,2,None,0.8222222222222223,0.8778571428571429,0.7555555555555555,0.8009840778416629,0.22728594666663815
gini,None,5,2,None,0.788888888888889,0.86,0.711111111111111,0.7686311366651923,0.22728598777773892
gini,None,10,2,None,0.7777777777777778,0.8133116883116884,0.7333333333333334,0.7658823529411765,0.22728603222219843
gini,None,2,5,None,0.8444444444444444,0.8686363636363638,0.8222222222222223,0.8353560371517027,0.22728607444441878
gini,None,5,5,None,0.8444444444444444,0.8686363636363638,0.8222222222222223,0.8353560371517027,0.22728615000006458
gini,None,10,5,None,0.8555555555555555,0.8886363636363637,0.8222222222222223,0.8458823529411765,0.22728620777779723
gini,None,2,10,None,0.8111111111111111,0.7955555555555556,0.8666666666666666,0.82078111946533,0.227286248888898
gini,None,5,10,None,0.8111111111111111,0.7955555555555556,0.8666666666666666,0.82078111946533,0.22728629111111837
gini,None,10,10,None,0.8111111111111111,0.7955555555555556,0.8666666666666666,0.82078111946533,0.22728633111109958
gini,None,2,1,sqrt,0.7444444444444444,0.8476190476190476,0.6222222222222222,0.7064102564102563,0.2272863733333199
gini,None,5,1,sqrt,0.7555555555555555,0.7736363636363637,0.7333333333333332,0.7437151702786379,0.2272864144444207
gini,None,10,1,sqrt,0.7444444444444445,0.7488888888888889,0.7555555555555555,0.7508083935328517,0.22728645333344402
gini,None,2,2,sqrt,0.7888888888888889,0.8769841269841271,0.6888888888888889,0.7645891690009338,0.22728649777774182
gini,None,5,2,sqrt,0.7666666666666667,0.7764285714285715,0.7555555555555555,0.7623839009287926,0.22728654111108174
gini,None,10,2,sqrt,0.7333333333333333,0.8415584415584416,0.6222222222222221,0.6980769230769232,0.22728657888898549
gini,None,2,5,sqrt,0.7111111111111111,0.7388888888888889,0.711111111111111,0.6959994254111901,0.22728661888896667
gini,None,5,5,sqrt,0.7777777777777778,0.7488888888888889,0.8444444444444444,0.7921470342522974,0.22728665777782833
