pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
50,3,cosine,uniform,0.6222222222222222,0.6960076960076961,0.4222222222222222,0.5211732711732712,0.2644575144411044,0.06327282222207739
57,3,cosine,uniform,0.6333333333333333,0.7343915343915345,0.4222222222222222,0.5337373737373737,0.2956765184421184,0.06327294666649928
64,3,cosine,uniform,nan,nan,nan,nan,nan,0.06327302444454593
50,3,cosine,distance,0.6666666666666666,0.7718253968253969,0.4666666666666666,0.5736592982969794,0.36304730978674987,0.06327307333316033
57,3,cosine,distance,0.6777777777777777,0.8079365079365078,0.4666666666666666,0.5884848484848485,0.3926528394349269,0.06327314444448955
64,3,cosine,distance,nan,nan,nan,nan,nan,0.0632732111110171
50,5,cosine,uniform,0.6666666666666666,0.8095238095238096,0.4222222222222222,0.5530303030303031,0.37583997148381254,0.06327325222211787
57,5,cosine,uniform,0.6666666666666666,0.7714285714285715,0.4666666666666666,0.5781818181818182,0.3616537530985291,0.06327332444424327
64,5,cosine,uniform,nan,nan,nan,nan,nan,0.06327339444445292
50,5,cosine,distance,0.6777777777777777,0.8273809523809524,0.4444444444444445,0.5767457180500658,0.39982151537213645,0.06327343666667326
57,5,cosine,distance,0.6888888888888888,0.8190476190476191,0.48888888888888893,0.6084848484848485,0.4141944468478025,0.06327350888879867
64,5,cosine,distance,nan,nan,nan,nan,nan,0.06327357777756536
50,7,cosine,uniform,0.6333333333333333,0.7238095238095239,0.4222222222222222,0.5312121212121212,0.2916286891897323,0.0632736199997857
57,7,cosine,uniform,0.6333333333333333,0.7238095238095239,0.4222222222222222,0.5312121212121212,0.2916286891897323,0.06327369333335406
64,7,cosine,uniform,nan,nan,nan,nan,nan,0.06327376222212075
50,7,cosine,distance,0.6999999999999998,0.8666666666666667,0.48888888888888893,0.6171428571428571,0.44950937914128564,0.06327380333322152
57,7,cosine,distance,0.7111111111111111,0.8888888888888888,0.48888888888888893,0.6238095238095238,0.4751082238075133,0.06327387555534693
64,7,cosine,distance,nan,nan,nan,nan,nan,0.06327394888891529
50,9,cosine,uniform,0.6555555555555556,0.7555555555555555,0.4222222222222222,0.5333333333333333,0.3382557968408438,0.06327399000001606
57,9,cosine,uniform,0.6444444444444444,0.7252525252525253,0.4222222222222222,0.5230769230769231,0.31006787560515037,0.06327406333326104
64,9,cosine,uniform,nan,nan,nan,nan,nan,0.0632741333331473
50,9,cosine,distance,0.6888888888888888,0.8888888888888888,0.4444444444444444,0.5833333333333334,0.4400283854813092,0.06327417555536764
57,9,cosine,distance,0.6888888888888888,0.8888888888888888,0.4444444444444444,0.5833333333333334,0.4400283854813092,0.06327424333333814
64,9,cosine,distance,nan,nan,nan,nan,nan,0.06327431111098526
50,11,cosine,uniform,0.6777777777777777,0.8787878787878788,0.4444444444444444,0.5698380566801619,0.4181334267147226,0.06327435333320561
57,11,cosine,uniform,0.6666666666666666,0.8787878787878788,0.4222222222222222,0.5517221146511764,0.4009230995305726,0.06327442222229568
64,11,cosine,uniform,nan,nan,nan,nan,nan,0.06327449111106237
50,11,cosine,distance,0.6888888888888888,0.8888888888888888,0.4444444444444444,0.5833333333333334,0.4400283854813092,0.063274529999924
57,11,cosine,distance,0.7000000000000001,0.8888888888888888,0.4666666666666666,0.6,0.45751275564083255,0.0632746022220494
64,11,cosine,distance,nan,nan,nan,nan,nan,0.06327467000001989
50,15,cosine,uniform,0.611111111111111,0.6388888888888888,0.5111111111111111,0.5422478755812089,0.23699924020616134,0.06327471111112068
57,15,cosine,uniform,0.6222222222222221,0.6549707602339181,0.5333333333333333,0.5598091088287167,0.2615631418585375,0.06327477999988737
64,15,cosine,uniform,nan,nan,nan,nan,nan,0.06327485333313235
50,15,cosine,distance,0.7000000000000001,0.8666666666666667,0.4888888888888889,0.6087179487179487,0.44984028732998316,0.06327489333311355
