n_neighbors,metric,weights,accuracy,precision,recall,f1,preparationTime
3,cosine,uniform,0.7333333333333334,0.7905555555555555,0.6666666666666667,0.7058770606758223,0.4863437651760557,0.018410535555611004
3,cosine,distance,0.7555555555555555,0.7941919191919192,0.7111111111111111,0.7372362278244632,0.5288547313938,0.0184106400000423
5,cosine,uniform,0.7666666666666666,0.8809523809523808,0.6222222222222222,0.7261904761904762,0.5601973681263286,0.018410693333296674
5,cosine,distance,0.788888888888889,0.8695238095238095,0.6888888888888889,0.7617543859649123,0.5977874919647791,0.018410739999995308
7,cosine,uniform,0.7777777777777778,0.9095238095238095,0.6222222222222222,0.7361904761904763,0.5876581479040002,0.01841078555557437
7,cosine,distance,0.8,0.8873015873015871,0.6888888888888889,0.7711111111111111,0.6191789688703473,0.018410831111153433
9,cosine,uniform,0.7555555555555555,0.8833333333333334,0.6,0.7107002801120449,0.5434606182429222,0.01841088555552738
9,cosine,distance,0.7777777777777778,0.861111111111111,0.6666666666666666,0.7456209150326797,0.5749814392092694,0.01841096222229276
11,cosine,uniform,0.7777777777777777,0.8857142857142856,0.6444444444444444,0.7428571428571429,0.5798770404277602,0.018411013333307993
11,cosine,distance,0.7888888888888889,0.8809523809523808,0.6666666666666666,0.7565686274509803,0.5969246209309197,0.018411058888887055
15,cosine,uniform,0.7555555555555555,0.8547619047619047,0.6222222222222222,0.7157002801120449,0.5341232892714343,0.018411103333346546
15,cosine,distance,0.8111111111111112,0.8928571428571429,0.711111111111111,0.7894117647058824,0.6376706664565601,0.01841115000004518
20,cosine,uniform,0.711111111111111,0.8699999999999999,0.4888888888888888,0.6237362637362638,0.467750020716053,0.018411191111145954
20,cosine,distance,0.788888888888889,0.8980952380952381,0.6444444444444445,0.7458543417366945,0.602969115808662,0.018411235555605445
3,euclidean,uniform,0.6888888888888889,0.8,0.5111111111111112,0.6163413057530704,0.4083510583089944,0.018411277777825794
3,euclidean,distance,0.7111111111111111,0.8055555555555556,0.5555555555555556,0.6478632478632479,0.447406071968215,0.01841132000004614
5,euclidean,uniform,0.6666666666666666,0.7847619047619048,0.4666666666666666,0.5797435897435897,0.36723331297507766,0.01841136333338606
5,euclidean,distance,0.6888888888888889,0.7883333333333333,0.5111111111111112,0.6142296918767507,0.4045670529896658,0.018411405555606407
7,euclidean,uniform,0.711111111111111,0.86,0.48888888888888893,0.6171428571428572,0.46397207543824653,0.018411450000065895
7,euclidean,distance,0.7333333333333334,0.86,0.5333333333333333,0.6492857142857142,0.4994821478925312,0.018411492222286243
9,euclidean,uniform,0.6888888888888889,0.8433333333333334,0.44444444444444436,0.5761172161172161,0.4231434196625251,0.018411531111147874
9,euclidean,distance,0.711111111111111,0.8433333333333334,0.4888888888888888,0.6082600732600733,0.4586534921168098,0.01841157111112908
11,euclidean,uniform,0.6666666666666666,0.7,0.4,0.5028571428571429,0.3410441096774549,0.018411613333349428
11,euclidean,distance,0.6888888888888889,0.7166666666666667,0.4444444444444445,0.5434981684981686,0.3828055691661262,0.01841165333333063
15,euclidean,uniform,0.5888888888888889,0.6933333333333334,0.24444444444444446,0.344029304029304,0.21113957721849202,0.01841169666667055
15,euclidean,distance,0.6333333333333334,0.85,0.3111111111111111,0.43460539460539466,0.33289860474392974,0.018411740000010467
20,euclidean,uniform,0.5555555555555556,0.7333333333333333,0.15555555555555553,0.2521212121212121,0.1712355959373067,0.018411783333350386
20,euclidean,distance,0.6333333333333334,0.85,0.3111111111111111,0.43460539460539466,0.33289860474392974,0.018411825555570735
