n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
50,10,5,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46119962921339935
100,10,5,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.4611997382023393
200,10,5,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46119979662909644
50,10,10,2,gini,0.8529411764705882,0.8541919191919192,0.8666666666666666,0.8569177846577227,0.7123139580990066,0.4611998460676751
100,10,10,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.46119989775280795
200,10,10,2,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4611999471913866
50,10,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4611999932584991
100,10,5,5,gini,0.85359477124183,0.8440909090909091,0.888888888888889,0.861362229102167,0.7161452194114741,0.46120007303373345
200,10,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612001314604906
50,10,10,5,gini,0.8529411764705882,0.8441919191919192,0.888888888888889,0.8599253034547152,0.7195712356863286,0.46120017977546524
100,10,10,5,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120022921338993
200,10,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120028089917675
50,20,5,2,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612003269662892
100,20,5,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.46120037303405576
200,20,5,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.46120041797756417
50,20,10,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120046629188477
100,20,10,2,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612005101124432
200,20,10,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612005584267638
50,20,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120060000011404
100,20,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120064606722655
200,20,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120069213499304
50,20,10,5,gini,0.8751633986928103,0.8633333333333333,0.9111111111111111,0.882470883090078,0.7603033437483868,0.4612007359548974
100,20,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.461200783146268
200,20,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612008550562739
50,30,5,2,gini,0.8764705882352942,0.8664141414141415,0.9111111111111111,0.8821475256769373,0.7667934579085509,0.46120090112338635
100,30,5,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120094494394476
200,30,5,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.46120098988745317
50,30,10,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120103258440753
100,30,10,2,gini,0.8751633986928106,0.8805555555555555,0.888888888888889,0.8799253034547151,0.7600264286428355,0.46120107752791595
200,30,10,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612011224720784
50,30,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612011651683787
100,30,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120120786533303
200,30,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612012516852374
50,30,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120129662939985
100,30,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612013404493042
200,30,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120138539346667
50,50,5,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120142921337104
100,50,5,2,gini,0.8529411764705882,0.8560101010101011,0.8666666666666666,0.8579704162366701,0.7114510870651471,0.46120147191032534
200,50,5,2,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612015157302297
50,50,10,2,gini,0.8529411764705882,0.8560101010101011,0.8666666666666666,0.8579704162366701,0.7114510870651471,0.46120155617997594
100,50,10,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.46120160112348435
200,50,10,2,gini,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.4612016438204387
50,50,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120168539313494
100,50,5,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120172921369335
200,50,5,5,gini,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612017730335977
50,50,10,5,gini,0.8647058823529411,0.8627777777777779,0.888888888888889,0.8705685783085162,0.7396167477012081,0.46120181235973984
100,50,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612018561796442
200,50,10,5,gini,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120189775299447
50,10,5,2,entropy,0.8647058823529411,0.8627777777777779,0.888888888888889,0.8705685783085162,0.7396167477012081,0.46120193932569076
100,10,5,2,entropy,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.4612019831462491
200,10,5,2,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120202584254943
50,10,10,2,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612020707867119
100,10,10,2,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612021235954487
200,10,10,2,entropy,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.4612021674160071
50,10,5,5,entropy,0.8647058823529411,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7354858505679642,0.46120221235951553
100,10,5,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612022595508861
200,10,5,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120230449439453
50,10,10,5,entropy,0.8869281045751635,0.885,0.9111111111111111,0.8927908005307386,0.7840611921456526,0.461202349438557
100,10,10,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120239325846135
200,10,10,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120244269638605
50,20,5,2,entropy,0.8869281045751632,0.8786363636363637,0.9111111111111111,0.8908359133126936,0.7810700811518194,0.4612024876405485
100,20,5,2,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612025325840569
200,20,5,2,entropy,0.8647058823529411,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7354858505679642,0.4612025741574072
50,20,10,2,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.4612026516854334
100,20,10,2,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120269887614995
200,20,10,2,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120274494391644
50,20,5,5,entropy,0.8758169934640522,0.865,0.9111111111111111,0.8822644847412647,0.7629466303456358,0.46120279101102896
100,20,5,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120283370798326
200,20,5,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120287865149173
50,20,10,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.46120292134844604
100,20,10,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612029651683504
200,20,10,5,entropy,0.8647058823529411,0.8486363636363636,0.9111111111111111,0.8727908005307384,0.7436059991891456,0.4612030089889088
50,30,5,2,entropy,0.8869281045751632,0.8786363636363637,0.9111111111111111,0.8908359133126936,0.7810700811518194,0.4612030516852091
100,30,5,2,entropy,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.4612030955057675
200,30,5,2,entropy,0.8640522875816993,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7389118668428187,0.46120313932567186
