pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
150,3,cosine,uniform,0.8543254688445252,0.5233333333333333,0.24444444444444446,0.3304029304029304,0.28974624332589033,0.3004880899305944
180,3,cosine,uniform,0.8543254688445252,0.5233333333333333,0.24444444444444446,0.3304029304029304,0.28974624332589033,0.3004881368055471
200,3,cosine,uniform,0.8577737447065941,0.59,0.2666666666666667,0.3637362637362637,0.3289289752824831,0.30048816041663584
220,3,cosine,uniform,0.8577737447065941,0.59,0.2666666666666667,0.3637362637362637,0.3289289752824831,0.300488180555577
150,3,cosine,distance,0.878584392014519,0.7742857142857142,0.3333333333333333,0.4464535464535465,0.4455500397908122,0.3004881996527426
180,3,cosine,distance,0.878584392014519,0.7742857142857142,0.3333333333333333,0.4464535464535465,0.4455500397908122,0.3004882152777605
200,3,cosine,distance,0.8820326678765881,0.8076190476190476,0.3555555555555555,0.4767565767565768,0.4755404766760054,0.30048823090277843
220,3,cosine,distance,0.8820326678765881,0.8076190476190476,0.3555555555555555,0.4767565767565768,0.4755404766760054,0.3004882472222461
150,5,cosine,uniform,0.8613430127041741,0.6,0.22222222222222224,0.3090909090909091,0.3009312283167659,0.30048826319448885
180,5,cosine,uniform,0.8612825166364185,0.6428571428571429,0.22222222222222224,0.3068181818181818,0.31025142961326463,0.30048827916663057
200,5,cosine,uniform,0.8578342407743497,0.5761904761904761,0.22222222222222224,0.3007575757575758,0.2880467726067074,0.30048829826389717
220,5,cosine,uniform,0.8612825166364185,0.6428571428571429,0.22222222222222224,0.3068181818181818,0.31025142961326463,0.30048831319446534
150,5,cosine,distance,0.8820931639443437,0.7742857142857142,0.3555555555555555,0.4662337662337663,0.46188476088379576,0.30048832986115787
180,5,cosine,distance,0.8855414398064125,0.7933333333333333,0.3555555555555555,0.47290043290043293,0.47267368572060553,0.300488396180602
200,5,cosine,distance,0.8820931639443437,0.7742857142857142,0.3555555555555555,0.4662337662337663,0.46188476088379576,0.30048841979169083
220,5,cosine,distance,0.8855414398064125,0.7933333333333333,0.3555555555555555,0.47290043290043293,0.47267368572060553,0.30048843715273205
150,7,cosine,uniform,0.8681790683605566,0.8333333333333334,0.19999999999999998,0.2988344988344988,0.3168499162466366,0.300488455208324
180,7,cosine,uniform,0.8681790683605566,0.8333333333333334,0.19999999999999998,0.2988344988344988,0.3168499162466366,0.300488473263916
200,7,cosine,uniform,0.8647307924984876,0.6333333333333333,0.19999999999999998,0.2988344988344988,0.30549678175750766,0.30048849027773233
220,7,cosine,uniform,0.8647307924984876,0.6333333333333333,0.19999999999999998,0.2988344988344988,0.30549678175750766,0.3004885059027502
150,7,cosine,distance,0.8889292196007259,0.9333333333333332,0.3333333333333333,0.46554778554778553,0.4997614023090608,0.30048852083331845
180,7,cosine,distance,0.8889292196007259,0.9333333333333332,0.3333333333333333,0.46554778554778553,0.4997614023090608,0.3004885371527861
200,7,cosine,distance,0.885480943738657,0.8333333333333333,0.3333333333333333,0.46191142191142187,0.47394650878976136,0.30048855173612943
220,7,cosine,distance,0.885480943738657,0.8333333333333333,0.3333333333333333,0.46191142191142187,0.47394650878976136,0.3004885659722479
150,9,cosine,uniform,0.8611615245009073,0.9,0.13333333333333336,0.22181818181818183,0.27398676804083455,0.30048858090281605
180,9,cosine,uniform,0.8576527525710829,0.9,0.11111111111111112,0.18909090909090906,0.2476310068155625,0.3004885986110821
200,9,cosine,uniform,0.8576527525710829,0.9,0.11111111111111112,0.18909090909090906,0.2476310068155625,0.3004886156249995
220,9,cosine,uniform,0.8576527525710829,0.9,0.11111111111111112,0.18909090909090906,0.2476310068155625,0.3004886295138931
150,9,cosine,distance,0.8888687235329703,0.96,0.31111111111111106,0.4500899100899101,0.4951684363455497,0.30048864583336077
180,9,cosine,distance,0.8888687235329703,0.96,0.31111111111111106,0.4500899100899101,0.4951684363455497,0.30048866076392894
200,9,cosine,distance,0.8888687235329703,0.96,0.31111111111111106,0.4500899100899101,0.4951684363455497,0.30048867534727225
220,9,cosine,distance,0.8888687235329703,0.96,0.31111111111111106,0.4500899100899101,0.4951684363455497,0.30048868958328967
150,3,euclidean,uniform,0.8543254688445252,0.5999999999999999,0.17777777777777776,0.2727272727272727,0.2696170339722582,0.3004887055555325
180,3,euclidean,uniform,0.8508771929824561,0.5,0.17777777777777776,0.2573426573426573,0.23423136232603978,0.3004887208333255
200,3,euclidean,uniform,0.8508771929824561,0.5,0.17777777777777776,0.2573426573426573,0.23423136232603978,0.30048873819446775
220,3,euclidean,uniform,0.8508771929824561,0.5,0.17777777777777776,0.2573426573426573,0.23423136232603978,0.300488753125036
150,3,euclidean,distance,0.892377495462795,0.9199999999999999,0.3555555555555555,0.4971028971028971,0.5219631354804009,0.30048876736115443
180,3,euclidean,distance,0.8889292196007259,0.8699999999999999,0.3555555555555555,0.49360639360639363,0.5050942905498512,0.30048878194439665
200,3,euclidean,distance,0.8889292196007259,0.8699999999999999,0.3555555555555555,0.49360639360639363,0.5050942905498512,0.3004887968749649
220,3,euclidean,distance,0.8889292196007259,0.8699999999999999,0.3555555555555555,0.49360639360639363,0.5050942905498512,0.30048881076385847
150,5,euclidean,uniform,0.8577737447065941,0.7,0.13333333333333336,0.21636363636363637,0.2570425427595093,0.30048882569442664
180,5,euclidean,uniform,0.8612825166364185,0.7,0.15555555555555556,0.2490909090909091,0.28339830398478133,0.30048884027776995
200,5,euclidean,uniform,0.8647307924984876,0.8,0.15555555555555556,0.25272727272727274,0.3092131975040808,0.3004888538194387
220,5,euclidean,uniform,0.8647307924984876,0.8,0.15555555555555556,0.25272727272727274,0.3092131975040808,0.300488868402782
150,5,euclidean,distance,0.8888687235329705,0.96,0.31111111111111106,0.4500899100899101,0.4951941913444573,0.3004888826389005
180,5,euclidean,distance,0.892377495462795,0.96,0.3333333333333333,0.48281718281718283,0.5215499525697294,0.30048889756946867
