pca_n_components,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
167,gini,None,2,1,None,0.8593265993265993,0.5656565656565656,0.4444444444444444,0.4957264957264957,0.42050310688547393,1.6022465571906748
191,gini,None,2,1,None,0.826026936026936,0.4181286549707602,0.37777777777777777,0.388961510530138,0.2942366632576376,1.6022466003344267
215,gini,None,2,1,None,nan,nan,nan,nan,nan,1.6022466250835843
167,gini,None,5,1,None,0.8091919191919192,0.3414141414141414,0.26666666666666666,0.2967521367521367,0.1920029564171624,1.602246642475021
191,gini,None,5,1,None,0.835993265993266,0.4202279202279202,0.3111111111111111,0.35555555555555557,0.26987690755457167,1.6022466642141224
215,gini,None,5,1,None,nan,nan,nan,nan,nan,1.6022466859532236
167,gini,None,10,1,None,0.835993265993266,0.4195286195286195,0.2888888888888889,0.3417094017094017,0.2581998760216189,1.6022466993312519
191,gini,None,10,1,None,0.8693602693602694,0.5404040404040404,0.37777777777777777,0.44200244200244204,0.38248778909401016,1.6022467207359026
215,gini,None,10,1,None,nan,nan,nan,nan,nan,1.6022467438128067
167,gini,None,2,2,None,0.8293939393939395,0.38816738816738816,0.26666666666666666,0.3132176465509799,0.22739759663515477,1.6022467568561896
191,gini,None,2,2,None,0.8326599326599325,0.3693121693121693,0.28888888888888886,0.31616161616161614,0.2320157325851339,1.6022467792641923
215,gini,None,2,2,None,nan,nan,nan,nan,nan,1.602246801337939
167,gini,None,5,2,None,0.8360606060606061,0.4564102564102564,0.35555555555555557,0.3980952380952381,0.30894536275025564,1.6022468160535754
191,gini,None,5,2,None,0.8193939393939395,0.3990384615384615,0.3333333333333333,0.35990783410138255,0.25937131544853176,1.602246838461578
215,gini,None,5,2,None,nan,nan,nan,nan,nan,1.6022468602006794
167,gini,None,10,2,None,0.855993265993266,0.5164983164983165,0.35555555555555557,0.42068376068376073,0.3502699768037956,1.6022468739131583
191,gini,None,10,2,None,0.8526262626262625,0.45925925925925926,0.2888888888888889,0.3544444444444445,0.2885518190135756,1.6022468959867104
215,gini,None,10,2,None,nan,nan,nan,nan,nan,1.602246918394713
167,gini,None,2,5,None,0.8493602693602694,0.48677248677248675,0.4888888888888889,0.48469368009597896,0.3988871888748733,1.6022469324414481
191,gini,None,2,5,None,0.8293602693602694,0.4259259259259259,0.4222222222222222,0.4213011339448121,0.3233864751413796,1.6022469538462933
215,gini,None,2,5,None,nan,nan,nan,nan,nan,1.6022469755853948
167,gini,None,5,5,None,0.836026936026936,0.43492063492063493,0.35555555555555557,0.3893401447424436,0.2993010644910363,1.6022469889632283
191,gini,None,5,5,None,0.835993265993266,0.447008547008547,0.4222222222222222,0.433935413245758,0.3386050496542195,1.6022470107023297
215,gini,None,5,5,None,nan,nan,nan,nan,nan,1.602247032107175
167,gini,None,10,5,None,0.845993265993266,0.48054029304029305,0.4666666666666666,0.4726945283118809,0.3832432441416315,1.6022470461539098
191,gini,None,10,5,None,0.8493602693602694,0.4444444444444444,0.35555555555555557,0.39019643617344774,0.3135134490464228,1.6022470672241098
215,gini,None,10,5,None,nan,nan,nan,nan,nan,1.6022470886287603
167,gini,None,2,10,None,0.8325589225589226,0.4551282051282051,0.39999999999999997,0.42464584400068267,0.32879066055606554,1.6022471023412392
191,gini,None,2,10,None,0.8492255892255892,0.5477207977207977,0.4222222222222222,0.47094214029697895,0.3924389093964266,1.602247124749242
215,gini,None,2,10,None,nan,nan,nan,nan,nan,1.6022471458194418
167,gini,None,5,10,None,0.8492255892255892,0.5477207977207977,0.4222222222222222,0.47094214029697895,0.3924389093964266,1.602247160535273
191,gini,None,5,10,None,0.8492255892255892,0.5477207977207977,0.4222222222222222,0.47094214029697895,0.3924389093964266,1.6022471812710222
215,gini,None,5,10,None,nan,nan,nan,nan,nan,1.6022472020067713
167,gini,None,10,10,None,0.8492255892255892,0.5477207977207977,0.4222222222222222,0.47094214029697895,0.3924389093964266,1.6022472147157036
191,gini,None,10,10,None,0.8325589225589226,0.4551282051282051,0.39999999999999997,0.42464584400068267,0.32879066055606554,1.6022472357860982
215,gini,None,10,10,None,nan,nan,nan,nan,nan,1.60224725785965
167,gini,None,2,1,sqrt,0.8327272727272726,0.4166666666666667,0.3111111111111111,0.3549382716049383,0.26603274315821496,1.6022472719063852
191,gini,None,2,1,sqrt,0.7661616161616163,0.32716049382716045,0.3111111111111111,0.30064621368969197,0.17519261454314453,1.6022472926421343
215,gini,None,2,1,sqrt,nan,nan,nan,nan,nan,1.6022473137125288
167,gini,None,5,1,sqrt,0.8393939393939394,0.4444444444444444,0.39999999999999997,0.4166666666666667,0.32796205230405345,1.6022473267559119
191,gini,None,5,1,sqrt,0.8092929292929293,0.3436041083099906,0.3111111111111111,0.32112068965517243,0.2150467308853817,1.602247347491661
215,gini,None,5,1,sqrt,nan,nan,nan,nan,nan,1.6022473695652129
167,gini,None,10,1,sqrt,0.8025925925925925,0.3171828171828172,0.26666666666666666,0.2889352027283062,0.17678028106594254,1.60224738227434
191,gini,None,10,1,sqrt,0.7927609427609429,0.3096153846153846,0.3333333333333333,0.30813186813186816,0.1968556702814234,1.6022474036789904
215,gini,None,10,1,sqrt,nan,nan,nan,nan,nan,1.6022474244147396
167,gini,None,2,2,sqrt,0.8126599326599327,0.3125763125763126,0.26666666666666666,0.2842712842712843,0.1820961570604548,1.6022474371238664
191,gini,None,2,2,sqrt,0.8192255892255892,0.34848484848484845,0.2222222222222222,0.26672093338760006,0.17825460963100348,1.6022474595318692
215,gini,None,2,2,sqrt,nan,nan,nan,nan,nan,1.6022474809365197
167,gini,None,5,2,sqrt,0.8627946127946128,0.5608465608465608,0.39999999999999997,0.4616858237547892,0.39653096823746453,1.6022474933110011
191,gini,None,5,2,sqrt,0.8293939393939395,0.43636363636363634,0.39999999999999997,0.40879120879120884,0.31619579803722725,1.6022475150502973
215,gini,None,5,2,sqrt,nan,nan,nan,nan,nan,1.6022475364549478
167,gini,None,10,2,sqrt,0.8026936026936027,0.32051282051282054,0.26666666666666666,0.2895238095238095,0.1783005620442604,1.6022475488294292
191,gini,None,10,2,sqrt,0.7925252525252526,0.2673202614379085,0.2888888888888889,0.26746031746031745,0.15608430314981134,1.602247571237432
215,gini,None,10,2,sqrt,nan,nan,nan,nan,nan,1.6022475926422772
167,gini,None,2,5,sqrt,0.796060606060606,0.31565656565656564,0.2888888888888889,0.29969671905155776,0.18235924913791698,1.6022476050167587
191,gini,None,2,5,sqrt,0.8561952861952862,0.5888888888888889,0.19999999999999998,0.2900161030595813,0.2773839276434605,1.60224762675586
215,gini,None,2,5,sqrt,nan,nan,nan,nan,nan,1.6022476474916092
167,gini,None,5,5,sqrt,0.8195286195286196,0.38181818181818183,0.20000000000000004,0.25384615384615383,0.17671634035072156,1.602247660200736
191,gini,None,5,5,sqrt,0.7891582491582492,0.34821428571428575,0.35555555555555557,0.31479298396027583,0.21782425946117492,1.6022476816053868
215,gini,None,5,5,sqrt,nan,nan,nan,nan,nan,1.6022477030100373
167,gini,None,10,5,sqrt,0.7725589225589226,0.26348039215686275,0.2888888888888889,0.2755376344086022,0.14121682184060244,1.6022477160536148
191,gini,None,10,5,sqrt,0.8225589225589225,0.418767507002801,0.3333333333333333,0.35684430512016724,0.2670593942090522,1.602247736789364
215,gini,None,10,5,sqrt,nan,nan,nan,nan,nan,1.602247758862916
167,gini,None,2,10,sqrt,0.7890909090909091,0.24444444444444446,0.17777777777777778,0.19285714285714284,0.08721057030589997,1.6022477719064936
191,gini,None,2,10,sqrt,0.8193602693602693,0.24999999999999997,0.1111111111111111,0.1501670843776107,0.07645594217785281,1.6022477959867498
215,gini,None,2,10,sqrt,nan,nan,nan,nan,nan,1.6022478173914003
167,gini,None,5,10,sqrt,0.8428619528619529,0.48888888888888893,0.3111111111111111,0.3622222222222222,0.2981370228597094,1.602247829765882
191,gini,None,5,10,sqrt,0.8293265993265994,0.3544372294372294,0.22222222222222224,0.27110570588831456,0.18950188303977422,1.6022478505018258
215,gini,None,5,10,sqrt,nan,nan,nan,nan,nan,1.6022478715720256
167,gini,None,10,10,sqrt,0.8192255892255892,0.3851010101010101,0.24444444444444444,0.29687435484536934,0.20610265691073723,1.602247883946507
191,gini,None,10,10,sqrt,0.8328619528619529,0.4179292929292929,0.3111111111111111,0.34637047540273347,0.26439206301654417,1.602247905016707
215,gini,None,10,10,sqrt,nan,nan,nan,nan,nan,1.6022479401338365
167,gini,None,2,1,log2,0.8327609427609427,0.3952380952380952,0.2888888888888889,0.3281922675026123,0.24402013817019055,1.602247953846121
191,gini,None,2,1,log2,0.8093939393939394,0.31288515406162465,0.24444444444444446,0.2656060606060606,0.166829034030341,1.6022479759198676
215,gini,None,2,1,log2,nan,nan,nan,nan,nan,1.602247997324518
167,gini,None,5,1,log2,0.8260942760942761,0.3796296296296296,0.2222222222222222,0.27645502645502645,0.19646877361296458,1.6022480096989997
191,gini,None,5,1,log2,0.8293939393939395,0.3708994708994709,0.24444444444444444,0.28716475095785443,0.20747857305878994,1.6022480307691995
215,gini,None,5,1,log2,nan,nan,nan,nan,nan,1.602248051839594
167,gini,None,10,1,log2,0.8058249158249158,0.34432234432234426,0.3111111111111111,0.32676518883415434,0.21407838497994,1.6022480648829769
191,gini,None,10,1,log2,0.8293265993265994,0.41769015298427065,0.4222222222222222,0.4185139573070608,0.31961793964493024,1.6022480866220783
215,gini,None,10,1,log2,nan,nan,nan,nan,nan,1.6022481073578274
167,gini,None,2,2,log2,0.8092255892255892,0.3196248196248196,0.19999999999999998,0.24285590952257619,0.14669032941801444,1.6022481200669543
191,gini,None,2,2,log2,0.8193265993265993,0.32407407407407407,0.15555555555555556,0.2087646652864044,0.13086238951159818,1.602248142474957
215,gini,None,2,2,log2,nan,nan,nan,nan,nan,1.6022481638796076
167,gini,None,5,2,log2,0.862929292929293,0.5619047619047619,0.3333333333333333,0.4020898641588297,0.3565885119385544,1.6022481762542837
191,gini,None,5,2,log2,0.8294276094276095,0.40972222222222227,0.37777777777777777,0.39107925129430504,0.29408294012193187,1.6022481973244838
215,gini,None,5,2,log2,nan,nan,nan,nan,nan,1.6022482183946836
167,gini,None,10,2,log2,0.8359595959595959,0.39999999999999997,0.26666666666666666,0.3143562610229277,0.23645623473642788,1.6022482307693597
191,gini,None,10,2,log2,0.8359259259259259,0.5772727272727273,0.31111111111111106,0.30247252747252745,0.2764132010109961,1.6022482515051089
215,gini,None,10,2,log2,nan,nan,nan,nan,nan,1.6022482725753087
167,gini,None,2,5,log2,0.8359595959595959,0.4507936507936508,0.4444444444444444,0.44750957854406126,0.3512865103847444,1.6022482849499848
