criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,None,2,1,None,0.9564971751412429,0.9199999999999999,0.7999999999999999,0.845077399380805,0.8296852704006514,0.13656844949832778
gini,None,5,1,None,0.9498305084745763,0.8866666666666667,0.7777777777777778,0.8184107327141383,0.798567935200029,0.13656849163879597
gini,None,10,1,None,0.9397175141242938,0.8123376623376624,0.7999999999999999,0.7994117647058824,0.7687069127960351,0.13656850802675594
gini,None,2,2,None,0.9464406779661017,0.8422222222222222,0.8,0.8139662882696939,0.7875131736119558,0.1365685244147151
gini,None,5,2,None,0.946497175141243,0.8866666666666667,0.7555555555555555,0.8051754385964912,0.7848514516435502,0.13656853946488287
gini,None,10,2,None,0.9463841807909604,0.8414285714285714,0.7999999999999999,0.8162538699690401,0.7879467325778263,0.13656855518394595
gini,None,2,5,None,0.9564971751412429,0.8899999999999999,0.8444444444444444,0.8493233082706766,0.8360279397578481,0.1365685698996653
gini,None,5,5,None,0.9531638418079096,0.8855555555555554,0.8222222222222223,0.8364578111946533,0.8209220423763629,0.13656858394648774
gini,None,10,5,None,0.9398305084745763,0.8522727272727273,0.7777777777777778,0.7961344537815126,0.7736931698964522,0.1365686003344477
gini,None,2,10,None,0.9398305084745763,0.8555555555555555,0.7333333333333333,0.7822222222222223,0.7554724372178148,0.13656861371237408
gini,None,5,10,None,0.9398305084745763,0.8555555555555555,0.7333333333333333,0.7822222222222223,0.7554724372178148,0.13656862809364498
gini,None,10,10,None,0.9398305084745763,0.8555555555555555,0.7333333333333333,0.7822222222222223,0.7554724372178148,0.1365686424749159
gini,None,2,1,sqrt,0.9163841807909604,0.7833333333333333,0.6222222222222221,0.6685574229691876,0.6433432995071636,0.13656865585284228
gini,None,5,1,sqrt,0.9196045197740113,0.8647619047619047,0.6,0.6643939393939393,0.6597371416183955,0.13656867056856162
gini,None,10,1,sqrt,0.906497175141243,0.716003996003996,0.711111111111111,0.6985885167464115,0.6538249109218593,0.13656868528428093
gini,None,2,2,sqrt,0.9129378531073448,0.8166666666666667,0.5555555555555556,0.6472951609793716,0.6234463973129398,0.13656869866220733
gini,None,5,2,sqrt,0.9230508474576272,0.830050505050505,0.6444444444444445,0.6978682755153343,0.6791531301571746,0.13656871304347823
gini,None,10,2,sqrt,0.8862146892655367,0.652034632034632,0.5333333333333334,0.5764985994397758,0.5221115187488997,0.1365687267558523
gini,None,2,5,sqrt,0.8863276836158193,0.661904761904762,0.5777777777777778,0.6114145658263306,0.5508731603450696,0.1365687404682271
