pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
167,3,cosine,uniform,0.8728813559322035,0.6599999999999999,0.31111111111111106,0.4173626373626374,0.3921111128158086,0.6099740752508364
191,3,cosine,uniform,0.8728813559322035,0.6599999999999999,0.31111111111111106,0.4173626373626374,0.3921111128158086,0.6099741923076957
215,3,cosine,uniform,0.8762146892655368,0.6933333333333332,0.3333333333333333,0.44556776556776556,0.42094673525458165,0.6099742469331154
167,3,cosine,distance,0.89954802259887,0.8400000000000001,0.4222222222222222,0.5604395604395604,0.5497661171834308,0.6099743037892976
191,3,cosine,distance,0.89954802259887,0.8400000000000001,0.4222222222222222,0.5604395604395604,0.5497661171834308,0.6099743554916441
215,3,cosine,distance,0.89954802259887,0.8400000000000001,0.4222222222222222,0.5604395604395604,0.5497661171834308,0.6099744053779335
167,5,cosine,uniform,0.8694915254237288,0.6666666666666667,0.2444444444444444,0.35431235431235436,0.34862116669740867,0.6099744545719118
191,5,cosine,uniform,0.8728813559322035,0.7,0.2666666666666666,0.38461538461538464,0.37861004230921513,0.6099745045986588
215,5,cosine,uniform,0.8762146892655368,0.7333333333333333,0.28888888888888886,0.41282051282051285,0.40744566474798816,0.609974553234116
167,5,cosine,distance,0.9062146892655368,0.8699999999999999,0.4444444444444445,0.5868131868131868,0.5798941107024947,0.6099746013110402
191,5,cosine,distance,0.9062146892655368,0.8699999999999999,0.4444444444444445,0.5868131868131868,0.5798941107024947,0.6099746488294311
215,5,cosine,distance,0.9062146892655368,0.8699999999999999,0.4444444444444445,0.5868131868131868,0.5798941107024947,0.6099746973244187
167,7,cosine,uniform,0.8795480225988701,0.8,0.22222222222222218,0.33580419580419585,0.37583459249087153,0.609974745260873
191,7,cosine,uniform,0.8829378531073446,0.8,0.2444444444444444,0.36853146853146856,0.40223830356952384,0.6099747918060255
215,7,cosine,uniform,0.8829378531073446,0.8,0.2444444444444444,0.36853146853146856,0.40223830356952384,0.6099748376521752
167,7,cosine,distance,0.9029378531073446,0.8833333333333332,0.4,0.547985347985348,0.5540480985219488,0.6099748835016707
191,7,cosine,distance,0.9029378531073446,0.8833333333333332,0.4,0.547985347985348,0.5540480985219488,0.609974930324417
215,7,cosine,distance,0.9029378531073446,0.8833333333333332,0.4,0.547985347985348,0.5540480985219488,0.6099749758929729
167,9,cosine,uniform,0.8728813559322035,0.8,0.17777777777777776,0.2758041958041958,0.32859317556695417,0.6099750211806015
191,9,cosine,uniform,0.8728813559322035,0.8,0.17777777777777776,0.2758041958041958,0.32859317556695417,0.6099750663311063
215,9,cosine,uniform,0.8728813559322035,0.8,0.17777777777777776,0.2758041958041958,0.32859317556695417,0.6099751118996624
167,9,cosine,distance,0.9029943502824859,0.9333333333333332,0.37777777777777777,0.5326007326007327,0.555513494449339,0.6099751576087002
