fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.6039603960396039,0.2857142857142857,1.0,0.4444444444444444,0.38892223413129867
1,0.2,0.7227722772277227,0.3333333333333333,0.75,0.46153846153846156,0.3565165808180456
1,0.30000000000000004,0.8514851485148515,0.5263157894736842,0.625,0.5714285714285714,0.4850109237574049
1,0.4,0.8811881188118812,0.6428571428571429,0.5625,0.6,0.532227699176666
1,0.5,0.8910891089108911,1.0,0.3125,0.47619047619047616,0.5260158822063582
1,0.6,0.8712871287128713,1.0,0.1875,0.3157894736842105,0.40327106395129336
1,0.7000000000000001,0.8514851485148515,1.0,0.0625,0.11764705882352941,0.23048861143232216
1,0.8,0.8514851485148515,1.0,0.0625,0.11764705882352941,0.23048861143232216
1,0.9,0.8514851485148515,1.0,0.0625,0.11764705882352941,0.23048861143232216
2,0.1,0.52,0.24193548387096775,0.9375,0.38461538461538464,0.2854804908919796
2,0.2,0.75,0.36363636363636365,0.75,0.4897959183673469,0.38983000852874977
2,0.30000000000000004,0.82,0.45454545454545453,0.625,0.5263157894736842,0.42669419033768446
2,0.4,0.86,0.5625,0.5625,0.5625,0.4791666666666667
2,0.5,0.9,1.0,0.375,0.5454545454545454,0.5788837387409698
2,0.6,0.86,1.0,0.125,0.2222222222222222,0.32732683535398854
2,0.7000000000000001,0.84,1.0,0.0,0.0,0.0
2,0.8,0.84,1.0,0.0,0.0,0.0
2,0.9,0.84,1.0,0.0,0.0,0.0
3,0.1,0.62,0.2653061224489796,0.8666666666666667,0.40625,0.3165266106442577
3,0.2,0.78,0.36,0.6,0.45,0.33954987505086615
3,0.30000000000000004,0.86,0.5384615384615384,0.4666666666666667,0.5,0.42053774661094684
3,0.4,0.87,0.625,0.3333333333333333,0.43478260869565216,0.39227406603228365
3,0.5,0.86,0.6,0.2,0.3,0.28912165479145596
3,0.6,0.86,1.0,0.06666666666666667,0.125,0.23924685418842448
3,0.7000000000000001,0.86,1.0,0.06666666666666667,0.125,0.23924685418842448
3,0.8,0.85,1.0,0.0,0.0,0.0
3,0.9,0.85,1.0,0.0,0.0,0.0
