n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
50,10,5,2,gini,0.922768361581921,1.0,0.47222222222222215,0.6257142857142857,0.6495046162207826,0.1531958067114084
100,10,5,2,gini,0.9295480225988701,1.0,0.5222222222222221,0.6742673992673993,0.6891144915688348,0.15319583624160266
200,10,5,2,gini,0.9295480225988701,1.0,0.5194444444444445,0.6596753246753246,0.6804695813145705,0.15319585201342495
50,10,10,2,gini,0.9296610169491526,1.0,0.5222222222222223,0.6641375291375291,0.6834887467483444,0.1531958654362361
100,10,10,2,gini,0.9296045197740114,1.0,0.5194444444444445,0.6548951048951049,0.6785111276015476,0.15319587818791336
200,10,10,2,gini,0.9229378531073447,1.0,0.47777777777777775,0.631994671994672,0.6539905929942632,0.15319589060402983
50,10,5,5,gini,0.9193785310734464,1.0,0.45,0.5871164129987659,0.6241092544247767,0.15319590369126795
100,10,5,5,gini,0.8892655367231639,1.0,0.25,0.39818181818181814,0.4689337526323083,0.15319591845637118
200,10,5,5,gini,0.8993785310734463,1.0,0.31666666666666665,0.4758041958041958,0.5285750125082359,0.1531959328859014
50,10,10,5,gini,0.8959887005649717,1.0,0.2944444444444444,0.45272727272727276,0.5105556123934865,0.15319594563757866
100,10,10,5,gini,0.8993785310734463,1.0,0.3138888888888889,0.4600288600288601,0.516606462975384,0.15319595838925595
200,10,10,5,gini,0.9094350282485877,1.0,0.38333333333333336,0.5459340659340659,0.5837236324951739,0.15319597046979938
50,20,5,2,gini,0.9328248587570622,1.0,0.5388888888888889,0.680934065934066,0.6970141908185372,0.15319598322147668
100,20,5,2,gini,0.9396610169491526,1.0,0.586111111111111,0.7151833460656991,0.729378347155528,0.15319599563758093
200,20,5,2,gini,0.9329378531073447,1.0,0.5416666666666667,0.6746753246753247,0.6948174380585319,0.15319600771811218
50,20,10,2,gini,0.9329943502824859,1.0,0.5444444444444445,0.6839177489177489,0.6997950572053288,0.1531960211409355
100,20,10,2,gini,0.9296045197740114,1.0,0.5166666666666666,0.6390394899218429,0.6699684368392868,0.1531960342281858
200,20,10,2,gini,0.9262146892655367,1.0,0.49722222222222223,0.6398951048951049,0.6641632708575862,0.15319604630871705
50,20,5,5,gini,0.9061581920903954,1.0,0.36111111111111105,0.5030769230769231,0.5516487050775736,0.15319605872483352
100,20,5,5,gini,0.9061016949152542,1.0,0.3611111111111111,0.5186613386613387,0.5629085607143223,0.15319607147651082
200,20,5,5,gini,0.8960451977401129,1.0,0.2944444444444444,0.4485314685314686,0.5077599407273843,0.1531960842281881
50,20,10,5,gini,0.8960451977401129,1.0,0.2916666666666667,0.4327561327561328,0.4957913911945325,0.15319609597314632
100,20,10,5,gini,0.9128248587570622,1.0,0.40555555555555556,0.5630769230769231,0.5988901220014909,0.1531961083892628
200,20,10,5,gini,0.9128248587570621,1.0,0.4083333333333334,0.5708291708291708,0.6032151545942478,0.153196120469794
50,30,5,2,gini,0.9296045197740114,1.0,0.5222222222222221,0.6764102564102564,0.6899559617852347,0.1531961335570443
100,30,5,2,gini,0.9296610169491526,1.0,0.5222222222222223,0.6641375291375291,0.6834887467483444,0.1531961459731486
200,30,5,2,gini,0.9397175141242938,1.0,0.5888888888888888,0.7196455505279034,0.7323746751352577,0.15319615805369202
50,30,10,2,gini,0.9229378531073447,1.0,0.475,0.6227522477522478,0.6490358113015107,0.15319617046979628
100,30,10,2,gini,0.9262711864406781,1.0,0.5,0.6533333333333333,0.6719378959837143,0.15319618422818043
200,30,10,2,gini,0.9329378531073447,1.0,0.5444444444444444,0.6961904761904761,0.7062622722422189,0.15319619731543074
50,30,5,5,gini,0.9128813559322033,1.0,0.4083333333333333,0.5648951048951049,0.6003635782990445,0.1531962107382541
100,30,5,5,gini,0.9162146892655366,1.0,0.4305555555555555,0.5879720279720281,0.6183816441005648,0.15319622315435835
200,30,5,5,gini,0.9094915254237289,1.0,0.3833333333333333,0.5399999999999999,0.5808720561999706,0.15319623624160866
50,30,10,5,gini,0.90954802259887,1.0,0.38611111111111107,0.5418181818181819,0.5823455124975242,0.15319625134228493
100,30,10,5,gini,0.912768361581921,1.0,0.40555555555555556,0.5657142857142857,0.6000299429521582,0.15319626476509604
200,30,10,5,gini,0.9027118644067796,1.0,0.3388888888888889,0.4988811188811189,0.5465930783097562,0.15319627751677334
50,10,5,2,entropy,0.9429378531073447,0.975,0.6333333333333333,0.7608963585434172,0.7563166965381849,0.15319628959731676
100,10,5,2,entropy,0.9496610169491525,1.0,0.6527777777777778,0.775183346065699,0.7788530204241523,0.1531963030201279
200,10,5,2,entropy,0.9429943502824859,1.0,0.6083333333333333,0.7382602691426221,0.7473964129570483,0.15319631543624437
50,10,10,2,entropy,0.9329378531073447,1.0,0.5416666666666667,0.692882117882118,0.7041752593408669,0.15319632718120257
100,10,10,2,entropy,0.9429378531073447,1.0,0.6083333333333333,0.7448051948051948,0.7499568860978881,0.15319633993287987
200,10,10,2,entropy,0.9296045197740114,1.0,0.5194444444444445,0.6731018981018981,0.6878689488838825,0.15319635201342333
50,10,5,5,entropy,0.9094915254237288,1.0,0.3861111111111111,0.5477522477522478,0.5851970887927275,0.15319636442952758
100,10,5,5,entropy,0.9128248587570622,1.0,0.40555555555555556,0.5630769230769231,0.5988901220014909,0.15319637718120485
200,10,5,5,entropy,0.9060451977401132,1.0,0.36111111111111105,0.5261538461538462,0.5674081500906079,0.15319639026845516
50,10,10,5,entropy,0.9227118644067798,0.975,0.4916666666666666,0.6120074696545286,0.636950632320826,0.15319640335570547
100,10,10,5,entropy,0.9027118644067798,1.0,0.3416666666666667,0.509090909090909,0.5536592122527433,0.15319641577180973
200,10,10,5,entropy,0.9195480225988701,1.0,0.4527777777777778,0.6152447552447552,0.6391967158814165,0.15319642852348703
50,20,5,2,entropy,0.9296610169491526,1.0,0.5194444444444445,0.6557677616501146,0.6790879590746393,0.15319644060401827
100,20,5,2,entropy,0.9463276836158192,1.0,0.6305555555555555,0.760183346065699,0.764528001134235,0.1531964526845617
200,20,5,2,entropy,0.9463276836158192,1.0,0.6305555555555555,0.7580404889228419,0.7637027234140324,0.15319646510066598
50,20,10,2,entropy,0.9396045197740113,0.9714285714285715,0.6083333333333333,0.7369480519480519,0.7360276152402614,0.1531964771812094
100,20,10,2,entropy,0.9329943502824859,0.9666666666666668,0.5638888888888889,0.6906595365418895,0.699086289675108,0.15319649295301951
200,20,10,2,entropy,0.9329378531073447,1.0,0.5416666666666667,0.692882117882118,0.7041752593408669,0.15319650704697668
50,20,5,5,entropy,0.9195480225988701,1.0,0.4527777777777778,0.6077522477522478,0.6346879545575492,0.15319651946308094
100,20,5,5,entropy,0.9161581920903956,1.0,0.42777777777777776,0.5786613386613386,0.612399426479144,0.15319653255033125
200,20,5,5,entropy,0.9128248587570622,1.0,0.4083333333333334,0.5750249750249751,0.6060121605735791,0.15319654530200855
50,20,10,5,entropy,0.9195480225988701,1.0,0.4527777777777778,0.6119480519480519,0.6374849605368805,0.153196557382552
100,20,10,5,entropy,0.9161581920903956,1.0,0.4305555555555555,0.5981018981018982,0.6240302263750994,0.15319656946308322
200,20,10,5,entropy,0.9228813559322034,1.0,0.475,0.6383216783216784,0.6572147816829368,0.15319658154362667
50,30,5,2,entropy,0.9329378531073447,0.9777777777777779,0.5638888888888889,0.6774531024531025,0.6956370419487194,0.15319659328858487
100,30,5,2,entropy,0.9429378531073447,1.0,0.6083333333333333,0.7469480519480519,0.7507821638180907,0.15319660604026217
200,30,5,2,entropy,0.9496610169491525,1.0,0.6527777777777778,0.775183346065699,0.7788530204241523,0.15319661879193947
50,30,10,2,entropy,0.93954802259887,1.0,0.586111111111111,0.7271678321678322,0.7344530159070622,0.1531966308724829
100,30,10,2,entropy,0.9496610169491525,1.0,0.6527777777777778,0.775183346065699,0.7788530204241523,0.15319664463086705
200,30,10,2,entropy,0.9396610169491526,1.0,0.586111111111111,0.7232602691426222,0.733071393667131,0.1531966570469713
50,30,5,5,entropy,0.9195480225988701,1.0,0.4527777777777778,0.6119480519480519,0.6374849605368805,0.15319666879194174
100,30,5,5,entropy,0.9228248587570622,1.0,0.4722222222222222,0.629010989010989,0.6512325640615159,0.153196681208046
200,30,5,5,entropy,0.9161581920903956,1.0,0.4305555555555555,0.5981018981018982,0.6240302263750994,0.15319669328858943
50,30,10,5,entropy,0.9261581920903955,1.0,0.49722222222222223,0.6581018981018981,0.6735048996437237,0.15319671744966412
100,30,10,5,entropy,0.9194350282485877,1.0,0.45,0.6118681318681319,0.6360660745551988,0.1531967302013414
200,30,10,5,entropy,0.9061016949152542,1.0,0.3611111111111111,0.5186613386613387,0.5629085607143223,0.15319674194631183
