n_neighbors,metric,weights,accuracy,precision,recall,f1,preparationTime
0.01,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.0115151250836448
0.01,rbf,0.8494949494949494,1.0,0.0,0.0,0.0,0.01151515317726086
0.01,poly,0.8461616161616162,0.6666666666666666,0.0,0.0,-0.01407334436402497,0.011515167224093225
0.01,sigmoid,0.8494949494949494,1.0,0.0,0.0,0.0,0.011515182943179126
0.1,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.011515194314405832
0.1,rbf,0.8494949494949494,1.0,0.0,0.0,0.0,0.011515209030139612
0.1,poly,0.8461616161616162,0.6666666666666666,0.0,0.0,-0.01407334436402497,0.011515219732464905
0.1,sigmoid,0.8494949494949494,1.0,0.0,0.0,0.0,0.011515233110395855
1.0,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.011515242474918318
1.0,rbf,0.8494949494949494,1.0,0.0,0.0,0.0,0.011515255183947855
1.0,poly,0.8561952861952862,0.8888888888888888,0.06666666666666667,0.11574074074074074,0.16450397529403413,0.011515264214068281
1.0,sigmoid,0.8494949494949494,1.0,0.0,0.0,0.0,0.01151527892980206
10.0,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.01151528762542311
10.0,rbf,0.8896296296296295,0.9523809523809524,0.2888888888888889,0.4332801701222753,0.4825148119604272,0.011515300334452645
10.0,poly,0.8628619528619529,0.8055555555555555,0.13333333333333333,0.22100389863547756,0.27883636538904,0.01151531438128501
10.0,sigmoid,0.8595959595959596,0.5824175824175825,0.3333333333333333,0.41558441558441556,0.36467043225850304,0.01151532775921596
100.0,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.011515341471597617
100.0,rbf,0.9196632996632997,0.9047619047619048,0.5333333333333333,0.6481564412598896,0.6477682409015256,0.011515354180627154
100.0,poly,0.8627946127946128,0.65,0.19999999999999998,0.30526315789473685,0.3068173264373793,0.011515368227459518
100.0,sigmoid,0.7827609427609428,0.3223905723905724,0.35555555555555557,0.3325749992416659,0.20828125983701573,0.011515380936489055
