pca_n_components,learning_rate,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
167,0.01,3,50,0.8494949494949494,1.0,0.0,0.0,0.0,0.3402866769231035
167,0.01,3,100,0.8594949494949495,1.0,0.06666666666666667,0.12009803921568628,0.19310495819840898,0.34028671270903715
167,0.01,3,200,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.3402867411371526
167,0.01,3,300,0.8761952861952862,0.9166666666666666,0.19999999999999998,0.31359649122807015,0.37605385780821554,0.3402867648829581
167,0.01,5,50,0.8494949494949494,1.0,0.0,0.0,0.0,0.3402867919732708
167,0.01,5,100,0.8594949494949495,1.0,0.06666666666666667,0.12009803921568628,0.19310495819840898,0.34028680903015945
167,0.01,5,200,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.3402868317726129
167,0.01,5,300,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.34028685351171417
167,0.01,7,50,0.8494949494949494,1.0,0.0,0.0,0.0,0.3402868759197169
167,0.01,7,100,0.8594949494949495,1.0,0.06666666666666667,0.12009803921568628,0.19310495819840898,0.3402868926421549
167,0.01,7,200,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.34028691705686187
167,0.01,7,300,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.340286940133766
167,0.01,10,50,0.8494949494949494,1.0,0.0,0.0,0.0,0.34028696187296464
167,0.01,10,100,0.8594949494949495,1.0,0.06666666666666667,0.12009803921568628,0.19310495819840898,0.3402869782608546
167,0.01,10,200,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.3402869993311518
167,0.01,10,300,0.8695286195286195,1.0,0.13333333333333333,0.23120915032679737,0.33258389693828516,0.3402870214047038
167,0.1,3,50,0.8728619528619529,0.8611111111111112,0.19999999999999998,0.30565998329156224,0.3551782676326667,0.3402870438127065
167,0.1,3,100,0.8795959595959596,0.8611111111111112,0.24444444444444446,0.37510442773600666,0.4149396980993864,0.3402870688963149
167,0.1,3,200,0.882929292929293,0.9444444444444445,0.24444444444444446,0.38095238095238093,0.44015329085143867,0.34028709197331636
167,0.1,3,300,0.882929292929293,0.9444444444444445,0.24444444444444446,0.38095238095238093,0.44015329085143867,0.34028711538467116
167,0.1,5,50,0.8728619528619529,0.9166666666666666,0.17777777777777778,0.28728070175438597,0.3559851833518905,0.340287138796026
167,0.1,5,100,0.8762289562289562,0.9166666666666666,0.19999999999999998,0.3240454076367389,0.3895698826578596,0.34028716287628225
167,0.1,5,200,0.8862626262626262,0.9444444444444445,0.26666666666666666,0.4101921470342523,0.4625781939723055,0.34028718628763704
167,0.1,5,300,0.8862626262626262,0.9444444444444445,0.26666666666666666,0.4101921470342523,0.4625781939723055,0.34028720903009047
167,0.1,7,50,0.8661952861952861,0.8055555555555555,0.17777777777777778,0.2739139515455305,0.3158699822061542,0.3402872327759934
167,0.1,7,100,0.8795622895622897,0.9333333333333332,0.2222222222222222,0.35211558307533536,0.41444421524022146,0.3402872555184468
167,0.1,7,200,0.8862289562289561,0.9523809523809524,0.26666666666666666,0.4006004315601839,0.45634579403172054,0.3402872792642523
167,0.1,7,300,0.8862626262626262,0.8571428571428571,0.3111111111111111,0.4444444444444444,0.4650724050431367,0.34028730234115645
167,0.1,10,50,0.8661952861952861,0.8055555555555555,0.17777777777777778,0.2739139515455305,0.3158699822061542,0.34028732608696194
167,0.1,10,100,0.8795622895622897,0.9333333333333332,0.2222222222222222,0.35211558307533536,0.41444421524022146,0.3402873491638661
167,0.1,10,200,0.8862289562289561,0.9523809523809524,0.26666666666666666,0.4006004315601839,0.45634579403172054,0.34028737190641684
167,0.1,10,300,0.8862626262626262,0.8571428571428571,0.3111111111111111,0.4444444444444444,0.4650724050431367,0.3402873956522224
167,0.3,3,50,0.8862289562289561,0.9444444444444445,0.26666666666666666,0.40382819794584496,0.45647013726788005,0.3402874193980279
167,0.3,3,100,0.8795622895622897,0.7916666666666666,0.2888888888888889,0.4168573607932875,0.4269670617556871,0.3402874441471856
167,0.3,3,200,0.882895622895623,0.7916666666666666,0.3111111111111111,0.4406668846028114,0.4453997570066508,0.3402874678929911
