pca_n_components,n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
50,10,10,2,1,gini,0.6333333333333333,0.7372294372294372,0.4444444444444445,0.55002331002331,0.2968563938940603,2.880374709999887
50,50,10,2,1,gini,0.7555555555555555,0.8195970695970697,0.6444444444444444,0.7125008924109374,0.525324633932852,2.880374859999736
50,100,10,2,1,gini,0.7555555555555555,0.7841880341880342,0.7111111111111111,0.743073334471184,0.5165748311913616,2.8803749511108943
50,300,10,2,1,gini,0.7333333333333333,0.8321678321678322,0.6,0.6932234432234433,0.4904606194794778,2.8803750344442154
50,500,10,2,1,gini,0.7000000000000001,0.7752525252525252,0.5555555555555555,0.6452991452991453,0.4163363993931075,2.880375113333058
50,10,10,5,1,gini,0.7333333333333333,0.7209653092006034,0.7555555555555555,0.7351190476190476,0.47087095579741867,2.88037519444414
50,50,10,5,1,gini,0.6555555555555556,0.7781385281385281,0.4444444444444445,0.5608594304246478,0.3471412598767838,2.8803752744441025
50,100,10,5,1,gini,0.7333333333333334,0.8397435897435898,0.5777777777777778,0.6786749482401656,0.4931630271872433,2.880375348888467
50,300,10,5,1,gini,0.7333333333333333,0.8257575757575758,0.6,0.6940170940170941,0.4870707678611493,2.8803754222217117
50,500,10,5,1,gini,0.7000000000000001,0.7564102564102564,0.5777777777777778,0.6516754850088183,0.4111399666617428,2.88037551333287
50,10,10,2,2,gini,0.6,0.6814814814814815,0.37777777777777777,0.4814285714285715,0.2239281688768767,2.8803756088885066
50,50,10,2,2,gini,0.7555555555555555,0.8382352941176471,0.6666666666666666,0.72493961352657,0.5388921647386905,2.8803756777772733
50,100,10,2,2,gini,0.6777777777777777,0.772053872053872,0.5111111111111111,0.614017094017094,0.3792916738749906,2.8803757511111647
50,300,10,2,2,gini,0.7222222222222223,0.7837995337995337,0.6222222222222222,0.692918192918193,0.4557092349804955,2.8803758222221707
50,500,10,2,2,gini,0.7222222222222223,0.7880952380952381,0.6222222222222222,0.6921072796934866,0.4582751927605792,2.8803758933331767
50,10,10,5,2,gini,0.6666666666666666,0.7592592592592592,0.48888888888888893,0.5905797101449276,0.3578187062560936,2.880375964444182
50,50,10,5,2,gini,0.7666666666666666,0.8040293040293042,0.7111111111111111,0.7545155993431855,0.5375356099683498,2.880376041110786
50,100,10,5,2,gini,0.6666666666666666,0.7518518518518519,0.5111111111111111,0.6064197530864197,0.3547277722226145,2.880376115555151
50,300,10,5,2,gini,0.7444444444444445,0.7882117882117882,0.6666666666666666,0.7207275483137553,0.49556305606587253,2.880376187777276
50,500,10,5,2,gini,0.7222222222222222,0.7954545454545455,0.6,0.6837606837606837,0.4588828466254558,2.8803762588889286
