pca_n_components,C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
200,0.01,linear,0.90960452,0.763333333,0.577777778,0.64256569,0.609547824,0.163041016
200,0.1,linear,0.90960452,0.773636364,0.577777778,0.640711054,0.612313023,0.163041085
200,1,linear,0.90960452,0.773636364,0.577777778,0.640711054,0.612313023,0.163041153
200,10,linear,0.90960452,0.773636364,0.577777778,0.640711054,0.612313023,0.163041233
200,100,linear,0.90960452,0.773636364,0.577777778,0.640711054,0.612313023,0.163041316
180,0.1,linear,0.902937853,0.723809524,0.577777778,0.622069597,0.585889186,0.163040674
180,1,linear,0.902937853,0.723809524,0.577777778,0.622069597,0.585889186,0.163040764
180,10,linear,0.902937853,0.723809524,0.577777778,0.622069597,0.585889186,0.163040847
180,100,linear,0.902937853,0.723809524,0.577777778,0.622069597,0.585889186,0.163040931
220,0.01,linear,0.906271186,0.759350649,0.555555556,0.621593407,0.592125275,0.1630414
220,0.1,linear,0.906271186,0.759350649,0.555555556,0.621593407,0.592125275,0.16304147
220,1,linear,0.906271186,0.759350649,0.555555556,0.621593407,0.592125275,0.163041537
220,10,linear,0.906271186,0.759350649,0.555555556,0.621593407,0.592125275,0.163041614
220,100,linear,0.906271186,0.759350649,0.555555556,0.621593407,0.592125275,0.163041695
180,0.01,linear,0.902937853,0.730779221,0.555555556,0.611593407,0.577370727,0.163040573
180,100,rbf,0.906271186,0.818333333,0.511111111,0.585462051,0.580564438,0.163040954
220,100,rbf,0.90960452,0.893333333,0.488888889,0.580542265,0.594691286,0.163041715
200,100,rbf,0.902937853,0.826666667,0.466666667,0.557338802,0.557523223,0.163041337
180,10,rbf,0.87960452,0.769047619,0.355555556,0.45557041,0.452438358,0.163040869
200,10,rbf,0.87960452,0.769047619,0.355555556,0.45557041,0.452438358,0.163041255
220,10,rbf,0.87960452,0.769047619,0.355555556,0.45557041,0.452438358,0.163041635
180,100,sigmoid,0.816101695,0.424242424,0.377777778,0.377192982,0.284580017,0.163040996
200,100,sigmoid,0.816101695,0.424242424,0.377777778,0.377192982,0.284580017,0.163041379
220,100,sigmoid,0.816101695,0.424242424,0.377777778,0.377192982,0.284580017,0.163041755
180,10,sigmoid,0.84960452,0.475,0.311111111,0.358897573,0.297699987,0.16304091
200,10,sigmoid,0.84960452,0.475,0.311111111,0.358897573,0.297699987,0.163041296
220,10,sigmoid,0.84960452,0.475,0.311111111,0.358897573,0.297699987,0.163041675
180,100,poly,0.859491525,0.7,0.155555556,0.224615385,0.226016276,0.163040975
200,100,poly,0.859491525,0.7,0.155555556,0.224615385,0.226016276,0.163041359
220,100,poly,0.859491525,0.7,0.155555556,0.224615385,0.226016276,0.163041735
180,10,poly,0.859548023,0.9,0.088888889,0.149090909,0.186710678,0.16304089
200,10,poly,0.859548023,0.9,0.088888889,0.149090909,0.186710678,0.163041276
220,10,poly,0.859548023,0.9,0.088888889,0.149090909,0.186710678,0.163041656
180,1,poly,0.852881356,0.9,0.044444444,0.076363636,0.098302014,0.163040805
180,1,sigmoid,0.842881356,0.5,0.044444444,0.076363636,0.071762428,0.163040826
200,1,poly,0.852881356,0.9,0.044444444,0.076363636,0.098302014,0.163041193
200,1,sigmoid,0.842881356,0.5,0.044444444,0.076363636,0.071762428,0.163041213
220,1,poly,0.852881356,0.9,0.044444444,0.076363636,0.098302014,0.163041575
220,1,sigmoid,0.842881356,0.5,0.044444444,0.076363636,0.071762428,0.163041594
180,0.01,poly,0.849548023,0.8,0.022222222,0.04,0.05096039,0.163040634
180,1,rbf,0.849491525,0.8,0.022222222,0.04,0.051044263,0.163040787
200,0.01,poly,0.849548023,0.8,0.022222222,0.04,0.05096039,0.163041052
200,1,rbf,0.849491525,0.8,0.022222222,0.04,0.051044263,0.163041174
220,0.01,poly,0.849548023,0.8,0.022222222,0.04,0.05096039,0.163041436
220,1,rbf,0.849491525,0.8,0.022222222,0.04,0.051044263,0.163041557
180,0.01,rbf,0.849491525,1,0,0,0,0.163040615
180,0.01,sigmoid,0.849491525,1,0,0,0,0.163040657
180,0.1,rbf,0.849491525,1,0,0,0,0.1630407
180,0.1,poly,0.846158192,0.8,0,0,-0.010938056,0.163040715
180,0.1,sigmoid,0.849491525,1,0,0,0,0.163040745
200,0.01,rbf,0.849491525,1,0,0,0,0.163041037
200,0.01,sigmoid,0.849491525,1,0,0,0,0.16304107
200,0.1,rbf,0.849491525,1,0,0,0,0.163041106
200,0.1,poly,0.846158192,0.8,0,0,-0.010938056,0.16304112
200,0.1,sigmoid,0.849491525,1,0,0,0,0.163041138
220,0.01,rbf,0.849491525,1,0,0,0,0.163041421
220,0.01,sigmoid,0.849491525,1,0,0,0,0.163041456
220,0.1,rbf,0.849491525,1,0,0,0,0.16304149
220,0.1,poly,0.846158192,0.8,0,0,-0.010938056,0.163041505
220,0.1,sigmoid,0.849491525,1,0,0,0,0.163041522
