dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,threshold,accuracy,precision,recall,f1,mcc
10,5,2,entropy,log2,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,log2,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,log2,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,log2,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,log2,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,log2,0.6,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,log2,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,log2,0.8,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,log2,0.9,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,sqrt,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,sqrt,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,sqrt,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,sqrt,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,sqrt,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,entropy,sqrt,0.6,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,sqrt,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,sqrt,0.8,0.55,1.0,0.0,0.0,0.0
10,5,2,entropy,sqrt,0.9,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,log2,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,log2,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,log2,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,log2,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,log2,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,log2,0.6,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,log2,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,log2,0.8,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,log2,0.9,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,sqrt,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,sqrt,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,sqrt,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,sqrt,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,sqrt,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,2,gini,sqrt,0.6,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,sqrt,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,sqrt,0.8,0.55,1.0,0.0,0.0,0.0
10,5,2,gini,sqrt,0.9,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,log2,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,log2,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,log2,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,log2,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,log2,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,log2,0.6,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,log2,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,log2,0.8,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,log2,0.9,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,sqrt,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,sqrt,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,sqrt,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,sqrt,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,sqrt,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,entropy,sqrt,0.6,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,sqrt,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,sqrt,0.8,0.55,1.0,0.0,0.0,0.0
10,5,5,entropy,sqrt,0.9,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,log2,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,log2,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,log2,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,log2,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,log2,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,log2,0.6,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,log2,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,log2,0.8,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,log2,0.9,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,sqrt,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,sqrt,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,sqrt,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,sqrt,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,sqrt,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,5,5,gini,sqrt,0.6,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,sqrt,0.7000000000000001,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,sqrt,0.8,0.55,1.0,0.0,0.0,0.0
10,5,5,gini,sqrt,0.9,0.55,1.0,0.0,0.0,0.0
10,10,2,entropy,log2,0.1,0.45,0.45,1.0,0.6206896551724138,0.0
10,10,2,entropy,log2,0.2,0.45,0.45,1.0,0.6206896551724138,0.0
10,10,2,entropy,log2,0.30000000000000004,0.45,0.45,1.0,0.6206896551724138,0.0
10,10,2,entropy,log2,0.4,0.45,0.45,1.0,0.6206896551724138,0.0
10,10,2,entropy,log2,0.5,0.45,0.45,1.0,0.6206896551724138,0.0
10,10,2,entropy,log2,0.6,0.55,1.0,0.0,0.0,0.0
