rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,entropy,0.1,0.732486388384755,0.39218944099378883,1.0,0.5565,0.5170692813342949
50,10,5,2,entropy,0.2,0.8473079249848761,0.5195994794679005,0.9333333333333332,0.6625477131564088,0.6208522254039833
50,10,5,2,entropy,0.30000000000000004,0.9029038112522686,0.6400524475524476,0.9111111111111111,0.7460574162679425,0.710005532527991
50,10,5,2,entropy,0.4,0.9270417422867514,0.7525252525252525,0.8222222222222222,0.7754106280193237,0.7409344196540966
50,10,5,2,entropy,0.5,0.9445251058681186,0.857922077922078,0.7777777777777778,0.8044736842105262,0.7813873809715715
50,10,5,2,entropy,0.6,0.9479733817301875,0.9142857142857143,0.7333333333333333,0.8060924369747899,0.787926131877825
50,10,5,2,entropy,0.7000000000000001,0.9374470659407137,0.9333333333333332,0.6222222222222222,0.7166666666666666,0.7205633499583234
50,10,5,2,entropy,0.8,0.9027828191167574,1.0,0.37777777777777777,0.5215184815184816,0.5634576925310435
50,10,5,2,entropy,0.9,0.8612825166364185,1.0,0.11111111111111112,0.16307692307692306,0.18860959369973979
50,10,5,2,gini,0.1,0.7187537810042347,0.37079658385093167,1.0,0.5368178616205876,0.4969590803997133
50,10,5,2,gini,0.2,0.8473684210526315,0.5162912087912088,0.9333333333333332,0.6607878787878787,0.6190228968792899
50,10,5,2,gini,0.30000000000000004,0.9063520871143375,0.6509615384615385,0.9111111111111111,0.7523732057416268,0.7178629373635708
50,10,5,2,gini,0.4,0.9166364186327888,0.7116305916305916,0.8222222222222222,0.7511111111111111,0.7132595146076313
50,10,5,2,gini,0.5,0.9375075620084694,0.8107142857142857,0.7777777777777778,0.7861344537815126,0.7554398661202952
50,10,5,2,gini,0.6,0.9373865698729583,0.888888888888889,0.6888888888888889,0.7602991452991452,0.7429747679175361
50,10,5,2,gini,0.7000000000000001,0.9374470659407139,0.96,0.6222222222222222,0.7375210084033613,0.736274449288101
50,10,5,2,gini,0.8,0.8889897156684816,1.0,0.28888888888888886,0.4127272727272728,0.4791380194089062
50,10,5,2,gini,0.9,0.8612220205686629,1.0,0.11111111111111112,0.16307692307692306,0.18869976371127176
50,10,5,5,entropy,0.1,0.5901391409558379,0.28610779116213897,0.9777777777777779,0.43893647705773803,0.3718648156395721
50,10,5,5,entropy,0.2,0.7985480943738656,0.44147073566268613,0.9333333333333332,0.595479422538246,0.5488857952822637
50,10,5,5,entropy,0.30000000000000004,0.8611010284331518,0.5442124542124542,0.9111111111111111,0.6754648649701124,0.6325836543112203
50,10,5,5,entropy,0.4,0.9200846944948579,0.7055555555555555,0.8444444444444444,0.7605754582534768,0.7239362016545173
50,10,5,5,entropy,0.5,0.9269207501512401,0.7866666666666667,0.7777777777777778,0.7656862745098039,0.7348398450010437
50,10,5,5,entropy,0.6,0.9478523895946763,0.9400000000000001,0.711111111111111,0.7787593984962407,0.7789094132869886
50,10,5,5,entropy,0.7000000000000001,0.9235934664246823,0.9333333333333332,0.5333333333333333,0.6577591036414565,0.6632790649568158
50,10,5,5,entropy,0.8,0.8854809437386569,1.0,0.26666666666666666,0.3955844155844156,0.4639373873405249
50,10,5,5,entropy,0.9,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
50,10,5,5,gini,0.1,0.5310344827586206,0.25489864864864864,1.0,0.4050401065883569,0.3357221359475524
50,10,5,5,gini,0.2,0.8020568663036902,0.4444707356626861,0.9333333333333332,0.5986879786879786,0.5524566856288861
50,10,5,5,gini,0.30000000000000004,0.8506352087114337,0.5222826296510508,0.888888888888889,0.6516553411605885,0.6040083271621137
50,10,5,5,gini,0.4,0.9097398669086509,0.6664646464646464,0.8666666666666666,0.7484126984126984,0.70777590176662
50,10,5,5,gini,0.5,0.9269207501512401,0.7866666666666667,0.7777777777777778,0.7656862745098039,0.7348398450010437
50,10,5,5,gini,0.6,0.9409558378705384,0.8942857142857144,0.711111111111111,0.7644736842105263,0.7546914114891504
50,10,5,5,gini,0.7000000000000001,0.9166969147005444,0.9333333333333332,0.48888888888888893,0.6172510822510823,0.6287382185714129
50,10,5,5,gini,0.8,0.8820326678765881,1.0,0.24444444444444446,0.3628571428571429,0.437557186968074
50,10,5,5,gini,0.9,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
50,10,10,2,entropy,0.1,0.7323653962492438,0.3739020847573479,0.9555555555555555,0.5344073078770167,0.48442147968200694
50,10,10,2,entropy,0.2,0.8508166969147005,0.5248626373626374,0.9333333333333332,0.6673096179183136,0.625853226104644
