pca__n_components,max_depth,learning_rate,n_estimators,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,3,0.01,100,0.2,0.22867513611615245,0.16935455521921688,1.0,0.2894788401253918,0.09348793203354121
150,3,0.01,100,0.30000000000000004,0.5346642468239564,0.23383295913007288,0.8666666666666666,0.3656770911044135,0.2566457174828784
150,3,0.01,100,0.4,0.7707199032062916,0.3776567292356766,0.6666666666666666,0.47585709309847235,0.37296077457877574
150,3,0.01,100,0.5,0.8646098003629763,0.5857142857142857,0.5111111111111111,0.5360349402919062,0.46528041937143794
150,3,0.01,100,0.6,0.8646098003629763,0.6571428571428571,0.3111111111111111,0.3977272727272727,0.376335385073116
150,3,0.01,100,0.7000000000000001,0.8610405323653962,1.0,0.11111111111111112,0.18545454545454546,0.23810476072247613
150,3,0.01,100,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,100,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,150,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,3,0.01,150,0.2,0.44422262552934055,0.2140697674418605,0.9333333333333332,0.34658096086667517,0.23081844778263777
150,3,0.01,150,0.30000000000000004,0.6947368421052632,0.32954545454545453,0.8444444444444444,0.46820077220077216,0.3861501212467139
150,3,0.01,150,0.4,0.8298850574712644,0.48205415499533144,0.6666666666666666,0.5496469713861019,0.4660058347262427
150,3,0.01,150,0.5,0.8749546279491833,0.6290476190476191,0.5111111111111111,0.5579131652661065,0.49349199786251957
150,3,0.01,150,0.6,0.8750151240169389,0.7028571428571428,0.37777777777777777,0.4821428571428571,0.44941949189481445
150,3,0.01,150,0.7000000000000001,0.8679975801572898,1.0,0.15555555555555553,0.25272727272727274,0.32062424252110644
150,3,0.01,150,0.8,0.8506352087114337,1.0,0.04444444444444444,0.07272727272727272,0.08819171036881969
150,3,0.01,150,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,200,0.1,0.22558983666061705,0.16542490842490842,0.9777777777777779,0.2829240112485458,0.09175067317188663
150,3,0.01,200,0.2,0.576346037507562,0.26261768791480167,0.9111111111111111,0.40496710581381723,0.3167265292679266
150,3,0.01,200,0.30000000000000004,0.7952208106473079,0.45004140786749486,0.8222222222222222,0.5686646150608906,0.4992654173986537
150,3,0.01,200,0.4,0.8576527525710829,0.545,0.6444444444444445,0.5803662096417515,0.5063240287100268
150,3,0.01,200,0.5,0.8854204476709014,0.6900000000000001,0.5333333333333333,0.58662181471779,0.5364989405525914
150,3,0.01,200,0.6,0.8785238959467634,0.7428571428571429,0.37777777777777777,0.48344155844155845,0.46264583883143284
150,3,0.01,200,0.7000000000000001,0.8784029038112523,1.0,0.22222222222222224,0.33580419580419585,0.3857988726329829
150,3,0.01,200,0.8,0.8575922565033272,1.0,0.08888888888888888,0.15272727272727274,0.21172456035002515
150,3,0.01,200,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.1,100,0.1,0.8576527525710829,0.5437806637806638,0.8,0.6406314094414781,0.5785824951468477
150,3,0.1,100,0.2,0.8993950393224439,0.6703496503496503,0.7333333333333333,0.6941232761047003,0.6398098002476373
150,3,0.1,100,0.30000000000000004,0.902843315184513,0.7580769230769231,0.6222222222222222,0.6614209320091673,0.6243036769162187
150,3,0.1,100,0.4,0.902843315184513,0.7625974025974026,0.5777777777777777,0.6421428571428571,0.6049183422109271
150,3,0.1,100,0.5,0.9062915910465821,0.8,0.5555555555555556,0.6445112781954887,0.6130161625061621
150,3,0.1,100,0.6,0.9061705989110708,0.8583333333333332,0.4666666666666667,0.5896143072613661,0.584476756779331
150,3,0.1,100,0.7000000000000001,0.8992135511191772,0.95,0.37777777777777777,0.49516483516483517,0.4999388262251533
