n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,0.9339987900786448,0.7877777777777778,0.7999999999999999,0.7760971055088702,0.7498460879577376
100,10,5,2,gini,0.9444646098003631,0.8264141414141413,0.8222222222222222,0.8081979458450046,0.7869058747348593
200,10,5,2,gini,0.9479733817301875,0.865050505050505,0.7999999999999999,0.8120634920634922,0.7957969717465704
50,10,10,2,gini,0.9410768300060497,0.8414141414141414,0.7777777777777778,0.7815140415140415,0.7664625284497248
100,10,10,2,gini,0.9444646098003631,0.8514141414141413,0.7999999999999999,0.8034920634920635,0.7864042542519805
200,10,10,2,gini,0.9410768300060497,0.8414141414141414,0.7777777777777778,0.7815140415140415,0.7664625284497248
50,10,5,5,gini,0.9271627344222626,0.7514285714285716,0.7777777777777778,0.7469924812030075,0.717074866819532
100,10,5,5,gini,0.927102238354507,0.76,0.7777777777777778,0.7447623583846494,0.7187506892277986
200,10,5,5,gini,0.9340592861464005,0.7992063492063493,0.7777777777777778,0.762942612942613,0.7421483195436125
50,10,10,5,gini,0.9271627344222626,0.7514285714285716,0.7777777777777778,0.7469924812030075,0.717074866819532
100,10,10,5,gini,0.927102238354507,0.76,0.7777777777777778,0.7447623583846494,0.7187506892277986
200,10,10,5,gini,0.9340592861464005,0.7992063492063493,0.7777777777777778,0.762942612942613,0.7421483195436125
50,20,5,2,gini,0.9444646098003631,0.8514141414141413,0.7999999999999999,0.8034920634920635,0.7864042542519805
100,20,5,2,gini,0.9444646098003631,0.8514141414141413,0.7999999999999999,0.8034920634920635,0.7864042542519805
200,20,5,2,gini,0.9445251058681186,0.8550505050505051,0.7777777777777778,0.79008547008547,0.7758197526596557
50,20,10,2,gini,0.9445251058681186,0.8550505050505051,0.7777777777777778,0.79008547008547,0.7758197526596557
100,20,10,2,gini,0.941016333938294,0.8264790764790766,0.7777777777777778,0.78008547008547,0.7608982612481333
200,20,10,2,gini,0.9445251058681186,0.8550505050505051,0.7777777777777778,0.79008547008547,0.7758197526596557
50,20,5,5,gini,0.9237144585601935,0.7368831168831169,0.7777777777777778,0.7385714285714285,0.707379583674738
100,20,5,5,gini,0.927102238354507,0.76,0.7777777777777778,0.7447623583846494,0.7187506892277986
200,20,5,5,gini,0.9340592861464005,0.7992063492063493,0.7777777777777778,0.762942612942613,0.7421483195436125
50,20,10,5,gini,0.9237144585601935,0.7368831168831169,0.7777777777777778,0.7385714285714285,0.707379583674738
100,20,10,5,gini,0.927102238354507,0.76,0.7777777777777778,0.7447623583846494,0.7187506892277986
200,20,10,5,gini,0.9340592861464005,0.7992063492063493,0.7777777777777778,0.762942612942613,0.7421483195436125
