n_components,C,kernel,accuracy,precision,recall,f1,mcc
150,0.01,linear,0.9164549304295221,0.8234126984126984,0.6,0.6804262730733319,0.6531782189235465
150,0.01,rbf,0.8334543254688447,0.574047619047619,0.39999999999999997,0.4496175393234217,0.37665797222562286
150,0.01,poly,0.5758620689655173,0.4618181818181818,0.37777777777777777,0.10625,-0.0271159125772965
150,0.01,sigmoid,0.8471869328493649,0.5015873015873016,0.4222222222222222,0.45444444444444443,0.3713070293869578
150,0.1,linear,0.8954627949183303,0.7733333333333333,0.5777777777777778,0.6377713514555621,0.6017312945160389
150,0.1,rbf,0.82994555353902,0.5657142857142857,0.39999999999999997,0.4456959706959707,0.3702096618019057
150,0.1,poly,0.7264367816091954,0.6352941176470589,0.2,0.06,0.020182616194340898
150,0.1,sigmoid,0.8473684210526315,0.5371428571428571,0.31111111111111106,0.3871428571428571,0.32571443999016364
150,1.0,linear,0.8954627949183303,0.7733333333333333,0.5777777777777778,0.6377713514555621,0.6017312945160389
150,1.0,rbf,0.8955837870538416,0.7917460317460318,0.5111111111111111,0.6031746031746031,0.5736352687670407
150,1.0,poly,0.854204476709014,0.9,0.08888888888888888,0.15636363636363634,0.22125080644311151
150,1.0,sigmoid,0.7223230490018149,0.36388888888888893,0.5777777777777777,0.43674595416530904,0.29270863026125465
150,10.0,linear,0.8954627949183303,0.7733333333333333,0.5777777777777778,0.6377713514555621,0.6017312945160389
150,10.0,rbf,0.9200241984271023,0.8734126984126984,0.6,0.6914152840623429,0.6745232212393273
150,10.0,poly,0.8678765880217787,0.6799999999999999,0.2888888888888889,0.4032967032967033,0.38401300553536183
150,10.0,sigmoid,0.635632183908046,0.2651147342995169,0.6222222222222222,0.3656598671842574,0.20483837000069718
150,100.0,linear,0.8954627949183303,0.7733333333333333,0.5777777777777778,0.6377713514555621,0.6017312945160389
150,100.0,rbf,0.9165154264972777,0.8342857142857143,0.6,0.6807836899942163,0.6566357756639963
150,100.0,poly,0.8784029038112523,0.6690476190476191,0.4666666666666667,0.5457002801120449,0.49078290098008315
150,100.0,sigmoid,0.6218390804597701,0.25230399506129286,0.6,0.3502086007702182,0.17786126653241796
