Model,Fold,Best Accuracy,Best Precision,Best Recall,Best F1 Score,Best MCC,Best Parameters
KNN,5-fold-fold,0.8239344262295081,0.4680361305361306,0.7466666666666667,0.566845388365725,0.4925226809183992,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'cosine', 'accuracy': 0.8239344262295081, 'precision': 0.4680361305361306, 'recall': 0.7466666666666667, 'f1': 0.566845388365725, 'mcc': 0.4925226809183992, 'preparationTime': 0.000352934375414}"
KNN,3-fold-fold,0.857062706270627,0.5318077803203661,0.7041666666666666,0.6041771094402673,0.5281142717308954,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean', 'accuracy': 0.857062706270627, 'precision': 0.5318077803203661, 'recall': 0.7041666666666666, 'f1': 0.6041771094402673, 'mcc': 0.5281142717308954, 'preparationTime': 0.0004331170897002}"
SVM,5-fold-fold,0.9202732240437156,0.8392857142857142,0.611111111111111,0.6963741366992141,0.6691593384052171,"{'C': 10.0, 'kernel': 'rbf', 'accuracy': 0.9202732240437156, 'precision': 0.8392857142857142, 'recall': 0.611111111111111, 'f1': 0.6963741366992141, 'mcc': 0.6691593384052171, 'preparationTime': 0.0003407861096331}"
SVM,3-fold-fold,0.9202732240437156,0.8392857142857142,0.611111111111111,0.6963741366992141,0.6691593384052171,"{'C': 10.0, 'kernel': 'rbf', 'accuracy': 0.9202732240437156, 'precision': 0.8392857142857142, 'recall': 0.611111111111111, 'f1': 0.6963741366992141, 'mcc': 0.6691593384052171, 'preparationTime': 0.0003407861096331}"
Naive Bayes,5-fold-fold,0.9169398907103826,0.7714285714285715,0.6333333333333334,0.6892436974789915,0.6504601760622541,"{'alpha': 0.1, 'accuracy': 0.9169398907103826, 'precision': 0.7714285714285715, 'recall': 0.6333333333333334, 'f1': 0.6892436974789915, 'mcc': 0.6504601760622541, 'preparationTime': 0.0003397509402011}"
Naive Bayes,3-fold-fold,0.9068316831683167,0.7402319902319903,0.6180555555555555,0.6724137931034483,0.6229824203893163,"{'alpha': 1.0, 'accuracy': 0.9068316831683167, 'precision': 0.7402319902319903, 'recall': 0.6180555555555555, 'f1': 0.6724137931034483, 'mcc': 0.6229824203893163, 'preparationTime': 0.000364616302325}"
XGBoost,5-fold-fold,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,"{'max_depth': 5.0, 'n_estimators': 100.0, 'learning_rate': 0.1, 'accuracy': 0.9568306010928962, 'precision': 0.9454545454545455, 'recall': 0.7866666666666667, 'f1': 0.8452720035382575, 'mcc': 0.8339711969014194, 'preparationTime': 0.0003456372392027}"
XGBoost,3-fold-fold,0.97009900990099,0.9791666666666666,0.8277777777777778,0.8934018567639258,0.8827896950876521,"{'max_depth': 5.0, 'n_estimators': 200.0, 'learning_rate': 0.1, 'accuracy': 0.97009900990099, 'precision': 0.9791666666666666, 'recall': 0.8277777777777778, 'f1': 0.8934018567639258, 'mcc': 0.8827896950876521, 'preparationTime': 0.0003192567375415}"
Random Forest,5-fold-fold,0.950327868852459,0.8605555555555554,0.8111111111111111,0.8325421396628826,0.8057316396502678,"{'max_depth': 30, 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 50, 'accuracy': 0.950327868852459, 'precision': 0.8605555555555554, 'recall': 0.8111111111111111, 'f1': 0.8325421396628826, 'mcc': 0.8057316396502678, 'preparationTime': 0.0003413665116284}"
Random Forest,3-fold-fold,0.9568646864686468,0.9045177045177044,0.8083333333333332,0.8534562211981567,0.8302348933402532,"{'max_depth': 30, 'criterion': 'entropy', 'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 10, 'accuracy': 0.9568646864686468, 'precision': 0.9045177045177044, 'recall': 0.8083333333333332, 'f1': 0.8534562211981567, 'mcc': 0.8302348933402532, 'preparationTime': 0.0004524303588042}"
Decision Tree,5-fold-fold,0.966775956284153,0.93,0.8711111111111112,0.8918716577540108,0.8780415116902793,"{'criterion': 'gini', 'max_depth': nan, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': nan, 'accuracy': 0.966775956284153, 'precision': 0.93, 'recall': 0.8711111111111112, 'f1': 0.8918716577540108, 'mcc': 0.8780415116902793, 'preparationTime': 0.0003436753023255}"
Decision Tree,3-fold-fold,0.9667986798679868,0.9166666666666666,0.8736111111111112,0.8915925101965146,0.8744409272444104,"{'criterion': 'gini', 'max_depth': nan, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': nan, 'accuracy': 0.9667986798679868, 'precision': 0.9166666666666666, 'recall': 0.8736111111111112, 'f1': 0.8915925101965146, 'mcc': 0.8744409272444104, 'preparationTime': 0.0003409799335538}"
