n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
50,10,5,2,gini,0.9270417422867514,0.027866566559229377,0.7648989898989899,0.09819433972612457,0.7777777777777777,0.09938079899999065,0.7691503267973856,0.08860238332901588,0.7274258235282443,0.10569132318982304
100,10,5,2,gini,0.9304900181488204,0.024775632590317995,0.7715656565656566,0.09225042992996312,0.7999999999999999,0.08314794192830981,0.7831854145166839,0.07590509048329155,0.7437027279728505,0.09088109786921394
200,10,5,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,10,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
100,10,10,2,gini,0.9375075620084695,0.017578870712420244,0.7937878787878787,0.0763103737076051,0.8222222222222222,0.05443310539518171,0.805407636738906,0.05057944629684736,0.7700916168617395,0.060666832301266405
200,10,10,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,5,5,gini,0.9270417422867514,0.02302858924661835,0.7521212121212122,0.07745993036507343,0.7999999999999999,0.0831479419283098,0.7740350877192983,0.07319955713669336,0.7320400726904982,0.08700595870748663
100,10,5,5,gini,0.9339987900786448,0.017001870676777307,0.7743434343434343,0.06463257426528463,0.8222222222222222,0.05443310539518171,0.7962573099415204,0.05061179687011656,0.7583886117248151,0.06044874384774666
200,10,5,5,gini,0.9339987900786448,0.020302177495655684,0.7782323232323233,0.08537720071182713,0.8222222222222222,0.05443310539518171,0.7972205022359822,0.05726094494849603,0.7600199822720289,0.06907021289161032
50,10,10,5,gini,0.9270417422867514,0.02302858924661835,0.7521212121212122,0.07745993036507343,0.7999999999999999,0.0831479419283098,0.7740350877192983,0.07319955713669336,0.7320400726904982,0.08700595870748663
100,10,10,5,gini,0.9339987900786448,0.017001870676777307,0.7743434343434343,0.06463257426528463,0.8222222222222222,0.05443310539518171,0.7962573099415204,0.05061179687011656,0.7583886117248151,0.06044874384774666
200,10,10,5,gini,0.9339987900786448,0.020302177495655684,0.7782323232323233,0.08537720071182713,0.8222222222222222,0.05443310539518171,0.7972205022359822,0.05726094494849603,0.7600199822720289,0.06907021289161032
50,20,5,2,gini,0.927102238354507,0.025363657293803715,0.7761111111111111,0.09049930086354327,0.7555555555555554,0.08314794192830981,0.7643618851049192,0.08090651463606187,0.7222978124687248,0.09580673940036749
100,20,5,2,gini,0.9340592861464005,0.020030502916020897,0.7883333333333333,0.08165721789632502,0.7999999999999999,0.04444444444444442,0.7927760577915377,0.05773319249168918,0.7545742743435974,0.06942504970123299
200,20,5,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,20,10,2,gini,0.9305505142165759,0.018896283522226196,0.7688888888888888,0.06935327348589883,0.7999999999999999,0.04444444444444442,0.783625730994152,0.055724581284545466,0.7428712692066729,0.0665599319329333
100,20,10,2,gini,0.9409558378705384,0.013893564378423418,0.8093434343434343,0.062236076773179785,0.8222222222222222,0.05443310539518171,0.81359477124183,0.04127573883358966,0.7801185672924167,0.04912063797508663
200,20,10,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,20,5,5,gini,0.9304900181488203,0.01917295911276954,0.7687878787878788,0.0652891037983237,0.7999999999999999,0.0831479419283098,0.7818782249742002,0.06261009380834028,0.74238020874492,0.07334597174450161
100,20,5,5,gini,0.9374470659407137,0.014045514202958473,0.7898989898989899,0.05321995908007873,0.8222222222222222,0.05443310539518171,0.8044444444444444,0.043090487621478456,0.7684155621554922,0.05119681700238634
200,20,5,5,gini,0.9339987900786448,0.020302177495655684,0.7782323232323233,0.08537720071182713,0.8222222222222222,0.05443310539518171,0.7972205022359822,0.05726094494849603,0.7600199822720289,0.06907021289161032
50,20,10,5,gini,0.9304900181488203,0.01917295911276954,0.7687878787878788,0.0652891037983237,0.7999999999999999,0.0831479419283098,0.7818782249742002,0.06261009380834028,0.74238020874492,0.07334597174450161
100,20,10,5,gini,0.9374470659407137,0.014045514202958473,0.7898989898989899,0.05321995908007873,0.8222222222222222,0.05443310539518171,0.8044444444444444,0.043090487621478456,0.7684155621554922,0.05119681700238634
200,20,10,5,gini,0.9339987900786448,0.020302177495655684,0.7782323232323233,0.08537720071182713,0.8222222222222222,0.05443310539518171,0.7972205022359822,0.05726094494849603,0.7600199822720289,0.06907021289161032
50,30,5,2,gini,0.927102238354507,0.025363657293803715,0.7761111111111111,0.09049930086354327,0.7555555555555554,0.08314794192830981,0.7643618851049192,0.08090651463606187,0.7222978124687248,0.09580673940036749
100,30,5,2,gini,0.9340592861464005,0.020030502916020897,0.7883333333333333,0.08165721789632502,0.7999999999999999,0.04444444444444442,0.7927760577915377,0.05773319249168918,0.7545742743435974,0.06942504970123299
200,30,5,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,30,10,2,gini,0.9305505142165759,0.018896283522226196,0.7688888888888888,0.06935327348589883,0.7999999999999999,0.04444444444444442,0.783625730994152,0.055724581284545466,0.7428712692066729,0.0665599319329333
100,30,10,2,gini,0.9409558378705384,0.013893564378423418,0.8093434343434343,0.062236076773179785,0.8222222222222222,0.05443310539518171,0.81359477124183,0.04127573883358966,0.7801185672924167,0.04912063797508663
200,30,10,2,gini,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,30,5,5,gini,0.9304900181488203,0.01917295911276954,0.7687878787878788,0.0652891037983237,0.7999999999999999,0.0831479419283098,0.7818782249742002,0.06261009380834028,0.74238020874492,0.07334597174450161
100,30,5,5,gini,0.9374470659407137,0.014045514202958473,0.7898989898989899,0.05321995908007873,0.8222222222222222,0.05443310539518171,0.8044444444444444,0.043090487621478456,0.7684155621554922,0.05119681700238634
200,30,5,5,gini,0.9339987900786448,0.020302177495655684,0.7782323232323233,0.08537720071182713,0.8222222222222222,0.05443310539518171,0.7972205022359822,0.05726094494849603,0.7600199822720289,0.06907021289161032
50,30,10,5,gini,0.9304900181488203,0.01917295911276954,0.7687878787878788,0.0652891037983237,0.7999999999999999,0.0831479419283098,0.7818782249742002,0.06261009380834028,0.74238020874492,0.07334597174450161
100,30,10,5,gini,0.9374470659407137,0.014045514202958473,0.7898989898989899,0.05321995908007873,0.8222222222222222,0.05443310539518171,0.8044444444444444,0.043090487621478456,0.7684155621554922,0.05119681700238634
