n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
150,3,uniform,euclidean,0.8228070175438595,0.4780882352941177,0.6444444444444445,0.5263856143856144,0.4459458856102308
180,3,uniform,euclidean,0.8297640653357533,0.4901923076923077,0.6666666666666667,0.5427261434217956,0.46707571473864257
200,3,uniform,euclidean,0.8228675136116153,0.4758333333333334,0.6666666666666667,0.532120082815735,0.4549036685233025
220,3,uniform,euclidean,0.8124621899576528,0.46044117647058824,0.6888888888888889,0.5257142857142857,0.4500218126849781
150,3,distance,euclidean,0.8644888082274651,0.5863636363636363,0.6444444444444445,0.5886713286713287,0.5264254085616594
180,3,distance,euclidean,0.8714458560193586,0.6016317016317017,0.6666666666666667,0.6071994671994672,0.5492978805363664
200,3,distance,euclidean,0.8645493042952207,0.582051282051282,0.6666666666666667,0.5944721944721945,0.5345058316801187
220,3,distance,euclidean,0.8610405323653962,0.573076923076923,0.6888888888888889,0.5958650045606568,0.5376192538621243
150,5,uniform,euclidean,0.7984271022383544,0.4230555555555555,0.6222222222222222,0.4878132045088567,0.39260437087092787
180,5,uniform,euclidean,0.7949788263762855,0.40434550743374276,0.6000000000000001,0.47301398601398603,0.3713476513157293
200,5,uniform,euclidean,0.7984271022383544,0.4230555555555555,0.6222222222222222,0.4878132045088567,0.39260437087092787
220,5,uniform,euclidean,0.7915305505142165,0.4136437908496732,0.6444444444444444,0.4863817663817664,0.3931951458892489
150,5,distance,euclidean,0.8436176648517847,0.5135897435897436,0.6222222222222222,0.5463203463203462,0.46833780637101274
180,5,distance,euclidean,0.8366606170598911,0.486013986013986,0.6000000000000001,0.5272727272727272,0.44100328889340223
200,5,distance,euclidean,0.8436176648517847,0.5135897435897436,0.6222222222222222,0.5463203463203462,0.46833780637101274
220,5,distance,euclidean,0.8401693889897157,0.5076923076923077,0.6444444444444444,0.5493506493506493,0.4730916562648072
150,7,uniform,euclidean,0.801935874168179,0.44560080442433386,0.6222222222222222,0.49475339475339464,0.4048020504903018
180,7,uniform,euclidean,0.7949183303085299,0.4182726045883941,0.6000000000000001,0.4771861471861472,0.3776430474594556
200,7,uniform,euclidean,0.7914700544464609,0.41167919799498753,0.6000000000000001,0.47244306418219467,0.3718712411481476
220,7,uniform,euclidean,0.7811252268602541,0.39969040247678017,0.6444444444444444,0.4745054945054945,0.3789860862354105
150,7,distance,euclidean,0.8436176648517847,0.5470695970695971,0.6222222222222222,0.5523902108570302,0.48152460604133707
180,7,distance,euclidean,0.84010889292196,0.5114285714285715,0.6000000000000001,0.5353502332907366,0.4544577849745902
200,7,distance,euclidean,0.836660617059891,0.5005194805194806,0.6000000000000001,0.5290344438170524,0.4466003801390105
