n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1
10,10,2,1,gini,0.922994350282486,0.7472222222222221,0.7555555555555554,0.7471521942110176
50,10,2,1,gini,0.9196610169491526,0.7243434343434343,0.7555555555555554,0.7374337805297557
100,10,2,1,gini,0.9296610169491526,0.7498989898989898,0.7999999999999999,0.7728654970760234
10,10,5,1,gini,0.9263276836158193,0.7483333333333333,0.7777777777777777,0.7611971104231166
50,10,5,1,gini,0.9196610169491526,0.7131313131313131,0.7777777777777777,0.7422222222222221
100,10,5,1,gini,0.9363276836158192,0.783888888888889,0.7999999999999999,0.7904368765049878
10,10,2,2,gini,0.9163841807909605,0.721111111111111,0.7333333333333333,0.7259717922256622
50,10,2,2,gini,0.9196610169491526,0.7343434343434343,0.7333333333333332,0.7312418300653595
100,10,2,2,gini,0.9263276836158193,0.7572222222222222,0.7555555555555554,0.7553491572067423
10,10,5,2,gini,0.922994350282486,0.7377777777777778,0.7555555555555554,0.7461988304093566
50,10,5,2,gini,0.912994350282486,0.6993434343434343,0.7333333333333333,0.7139043687650498
100,10,5,2,gini,0.922994350282486,0.7276767676767677,0.7777777777777777,0.7506432748538011
10,30,2,1,gini,0.9364406779661018,0.8405555555555555,0.7333333333333332,0.7727161039854538
50,30,2,1,gini,0.9263276836158193,0.7869841269841269,0.711111111111111,0.7406432748538011
100,30,2,1,gini,0.9364406779661018,0.8119841269841268,0.7555555555555554,0.7798589611283109
10,30,5,1,gini,0.9364406779661018,0.8010101010101011,0.7777777777777777,0.7861437908496731
50,30,5,1,gini,0.922994350282486,0.7426767676767676,0.7555555555555554,0.7469281045751633
100,30,5,1,gini,0.9296610169491526,0.7537878787878788,0.7999999999999999,0.773828689370485
10,30,2,2,gini,0.939774011299435,0.8098124098124098,0.7999999999999999,0.8011111111111111
50,30,2,2,gini,0.9363276836158192,0.7961111111111111,0.7777777777777777,0.7854145166838665
100,30,2,2,gini,0.9363276836158192,0.7861111111111111,0.7999999999999999,0.7916064671482628
10,30,5,2,gini,0.9331073446327682,0.7825396825396825,0.7777777777777777,0.7769005847953216
50,30,5,2,gini,0.9329943502824859,0.7815656565656565,0.7777777777777777,0.7769934640522875
100,30,5,2,gini,0.9363276836158192,0.7861111111111111,0.7999999999999999,0.7916064671482628
10,50,2,1,gini,0.9364406779661018,0.8405555555555555,0.7333333333333332,0.7727161039854538
50,50,2,1,gini,0.9263276836158193,0.7869841269841269,0.711111111111111,0.7406432748538011
100,50,2,1,gini,0.9364406779661018,0.8119841269841268,0.7555555555555554,0.7798589611283109
10,50,5,1,gini,0.9364406779661018,0.8010101010101011,0.7777777777777777,0.7861437908496731
50,50,5,1,gini,0.922994350282486,0.7426767676767676,0.7555555555555554,0.7469281045751633
100,50,5,1,gini,0.9296610169491526,0.7537878787878788,0.7999999999999999,0.773828689370485
10,50,2,2,gini,0.939774011299435,0.8098124098124098,0.7999999999999999,0.8011111111111111
50,50,2,2,gini,0.9363276836158192,0.7961111111111111,0.7777777777777777,0.7854145166838665
100,50,2,2,gini,0.9363276836158192,0.7861111111111111,0.7999999999999999,0.7916064671482628
10,50,5,2,gini,0.9331073446327682,0.7825396825396825,0.7777777777777777,0.7769005847953216
50,50,5,2,gini,0.9329943502824859,0.7815656565656565,0.7777777777777777,0.7769934640522875
100,50,5,2,gini,0.9363276836158192,0.7861111111111111,0.7999999999999999,0.7916064671482628
10,10,2,1,entropy,0.9162711864406781,0.7066666666666668,0.7555555555555554,0.7298245614035087
50,10,2,1,entropy,0.9262711864406781,0.7355555555555555,0.7999999999999999,0.7660818713450291
100,10,2,1,entropy,0.9296610169491526,0.7488888888888888,0.7999999999999999,0.7730994152046783
10,10,5,1,entropy,0.9162146892655368,0.7196464646464646,0.7555555555555554,0.7349982800137599
50,10,5,1,entropy,0.9329943502824859,0.7644444444444445,0.7999999999999999,0.7812865497076023
100,10,5,1,entropy,0.9329943502824859,0.7644444444444445,0.7999999999999999,0.7812865497076023
10,10,2,2,entropy,0.9330508474576271,0.7687878787878788,0.7999999999999999,0.7818782249742002
50,10,2,2,entropy,0.9296610169491526,0.76,0.7777777777777777,0.7684210526315789
100,10,2,2,entropy,0.9263276836158193,0.7444444444444444,0.7777777777777777,0.7602339181286549
10,10,5,2,entropy,0.9196045197740114,0.7294444444444445,0.7333333333333332,0.7305125558995528
50,10,5,2,entropy,0.9296610169491526,0.7488888888888888,0.7999999999999999,0.7730994152046783
100,10,5,2,entropy,0.9263276836158193,0.7444444444444444,0.7777777777777777,0.7602339181286549
10,30,2,1,entropy,0.9431073446327684,0.8647619047619047,0.7555555555555554,0.7946115288220551
50,30,2,1,entropy,0.936497175141243,0.8222222222222222,0.7555555555555554,0.7822222222222222
100,30,2,1,entropy,0.9398305084745763,0.8255555555555556,0.7777777777777777,0.7935741314069487
10,30,5,1,entropy,0.9297175141242938,0.8016666666666665,0.711111111111111,0.7488132094943241
50,30,5,1,entropy,0.9363841807909605,0.7961111111111111,0.7777777777777777,0.7854145166838664
100,30,5,1,entropy,0.9497740112994351,0.8575396825396824,0.7999999999999999,0.8258169934640522
10,30,2,2,entropy,0.9397175141242938,0.8305555555555555,0.7555555555555555,0.7869281045751634
50,30,2,2,entropy,0.9329943502824859,0.7816666666666666,0.7777777777777777,0.7787409700722393
100,30,2,2,entropy,0.9364406779661018,0.813095238095238,0.7555555555555554,0.7813725490196077
10,30,5,2,entropy,0.9297175141242938,0.788888888888889,0.7333333333333334,0.7555555555555555
50,30,5,2,entropy,0.9331073446327685,0.7953174603174603,0.7555555555555554,0.772015823873409
100,30,5,2,entropy,0.9364406779661018,0.7997619047619048,0.7777777777777777,0.7848813209494324
10,50,2,1,entropy,0.9431073446327684,0.8647619047619047,0.7555555555555554,0.7946115288220551
50,50,2,1,entropy,0.936497175141243,0.8222222222222222,0.7555555555555554,0.7822222222222222
100,50,2,1,entropy,0.9398305084745763,0.8255555555555556,0.7777777777777777,0.7935741314069487
10,50,5,1,entropy,0.9297175141242938,0.8016666666666665,0.711111111111111,0.7488132094943241
50,50,5,1,entropy,0.9363841807909605,0.7961111111111111,0.7777777777777777,0.7854145166838664
100,50,5,1,entropy,0.9497740112994351,0.8575396825396824,0.7999999999999999,0.8258169934640522
10,50,2,2,entropy,0.9397175141242938,0.8305555555555555,0.7555555555555555,0.7869281045751634
50,50,2,2,entropy,0.9329943502824859,0.7816666666666666,0.7777777777777777,0.7787409700722393
100,50,2,2,entropy,0.9364406779661018,0.813095238095238,0.7555555555555554,0.7813725490196077
10,50,5,2,entropy,0.9297175141242938,0.788888888888889,0.7333333333333334,0.7555555555555555
50,50,5,2,entropy,0.9331073446327685,0.7953174603174603,0.7555555555555554,0.772015823873409
100,50,5,2,entropy,0.9364406779661018,0.7997619047619048,0.7777777777777777,0.7848813209494324
