n_estimators,max_depth,learning_rate,accuracy,precision,recall,f1
100,3,0.01,0.9498989898989899,0.8786324786324786,0.7777777777777777,0.8232804232804233
150,3,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
200,3,0.01,0.9598989898989899,0.9444444444444445,0.7777777777777777,0.8527336860670194
300,3,0.01,0.9632323232323232,1.0,0.7555555555555555,0.8592592592592592
100,5,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
150,5,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
200,5,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
300,5,0.01,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
100,7,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
150,7,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
200,7,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
300,7,0.01,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
100,10,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
150,10,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
200,10,0.01,0.9532323232323233,0.9,0.7777777777777777,0.8320987654320987
300,10,0.01,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
100,3,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,3,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,3,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
300,3,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,5,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,5,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,5,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,5,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,7,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,7,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,7,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,7,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,10,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,10,0.1,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,10,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,10,0.1,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,3,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
150,3,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
200,3,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,3,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,5,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
150,5,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
200,5,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,5,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,7,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
150,7,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
200,7,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,7,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,10,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
150,10,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
200,10,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
300,10,0.3,0.9698989898989899,1.0,0.8000000000000002,0.884802043422733
100,3,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,3,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,3,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
300,3,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
100,5,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,5,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,5,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
300,5,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
100,7,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,7,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,7,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
300,7,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
100,10,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
150,10,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
200,10,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
300,10,0.5,0.9665656565656565,1.0,0.7777777777777777,0.8724867724867725
