dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,accuracy,precision,recall,f1,mcc
10,5,2,entropy,log2,0.7845130066545674,0.5412280701754385,0.5555555555555556,0.42640692640692646,0.3818753636626142
10,5,2,entropy,sqrt,0.8716878402903812,0.6124542124542124,0.6888888888888889,0.6354264235338405,0.569608383914997
10,5,2,gini,log2,0.7534785238959467,0.4977310924369748,0.5555555555555556,0.40996300996301,0.346637728978618
10,5,2,gini,sqrt,0.874833635813672,0.6257575757575757,0.5333333333333333,0.558974358974359,0.4999174503139714
10,5,5,entropy,log2,0.7879007864488808,0.43575317604355723,0.6222222222222222,0.45064935064935063,0.38714776129514455
10,5,5,entropy,sqrt,0.8402903811252269,0.5269230769230769,0.6,0.5464828078100389,0.4627601761374116
10,5,5,gini,log2,0.7534180278281911,0.41368186874304785,0.6666666666666666,0.4558241758241758,0.38167405224189166
10,5,5,gini,sqrt,0.8713853599516032,0.586978021978022,0.6222222222222222,0.597551365043625,0.5263899947895891
10,10,2,entropy,log2,0.7776164549304295,0.5276057791537667,0.5111111111111111,0.40442890442890445,0.3497089611472438
10,10,2,entropy,sqrt,0.8577132486388385,0.5520202020202021,0.6222222222222222,0.5808590102707749,0.5001494234715071
10,10,2,gini,log2,0.7534785238959467,0.5029501915708812,0.5777777777777777,0.4190830611883244,0.35989960034484786
10,10,2,gini,sqrt,0.8714458560193588,0.6008080808080808,0.5555555555555556,0.5634920634920635,0.49848831420754935
10,10,5,entropy,log2,0.7879007864488808,0.43575317604355723,0.6222222222222222,0.45064935064935063,0.38714776129514455
10,10,5,entropy,sqrt,0.8402903811252269,0.5269230769230769,0.6,0.5464828078100389,0.4627601761374116
10,10,5,gini,log2,0.7534180278281911,0.41368186874304785,0.6666666666666666,0.4558241758241758,0.38167405224189166
10,10,5,gini,sqrt,0.8713853599516032,0.586978021978022,0.6222222222222222,0.597551365043625,0.5263899947895891
20,5,2,entropy,log2,0.7702964307320024,0.4260974835278241,0.6,0.4701310184068805,0.36343601837807304
20,5,2,entropy,sqrt,0.8680580762250454,0.625,0.48888888888888893,0.5348257521632134,0.47262829107721915
20,5,2,gini,log2,0.8013309134906231,0.47668067226890753,0.6222222222222222,0.5165356529879856,0.42164461460596214
20,5,2,gini,sqrt,0.8820326678765881,0.703030303030303,0.5333333333333333,0.5733333333333334,0.5334411869599522
20,5,5,entropy,log2,0.7879007864488808,0.43575317604355723,0.6222222222222222,0.45064935064935063,0.38714776129514455
20,5,5,entropy,sqrt,0.8578342407743497,0.6025,0.5555555555555556,0.5586967418546366,0.4890399959443227
20,5,5,gini,log2,0.8016938898971567,0.4561866125760649,0.6666666666666666,0.4989010989010989,0.43296385744031207
20,5,5,gini,sqrt,0.8611010284331518,0.5882167832167833,0.5777777777777777,0.567339471673837,0.49569723211550587
20,10,2,entropy,log2,0.7702964307320024,0.4260974835278241,0.6,0.4701310184068805,0.36343601837807304
20,10,2,entropy,sqrt,0.8888687235329703,0.6882251082251083,0.5777777777777777,0.6139348370927318,0.5620171551009918
20,10,2,gini,log2,0.804779189352692,0.4833473389355742,0.6222222222222222,0.5218689863213191,0.4274550370087654
20,10,2,gini,sqrt,0.8645493042952207,0.6007142857142858,0.6222222222222222,0.5834101287055924,0.5226463992893977
20,10,5,entropy,log2,0.7879007864488808,0.43575317604355723,0.6222222222222222,0.45064935064935063,0.38714776129514455
20,10,5,entropy,sqrt,0.8578342407743497,0.6025,0.5555555555555556,0.5586967418546366,0.4890399959443227
20,10,5,gini,log2,0.8016938898971567,0.4561866125760649,0.6666666666666666,0.4989010989010989,0.43296385744031207
20,10,5,gini,sqrt,0.8611010284331518,0.5882167832167833,0.5777777777777777,0.567339471673837,0.49569723211550587
30,5,2,entropy,log2,0.8401693889897157,0.6436188510491917,0.6,0.5737484737484737,0.5122703842332379
30,5,2,entropy,sqrt,0.8680580762250454,0.6583333333333333,0.4666666666666666,0.5245693419068032,0.4723924988763934
30,5,2,gini,log2,0.8539624924379915,0.635014005602241,0.6,0.5794468864468865,0.5198903422385053
30,5,2,gini,sqrt,0.8820326678765881,0.703030303030303,0.5333333333333333,0.5733333333333334,0.5334411869599522
30,5,5,entropy,log2,0.7879007864488808,0.43575317604355723,0.6222222222222222,0.45064935064935063,0.38714776129514455
30,5,5,entropy,sqrt,0.8578342407743497,0.6025,0.5555555555555556,0.5586967418546366,0.4890399959443227
30,5,5,gini,log2,0.8016938898971567,0.4561866125760649,0.6666666666666666,0.4989010989010989,0.43296385744031207
30,5,5,gini,sqrt,0.8611010284331518,0.5882167832167833,0.5777777777777777,0.567339471673837,0.49569723211550587
30,10,2,entropy,log2,0.8331518451300666,0.6436188510491917,0.5555555555555556,0.530891330891331,0.4779136202157147
30,10,2,entropy,sqrt,0.8819721718088325,0.6548917748917749,0.5555555555555556,0.5872681704260652,0.5307447417769982
30,10,2,gini,log2,0.8503932244404113,0.6416806722689076,0.5555555555555556,0.541923076923077,0.4913440006237854
30,10,2,gini,sqrt,0.8645493042952207,0.6007142857142858,0.6222222222222222,0.5834101287055924,0.5226463992893977
30,10,5,entropy,log2,0.7879007864488808,0.43575317604355723,0.6222222222222222,0.45064935064935063,0.38714776129514455
30,10,5,entropy,sqrt,0.8578342407743497,0.6025,0.5555555555555556,0.5586967418546366,0.4890399959443227
30,10,5,gini,log2,0.8016938898971567,0.4561866125760649,0.6666666666666666,0.4989010989010989,0.43296385744031207
30,10,5,gini,sqrt,0.8611010284331518,0.5882167832167833,0.5777777777777777,0.567339471673837,0.49569723211550587
