n_neighbors,weights,metric,accuracy,precision,recall,f1,preparationTime
3,uniform,euclidean,0.8125988700564971,0.423982683982684,0.6222222222222221,0.49572845156369183,0.00038722876254124584
3,distance,euclidean,0.8461581920903957,0.5055555555555555,0.6222222222222221,0.5445381540395953,0.00038722876254124584
5,uniform,euclidean,0.77909604519774,0.37711100493709193,0.6222222222222221,0.4629211368341803,0.00038722876254124584
5,distance,euclidean,0.809322033898305,0.42001332001332,0.6222222222222221,0.4938528138528139,0.00038722876254124584
7,uniform,euclidean,0.7858757062146893,0.38788023570632263,0.6444444444444445,0.47785620176924526,0.00038722876254124584
7,distance,euclidean,0.8194350282485875,0.4424242424242424,0.6444444444444445,0.5156067588325652,0.00038722876254124584
9,uniform,euclidean,0.772542372881356,0.37261904761904757,0.6666666666666666,0.4731725955204216,0.00038722876254124584
9,distance,euclidean,0.8127118644067796,0.43041958041958034,0.6666666666666666,0.516212819438626,0.00038722876254124584
11,uniform,euclidean,0.7557627118644068,0.34240835464620634,0.6666666666666666,0.44994871794871794,0.00038722876254124584
11,distance,euclidean,0.7993785310734463,0.40324009324009324,0.6666666666666666,0.4969487501745567,0.00038722876254124584
15,uniform,euclidean,0.7558757062146892,0.3623660130718954,0.7777777777777777,0.49242789364493217,0.00038722876254124584
15,distance,euclidean,0.7927683615819209,0.41531422825540476,0.7777777777777777,0.5365449365449365,0.00038722876254124584
20,uniform,euclidean,0.7425988700564973,0.3447828042793718,0.7333333333333332,0.4629232804232804,0.00038722876254124584
20,distance,euclidean,0.7693220338983051,0.3804040404040404,0.7333333333333332,0.4933376778538069,0.00038722876254124584
3,uniform,cosine,0.806045197740113,0.4115384615384615,0.6888888888888889,0.5144664031620554,0.00038722876254124584
3,distance,cosine,0.8496610169491525,0.5089393939393939,0.6444444444444444,0.5605882352941176,0.00038722876254124584
5,uniform,cosine,0.7325988700564973,0.3255481233742103,0.7333333333333333,0.448021164021164,0.00038722876254124584
5,distance,cosine,0.8062146892655366,0.4222199369258193,0.6888888888888889,0.5161395593653657,0.00038722876254124584
7,uniform,cosine,0.7223163841807908,0.32375845410628024,0.7555555555555555,0.45186030350837647,0.00038722876254124584
7,distance,cosine,0.7793220338983051,0.38473867138828777,0.711111111111111,0.4921228197090266,0.00038722876254124584
9,uniform,cosine,0.6989830508474576,0.3064361268022595,0.7555555555555555,0.43501152073732713,0.00038722876254124584
9,distance,cosine,0.7692655367231639,0.3783272283272283,0.7555555555555555,0.4986127946127946,0.00038722876254124584
11,uniform,cosine,0.6654802259887005,0.2717458525879578,0.711111111111111,0.3917436221800548,0.00038722876254124584
11,distance,cosine,0.7559887005649718,0.3598891730605286,0.7333333333333333,0.47790113509678733,0.00038722876254124584
15,uniform,cosine,0.6453672316384181,0.2705704099821747,0.7333333333333333,0.3917301794977096,0.00038722876254124584
15,distance,cosine,0.7558757062146894,0.3598253552433119,0.7555555555555555,0.4839194139194139,0.00038722876254124584
20,uniform,cosine,0.6822033898305084,0.2837831084457771,0.711111111111111,0.4035083136262809,0.00038722876254124584
20,distance,cosine,0.7592655367231639,0.3627289377289377,0.7555555555555554,0.4860952380952381,0.00038722876254124584
