n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
10,10,2,1,gini,0.9668647690543217,0.9671896735539143,0.9668647690543217,0.9668571441174167,0.0012578548223319756
50,10,2,1,gini,0.9913564800333645,0.9914776750028549,0.9913564800333645,0.9913555098627574,0.0012578548223319756
100,10,2,1,gini,0.9899280575539569,0.9901462619575062,0.9899280575539569,0.9899253743858061,0.0012578548223319756
300,10,2,1,gini,0.988478782191638,0.9887176905289348,0.988478782191638,0.9884760229180752,0.0012578548223319756
500,10,2,1,gini,0.9913669064748202,0.9916089663480484,0.9913669064748202,0.9913654166129703,0.0012578548223319756
10,10,5,1,gini,0.9783755604212283,0.9784768794185192,0.9783755604212283,0.978375262522901,0.0012578548223319756
50,10,5,1,gini,0.984162235429048,0.9846932693598427,0.984162235429048,0.9841544062791318,0.0012578548223319756
100,10,5,1,gini,0.9899280575539569,0.9902675737087352,0.9899280575539569,0.9899247785891514,0.0012578548223319756
300,10,5,1,gini,0.9928057553956835,0.9930242576975601,0.9928057553956835,0.9928030722275327,0.0012578548223319756
500,10,5,1,gini,0.988478782191638,0.9887198648045084,0.988478782191638,0.9884772163632659,0.0012578548223319756
10,10,2,2,gini,0.9726097382963195,0.9739208635659835,0.9726097382963195,0.9725879906734377,0.0012578548223319756
50,10,2,2,gini,0.9899176311125014,0.990180394919477,0.9899176311125014,0.9899160651452394,0.0012578548223319756
100,10,2,2,gini,0.9899280575539569,0.9901878497202239,0.9899280575539569,0.9899258227380976,0.0012578548223319756
300,10,2,2,gini,0.988478782191638,0.9887176905289348,0.988478782191638,0.9884760229180752,0.0012578548223319756
500,10,2,2,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
10,10,5,2,gini,0.9654050672505473,0.9659038100551145,0.9654050672505473,0.9653946269532699,0.0012578548223319756
50,10,5,2,gini,0.9884892086330936,0.9889256188004587,0.9884892086330936,0.9884847383071174,0.0012578548223319756
100,10,5,2,gini,0.9899280575539569,0.9903080352619312,0.9899280575539569,0.9899252270803329,0.0012578548223319756
300,10,5,2,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
500,10,5,2,gini,0.9899280575539569,0.9901093126024069,0.9899280575539569,0.9899268655904343,0.0012578548223319756
10,30,2,1,gini,0.9697216140131373,0.9705159671085548,0.9697216140131373,0.9697070009179019,0.0012578548223319756
50,30,2,1,gini,0.9884683557501825,0.9886707531883687,0.9884683557501825,0.9884668527457595,0.0012578548223319756
100,30,2,1,gini,0.9927953289542281,0.9928556697782975,0.9927953289542281,0.9927946569596319,0.0012578548223319756
