n_components,n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
180,10,10,2,1,gini,0.8796610169491526,0.7628571428571429,0.3111111111111111,0.41980519480519485,0.42478152995949225
180,50,10,2,1,gini,0.8728813559322035,0.8833333333333332,0.2,0.31170163170163173,0.3684980709988305
180,100,10,2,1,gini,0.8762146892655368,0.9333333333333332,0.2,0.3193939393939394,0.3879040646255661
180,10,10,5,1,gini,0.8962146892655367,1.0,0.3111111111111111,0.4555844155844156,0.5123026955548704
180,50,10,5,1,gini,0.8795480225988701,0.85,0.2444444444444444,0.3686713286713287,0.40656722892039576
180,100,10,5,1,gini,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,10,2,2,gini,0.882824858757062,0.8428571428571429,0.2888888888888889,0.40681818181818186,0.4371092427059901
180,50,10,2,2,gini,0.8728813559322035,0.8333333333333333,0.2,0.3157575757575758,0.3623253130193975
180,100,10,2,2,gini,0.8728813559322035,0.8,0.22222222222222224,0.33999999999999997,0.37029487783657034
180,10,10,5,2,gini,0.8828813559322034,0.9,0.26666666666666666,0.39734265734265733,0.4391663320428945
180,50,10,5,2,gini,0.8762146892655368,0.7933333333333333,0.2444444444444444,0.3573160173160173,0.38368873458509384
180,100,10,5,2,gini,0.8795480225988701,0.8333333333333333,0.2444444444444444,0.3661072261072261,0.40115845060176947
180,10,30,2,1,gini,0.8729943502824857,0.7333333333333333,0.28888888888888886,0.3957575757575758,0.3957313203593954
180,50,30,2,1,gini,0.8762146892655368,0.9,0.22222222222222218,0.33734265734265734,0.3919249151189771
180,100,30,2,1,gini,0.8728813559322035,0.8333333333333333,0.2,0.3157575757575758,0.3623253130193975
180,10,30,5,1,gini,0.8895480225988701,0.9166666666666667,0.3111111111111111,0.43836829836829844,0.4769296637376321
180,50,30,5,1,gini,0.8795480225988701,0.8333333333333333,0.2444444444444444,0.3661072261072261,0.40115845060176947
180,100,30,5,1,gini,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,30,2,2,gini,0.8728248587570622,0.7095238095238094,0.2666666666666667,0.36742424242424243,0.37225863899307693
180,50,30,2,2,gini,0.8762146892655368,0.7933333333333333,0.2444444444444444,0.3573160173160173,0.38368873458509384
180,100,30,2,2,gini,0.8695480225988701,0.75,0.22222222222222224,0.3323076923076923,0.35088888420983466
180,10,30,5,2,gini,0.8862146892655367,0.9,0.28888888888888886,0.42041958041958044,0.45718439784441484
180,50,30,5,2,gini,0.8828813559322034,0.8166666666666668,0.28888888888888886,0.402004662004662,0.42492456698839776
180,100,30,5,2,gini,0.8795480225988701,0.8333333333333333,0.2444444444444444,0.3661072261072261,0.40115845060176947
180,10,50,2,1,gini,0.8729943502824857,0.7333333333333333,0.28888888888888886,0.3957575757575758,0.3957313203593954
180,50,50,2,1,gini,0.8762146892655368,0.9,0.22222222222222218,0.33734265734265734,0.3919249151189771
180,100,50,2,1,gini,0.8728813559322035,0.8333333333333333,0.2,0.3157575757575758,0.3623253130193975
180,10,50,5,1,gini,0.8895480225988701,0.9166666666666667,0.3111111111111111,0.43836829836829844,0.4769296637376321
180,50,50,5,1,gini,0.8795480225988701,0.8333333333333333,0.2444444444444444,0.3661072261072261,0.40115845060176947
180,100,50,5,1,gini,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,50,2,2,gini,0.8728248587570622,0.7095238095238094,0.2666666666666667,0.36742424242424243,0.37225863899307693
180,50,50,2,2,gini,0.8762146892655368,0.7933333333333333,0.2444444444444444,0.3573160173160173,0.38368873458509384
180,100,50,2,2,gini,0.8695480225988701,0.75,0.22222222222222224,0.3323076923076923,0.35088888420983466
180,10,50,5,2,gini,0.8862146892655367,0.9,0.28888888888888886,0.42041958041958044,0.45718439784441484
180,50,50,5,2,gini,0.8828813559322034,0.8166666666666668,0.28888888888888886,0.402004662004662,0.42492456698839776
