rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,0.9410768300060497,0.8444444444444443,0.7999999999999999,0.8117273576097105,0.7840693371544811
50,10,5,2,entropy,0.9411373260738053,0.838076923076923,0.8222222222222222,0.8207641429777652,0.7924437795316178
50,10,5,5,gini,0.9410768300060497,0.8169841269841269,0.8222222222222222,0.8125878421544057,0.7826897302665303
50,10,5,5,entropy,0.9444646098003628,0.8464646464646464,0.8222222222222222,0.8255555555555555,0.7986976727017161
50,10,10,2,gini,0.9515426497277677,0.8940170940170941,0.8222222222222222,0.8424272133095663,0.8248318470996819
50,10,10,2,entropy,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
50,10,10,5,gini,0.9410768300060497,0.8169841269841269,0.8222222222222222,0.8125878421544057,0.7826897302665303
50,10,10,5,entropy,0.9444646098003628,0.8464646464646464,0.8222222222222222,0.8255555555555555,0.7986976727017161
50,20,5,2,gini,0.9410768300060497,0.8638888888888889,0.7777777777777777,0.8076423902894492,0.7819643043226112
50,20,5,2,entropy,0.9445251058681186,0.8604545454545456,0.7999999999999999,0.8220743034055727,0.7948833353204983
50,20,5,5,gini,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
50,20,5,5,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
50,20,10,2,gini,0.9515426497277677,0.8940170940170941,0.8222222222222222,0.8424272133095663,0.8248318470996819
50,20,10,2,entropy,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
50,20,10,5,gini,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
50,20,10,5,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
50,30,5,2,gini,0.9410768300060497,0.8638888888888889,0.7777777777777777,0.8076423902894492,0.7819643043226112
50,30,5,2,entropy,0.9445251058681186,0.8604545454545456,0.7999999999999999,0.8220743034055727,0.7948833353204983
50,30,5,5,gini,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
50,30,5,5,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
50,30,10,2,gini,0.9515426497277677,0.8940170940170941,0.8222222222222222,0.8424272133095663,0.8248318470996819
50,30,10,2,entropy,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
50,30,10,5,gini,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
50,30,10,5,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
100,10,5,2,gini,0.9445856019358742,0.8536324786324787,0.8222222222222222,0.8289512774806893,0.802470729962295
100,10,5,2,entropy,0.9480943738656986,0.8733333333333333,0.8222222222222222,0.837984667551231,0.814011465527036
100,10,5,5,gini,0.9307320024198426,0.7828282828282828,0.8222222222222222,0.7903125888036374,0.7580494291429762
100,10,5,5,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
100,10,10,2,gini,0.9341802782819117,0.8308441558441558,0.7999999999999999,0.7962276214833759,0.770807947427431
100,10,10,2,entropy,0.9445251058681186,0.8534615384615385,0.8222222222222222,0.8257106670419365,0.8014738831697252
100,10,10,5,gini,0.9307320024198426,0.7828282828282828,0.8222222222222222,0.7903125888036374,0.7580494291429762
100,10,10,5,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
100,20,5,2,gini,0.951482153660012,0.901010101010101,0.7999999999999999,0.8405555555555555,0.8188048103495718
100,20,5,2,entropy,0.9445251058681186,0.8522727272727273,0.8222222222222222,0.8261344537815125,0.8010434536287094
100,20,5,5,gini,0.9306715063520871,0.8113997113997113,0.7999999999999999,0.7870772946859903,0.7591049422905065
100,20,5,5,entropy,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
100,20,10,2,gini,0.9376285541439806,0.8407342657342657,0.7999999999999999,0.8033422459893048,0.7783259901116273
100,20,10,2,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
100,20,10,5,gini,0.9306715063520871,0.8113997113997113,0.7999999999999999,0.7870772946859903,0.7591049422905065
100,20,10,5,entropy,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
100,30,5,2,gini,0.951482153660012,0.901010101010101,0.7999999999999999,0.8405555555555555,0.8188048103495718
100,30,5,2,entropy,0.9445251058681186,0.8522727272727273,0.8222222222222222,0.8261344537815125,0.8010434536287094
100,30,5,5,gini,0.9306715063520871,0.8113997113997113,0.7999999999999999,0.7870772946859903,0.7591049422905065
100,30,5,5,entropy,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
100,30,10,2,gini,0.9376285541439806,0.8407342657342657,0.7999999999999999,0.8033422459893048,0.7783259901116273
100,30,10,2,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
100,30,10,5,gini,0.9306715063520871,0.8113997113997113,0.7999999999999999,0.7870772946859903,0.7591049422905065
100,30,10,5,entropy,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
200,10,5,2,gini,0.9514216575922564,0.8805555555555555,0.8222222222222222,0.8416900093370682,0.8198467480495735
200,10,5,2,entropy,0.937568058076225,0.8212898212898214,0.8222222222222222,0.8091919191919192,0.7809945340426141
200,10,5,5,gini,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
200,10,5,5,entropy,0.9410768300060497,0.8328282828282827,0.8222222222222222,0.815219421101774,0.7887769373926682
200,10,10,2,gini,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
200,10,10,2,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
200,10,10,5,gini,0.937568058076225,0.8328282828282827,0.7999999999999999,0.8019841269841269,0.7749688994238738
200,10,10,5,entropy,0.9410768300060497,0.8328282828282827,0.8222222222222222,0.815219421101774,0.7887769373926682
200,20,5,2,gini,0.9514216575922564,0.8805555555555555,0.8222222222222222,0.8416900093370682,0.8198467480495735
200,20,5,2,entropy,0.9479733817301875,0.865,0.8222222222222222,0.8335028748341442,0.8098197976188963
200,20,5,5,gini,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,20,5,5,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,20,10,2,gini,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
200,20,10,2,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
200,20,10,5,gini,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,20,10,5,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,30,5,2,gini,0.9514216575922564,0.8805555555555555,0.8222222222222222,0.8416900093370682,0.8198467480495735
200,30,5,2,entropy,0.9479733817301875,0.865,0.8222222222222222,0.8335028748341442,0.8098197976188963
200,30,5,5,gini,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,30,5,5,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,30,10,2,gini,0.941016333938294,0.8455555555555556,0.7999999999999999,0.8093525480367585,0.7837452434140607
200,30,10,2,entropy,0.941016333938294,0.8328282828282827,0.8222222222222222,0.8169841269841269,0.789340448491785
200,30,10,5,gini,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
200,30,10,5,entropy,0.9341197822141561,0.8212898212898214,0.7999999999999999,0.7941919191919192,0.7666229849747028
