pca__n_components,knn__n_neighbors,knn__weights,knn__metric,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.7,3,distance,cosine,0.1,0.5666666666666667,0.09128709291752768,0.5667832167832167,0.10457702355648814,0.7777777777777778,0.1360827634879543,0.6435216616290785,0.04353955204851314,0.13704178130976086,0.1833503335481468
0.7,3,distance,cosine,0.2,0.5777777777777777,0.08425417160057277,0.5744755244755245,0.09973925613144245,0.7777777777777778,0.1360827634879543,0.6490552584670232,0.03958551910625153,0.16184872822760257,0.16791455387471776
0.7,3,distance,cosine,0.30000000000000004,0.6,0.08240220541217402,0.5943589743589743,0.09540132883624441,0.7777777777777778,0.1360827634879543,0.6614316540013134,0.02979204991708188,0.20611147764693225,0.1647198112334713
0.7,3,distance,cosine,0.4,0.611111111111111,0.08784104611578829,0.6076923076923076,0.10088774266799863,0.7777777777777778,0.1360827634879543,0.6684491978609626,0.024699476756775477,0.2280567847636031,0.1746437779221751
0.7,3,distance,cosine,0.5,0.6,0.07243558228002944,0.6005494505494505,0.08883822302506869,0.7555555555555555,0.16480441082434807,0.6522727272727272,0.020115027344472337,0.2069904115393943,0.14552426480501443
0.7,3,distance,cosine,0.6,0.611111111111111,0.11111111111111109,0.6333333333333334,0.1513825177048746,0.711111111111111,0.18592445034090568,0.6464396284829721,0.0692650225770505,0.23086407533730108,0.2298296496163205
0.7,3,distance,cosine,0.7000000000000001,0.611111111111111,0.1571348402636772,0.6316666666666666,0.1887826498619216,0.6666666666666667,0.24845199749997665,0.6257997936016512,0.1553509244101881,0.22844498280819373,0.3206581791296779
0.7,3,distance,cosine,0.8,0.6222222222222222,0.1438019900616087,0.6450793650793651,0.18637989525834855,0.6222222222222222,0.2897423291201177,0.6043650793650793,0.18694856764312093,0.24896141422725854,0.29716283454043063
0.7,3,distance,cosine,0.9,0.6444444444444445,0.11520245196293179,0.8095238095238095,0.21095291841273037,0.5555555555555556,0.3142696805273545,0.5745238095238095,0.21173682483969875,0.3351991096304642,0.23492128343724458
0.7,3,distance,euclidean,0.1,0.5555555555555556,0.12422599874998833,0.5376623376623376,0.08554371611304169,0.7333333333333333,0.16850834320114558,0.6193788819875776,0.11408089186334376,0.12969661205689736,0.28535344483518293
0.7,3,distance,euclidean,0.2,0.5777777777777777,0.11520245196293177,0.5558441558441558,0.08297979766612931,0.7333333333333333,0.16850834320114558,0.6308074534161491,0.11114941107408034,0.17528084264075255,0.26218054828074455
0.7,3,distance,euclidean,0.30000000000000004,0.6777777777777778,0.1204415743815489,0.6761904761904762,0.11009169544473234,0.6888888888888889,0.1448711645600588,0.6793859649122806,0.11866851985854149,0.3586498102924284,0.24230445511806709
0.7,3,distance,euclidean,0.4,0.6777777777777778,0.082402205412174,0.7226984126984127,0.09042674783832363,0.5777777777777777,0.14487116456005886,0.6360177404295051,0.10928283183824097,0.3661431321323382,0.16330162093647158
0.7,3,distance,euclidean,0.5,0.7,0.08425417160057279,0.7611904761904762,0.08018544266523384,0.5777777777777777,0.14487116456005886,0.6518347338935574,0.11578864729995383,0.41354443645838995,0.16263856113463235
0.7,3,distance,euclidean,0.6,0.711111111111111,0.10686324478706298,0.8028571428571428,0.12864195596486833,0.5555555555555556,0.13608276348795434,0.6542857142857142,0.13343586618854592,0.44376334991011046,0.2149747170418266
0.7,3,distance,euclidean,0.7000000000000001,0.6777777777777778,0.13263707095903693,0.86,0.21908902300206642,0.4222222222222222,0.1987615979999813,0.5514085914085914,0.21411648795294344,0.4105876096986978,0.2762091584680313
0.7,3,distance,euclidean,0.8,0.6222222222222222,0.13263707095903693,0.8166666666666667,0.29107081994288303,0.3111111111111111,0.19876159799998133,0.43157509157509155,0.24413753162999563,0.3030843650439325,0.30145618741444424
0.7,3,distance,euclidean,0.9,0.6444444444444445,0.11520245196293177,0.9,0.22360679774997896,0.3111111111111111,0.19876159799998133,0.4422977022977023,0.2417766895480513,0.3688890754614364,0.24937795099380203
0.7,3,uniform,cosine,0.1,0.5444444444444445,0.10686324478706305,0.5392156862745099,0.09258349308100418,0.8666666666666666,0.12171612389003689,0.6575690899489526,0.06219587573389341,0.10813560440726097,0.2358915041557075
0.7,3,uniform,cosine,0.2,0.5444444444444445,0.10686324478706305,0.5392156862745099,0.09258349308100418,0.8666666666666666,0.12171612389003689,0.6575690899489526,0.06219587573389341,0.10813560440726097,0.2358915041557075
0.7,3,uniform,cosine,0.30000000000000004,0.5444444444444445,0.10686324478706305,0.5392156862745099,0.09258349308100418,0.8666666666666666,0.12171612389003689,0.6575690899489526,0.06219587573389341,0.10813560440726097,0.2358915041557075
0.7,3,uniform,cosine,0.4,0.6222222222222222,0.09938079899999061,0.6290909090909091,0.11591354715141429,0.7333333333333333,0.14907119849998596,0.6620020639834882,0.04648263116207738,0.24639891304190656,0.19964023344872636
0.7,3,uniform,cosine,0.5,0.6222222222222222,0.09938079899999061,0.6290909090909091,0.11591354715141429,0.7333333333333333,0.14907119849998596,0.6620020639834882,0.04648263116207738,0.24639891304190656,0.19964023344872636
0.7,3,uniform,cosine,0.6,0.6222222222222222,0.09938079899999061,0.6290909090909091,0.11591354715141429,0.7333333333333333,0.14907119849998596,0.6620020639834882,0.04648263116207738,0.24639891304190656,0.19964023344872636
0.7,3,uniform,cosine,0.7000000000000001,0.5777777777777777,0.08425417160057276,0.8,0.27386127875258304,0.37777777777777777,0.36514837167011077,0.40969696969696967,0.21109491987593829,0.22739256320724976,0.22376697723410244
0.7,3,uniform,cosine,0.8,0.5777777777777777,0.08425417160057276,0.8,0.27386127875258304,0.37777777777777777,0.36514837167011077,0.40969696969696967,0.21109491987593829,0.22739256320724976,0.22376697723410244
0.7,3,uniform,cosine,0.9,0.5777777777777777,0.08425417160057276,0.8,0.27386127875258304,0.37777777777777777,0.36514837167011077,0.40969696969696967,0.21109491987593829,0.22739256320724976,0.22376697723410244
0.7,3,uniform,euclidean,0.1,0.5777777777777777,0.12171612389003689,0.5501623376623377,0.08319873385142719,0.8,0.19876159799998128,0.6490931677018633,0.11775873936056443,0.2004072901755521,0.288962367807155
0.7,3,uniform,euclidean,0.2,0.5777777777777777,0.12171612389003689,0.5501623376623377,0.08319873385142719,0.8,0.19876159799998128,0.6490931677018633,0.11775873936056443,0.2004072901755521,0.288962367807155
0.7,3,uniform,euclidean,0.30000000000000004,0.5777777777777777,0.12171612389003689,0.5501623376623377,0.08319873385142719,0.8,0.19876159799998128,0.6490931677018633,0.11775873936056443,0.2004072901755521,0.288962367807155
0.7,3,uniform,euclidean,0.4,0.7,0.1278984937024593,0.8380952380952381,0.16700645635000178,0.5111111111111111,0.21659542988464364,0.6110606060606061,0.20141373615756114,0.4384969657799921,0.24277156297576022
0.7,3,uniform,euclidean,0.5,0.7,0.1278984937024593,0.8380952380952381,0.16700645635000178,0.5111111111111111,0.21659542988464364,0.6110606060606061,0.20141373615756114,0.4384969657799921,0.24277156297576022
0.7,3,uniform,euclidean,0.6,0.7,0.1278984937024593,0.8380952380952381,0.16700645635000178,0.5111111111111111,0.21659542988464364,0.6110606060606061,0.20141373615756114,0.4384969657799921,0.24277156297576022
0.7,3,uniform,euclidean,0.7000000000000001,0.6222222222222222,0.09938079899999067,0.9,0.22360679774997896,0.26666666666666666,0.16850834320114555,0.3952447552447552,0.21306901649468935,0.3330267966558609,0.22400773668894547
0.7,3,uniform,euclidean,0.8,0.6222222222222222,0.09938079899999067,0.9,0.22360679774997896,0.26666666666666666,0.16850834320114555,0.3952447552447552,0.21306901649468935,0.3330267966558609,0.22400773668894547
0.7,3,uniform,euclidean,0.9,0.6222222222222222,0.09938079899999067,0.9,0.22360679774997896,0.26666666666666666,0.16850834320114555,0.3952447552447552,0.21306901649468935,0.3330267966558609,0.22400773668894547
0.7,5,distance,cosine,0.1,0.5333333333333333,0.10092167846991637,0.5376165501165501,0.08389637836005032,0.6666666666666666,0.13608276348795434,0.5867237076648841,0.07621165207414904,0.04355505075778119,0.2524863992625023
0.7,5,distance,cosine,0.2,0.5777777777777777,0.09296222517045284,0.5757575757575758,0.10345833548293686,0.6666666666666666,0.13608276348795434,0.6103665814151749,0.08936051458647357,0.15937528647102234,0.1881091165081894
0.7,5,distance,cosine,0.30000000000000004,0.5888888888888889,0.09296222517045283,0.5866666666666667,0.10233387622005835,0.6666666666666666,0.13608276348795434,0.6166823708888589,0.08956039686205464,0.18130453072909053,0.18788220461307456
0.7,5,distance,cosine,0.4,0.6222222222222222,0.082402205412174,0.6166666666666667,0.09501461875826149,0.6666666666666666,0.13608276348795434,0.6352941176470588,0.09362616773579076,0.25039028992486456,0.16488309174907345
0.7,5,distance,cosine,0.5,0.6222222222222222,0.082402205412174,0.6166666666666667,0.09501461875826149,0.6666666666666666,0.13608276348795434,0.6352941176470588,0.09362616773579076,0.25039028992486456,0.16488309174907345
0.7,5,distance,cosine,0.6,0.6222222222222222,0.11385500851066221,0.6328571428571428,0.12264100589334143,0.6,0.12668615834434868,0.6129256965944272,0.11391140636491827,0.24726178407576596,0.2297777010294207
0.7,5,distance,cosine,0.7000000000000001,0.6333333333333333,0.15010284540118105,0.638888888888889,0.2133651596630169,0.5111111111111111,0.25579698740491863,0.5575163398692811,0.24635408009203213,0.2650204946693118,0.31698071975250036
0.7,5,distance,cosine,0.8,0.6444444444444445,0.11520245196293176,0.7650793650793651,0.18224614078960202,0.48888888888888893,0.2434322477800738,0.5480065359477124,0.22355378885156332,0.3222754861523668,0.21636970614669232
0.7,5,distance,cosine,0.9,0.6444444444444445,0.11520245196293179,0.9095238095238095,0.13084411108603888,0.35555555555555557,0.27666443551086073,0.44119047619047624,0.3209471703688949,0.3351991096304642,0.23492128343724458
0.7,5,distance,euclidean,0.1,0.5444444444444445,0.07243558228002944,0.5267857142857142,0.043712528494612234,0.8666666666666666,0.09296222517045284,0.6548695652173914,0.05764943414187866,0.12416292650113965,0.20235541399131066
0.7,5,distance,euclidean,0.2,0.5777777777777777,0.1394433377556793,0.5597435897435897,0.09879118162766286,0.7555555555555555,0.14487116456005888,0.6414673046251993,0.11224716767608331,0.16628265238262402,0.30930994508872817
0.7,5,distance,euclidean,0.30000000000000004,0.611111111111111,0.16666666666666669,0.6084848484848485,0.15070084207346984,0.6666666666666666,0.13608276348795428,0.6350877192982456,0.14260794780610928,0.22191318139946553,0.33614317924140885
