pca__n_components,knn__n_neighbors,knn__weights,knn__metric,fold,threshold,accuracy,precision,recall,f1,mcc
0.7,3,uniform,cosine,1,0.1,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.2,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.30000000000000004,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.4,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.5,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.6,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.7000000000000001,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.8,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,1,0.9,0.5,0.5,1.0,0.6666666666666666,0.0
0.7,3,uniform,cosine,2,0.1,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579,0.4472135954999579
0.7,3,uniform,cosine,2,0.2,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579,0.4472135954999579
0.7,3,uniform,cosine,2,0.30000000000000004,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579,0.4472135954999579
0.7,3,uniform,cosine,2,0.4,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.4472135954999579
0.7,3,uniform,cosine,2,0.5,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.4472135954999579
0.7,3,uniform,cosine,2,0.6,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.4472135954999579
0.7,3,uniform,cosine,2,0.7000000000000001,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4472135954999579
0.7,3,uniform,cosine,2,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4472135954999579
0.7,3,uniform,cosine,2,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4472135954999579
0.7,3,uniform,cosine,3,0.1,0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923,0.24253562503633297
0.7,3,uniform,cosine,3,0.2,0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923,0.24253562503633297
0.7,3,uniform,cosine,3,0.30000000000000004,0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923,0.24253562503633297
0.7,3,uniform,cosine,3,0.4,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
0.7,3,uniform,cosine,3,0.5,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
0.7,3,uniform,cosine,3,0.6,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
0.7,3,uniform,cosine,3,0.7000000000000001,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4472135954999579
0.7,3,uniform,cosine,3,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4472135954999579
0.7,3,uniform,cosine,3,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4472135954999579
0.7,3,uniform,cosine,4,0.1,0.5,0.5,0.7777777777777778,0.6086956521739131,0.0
0.7,3,uniform,cosine,4,0.2,0.5,0.5,0.7777777777777778,0.6086956521739131,0.0
