pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
0.9,3,uniform,cosine,1,0.1,0.7333333333333333,0.23076923076923078,0.3333333333333333,0.2727272727272727,0.11896346399976723
0.9,3,uniform,cosine,1,0.2,0.7333333333333333,0.23076923076923078,0.3333333333333333,0.2727272727272727,0.11896346399976723
0.9,3,uniform,cosine,1,0.30000000000000004,0.7333333333333333,0.23076923076923078,0.3333333333333333,0.2727272727272727,0.11896346399976723
0.9,3,uniform,cosine,1,0.4,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,cosine,1,0.5,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,cosine,1,0.6,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,cosine,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,1,0.8,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,1,0.9,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,2,0.1,0.7166666666666667,0.3,0.6666666666666666,0.41379310344827586,0.2970442628930023
0.9,3,uniform,cosine,2,0.2,0.7166666666666667,0.3,0.6666666666666666,0.41379310344827586,0.2970442628930023
0.9,3,uniform,cosine,2,0.30000000000000004,0.7166666666666667,0.3,0.6666666666666666,0.41379310344827586,0.2970442628930023
0.9,3,uniform,cosine,2,0.4,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
0.9,3,uniform,cosine,2,0.5,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
0.9,3,uniform,cosine,2,0.6,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
0.9,3,uniform,cosine,2,0.7000000000000001,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
0.9,3,uniform,cosine,2,0.8,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
