pca__n_components,rf__n_estimators,rf__criterion,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
0.9,10,gini,10,2,1,1,0.1,0.48333333333333334,0.19444444444444445,0.7777777777777778,0.3111111111111111,0.1524431867933412
0.9,10,gini,10,2,1,1,0.2,0.7333333333333333,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.2537770259409151
0.9,10,gini,10,2,1,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.9,10,gini,10,2,1,1,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.9,10,gini,10,2,1,1,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.9,10,gini,10,2,1,1,0.6,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.9,10,gini,10,2,1,1,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,1,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,1,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,2,0.1,0.43333333333333335,0.1794871794871795,0.7777777777777778,0.2916666666666667,0.11253841574251965
0.9,10,gini,10,2,1,2,0.2,0.6166666666666667,0.23076923076923078,0.6666666666666666,0.34285714285714286,0.19780536646510763
0.9,10,gini,10,2,1,2,0.30000000000000004,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
0.9,10,gini,10,2,1,2,0.4,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
0.9,10,gini,10,2,1,2,0.5,0.7833333333333333,0.25,0.2222222222222222,0.23529411764705882,0.10984700727621793
0.9,10,gini,10,2,1,2,0.6,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,10,gini,10,2,1,2,0.7000000000000001,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
0.9,10,gini,10,2,1,2,0.8,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
0.9,10,gini,10,2,1,2,0.9,0.85,1.0,0.0,0.0,0.0
0.9,10,gini,10,2,1,3,0.1,0.5,0.23076923076923078,1.0,0.375,0.3082573996425538
0.9,10,gini,10,2,1,3,0.2,0.7166666666666667,0.34615384615384615,1.0,0.5142857142857142,0.48038446141526137
0.9,10,gini,10,2,1,3,0.30000000000000004,0.7833333333333333,0.3,0.3333333333333333,0.3157894736842105,0.18786728732554486
0.9,10,gini,10,2,1,3,0.4,0.7833333333333333,0.3,0.3333333333333333,0.3157894736842105,0.18786728732554486
0.9,10,gini,10,2,1,3,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.9,10,gini,10,2,1,3,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,3,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.9,10,gini,10,2,1,3,0.9,0.85,1.0,0.0,0.0,0.0
0.9,10,gini,10,2,1,4,0.1,0.5333333333333333,0.24324324324324326,1.0,0.391304347826087,0.3312067831843801
0.9,10,gini,10,2,1,4,0.2,0.7833333333333333,0.4,0.8888888888888888,0.5517241379310345,0.49507377148833714
0.9,10,gini,10,2,1,4,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.9,10,gini,10,2,1,4,0.4,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.9,10,gini,10,2,1,4,0.5,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.9,10,gini,10,2,1,4,0.6,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
0.9,10,gini,10,2,1,4,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,4,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,4,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,10,gini,10,2,1,5,0.1,0.4745762711864407,0.17647058823529413,0.6666666666666666,0.27906976744186046,0.07761140001162656
0.9,10,gini,10,2,1,5,0.2,0.7288135593220338,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.18532890046293737
0.9,10,gini,10,2,1,5,0.30000000000000004,0.864406779661017,0.6,0.3333333333333333,0.42857142857142855,0.378691704962503
0.9,10,gini,10,2,1,5,0.4,0.864406779661017,0.6,0.3333333333333333,0.42857142857142855,0.378691704962503
0.9,10,gini,10,2,1,5,0.5,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.9,10,gini,10,2,1,5,0.6,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
0.9,10,gini,10,2,1,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.9,10,gini,10,2,1,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.9,10,gini,10,2,1,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.9,10,gini,10,2,2,1,0.1,0.55,0.25,1.0,0.4,0.3429971702850177
0.9,10,gini,10,2,2,1,0.2,0.7666666666666667,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.35735948550863555
0.9,10,gini,10,2,2,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
