n_neighbors,weights,metric,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
3,distance,cosine,0.3,0.853825137,0.532954545,0.637777778,0.576095669,0.495231128
9,distance,cosine,0.2,0.843934426,0.54352548,0.664444444,0.574965149,0.5027034
7,distance,cosine,0.2,0.85726776,0.544474153,0.622222222,0.567625272,0.494517459
15,distance,cosine,0.2,0.834043716,0.524019608,0.662222222,0.565448104,0.485415022
5,distance,cosine,0.3,0.87715847,0.664761905,0.495555556,0.557619048,0.501675639
3,distance,cosine,0.2,0.833934426,0.475314228,0.68,0.555233494,0.471803725
15,distance,cosine,0.3,0.883715847,0.775909091,0.468888889,0.552279093,0.527336261
11,distance,cosine,0.2,0.840601093,0.532680098,0.6,0.540606304,0.463406022
9,distance,cosine,0.3,0.877103825,0.68040293,0.491111111,0.540062112,0.498999413
3,distance,euclidean,0.5,0.890437158,0.816666667,0.406666667,0.538534799,0.524261391
3,distance,euclidean,0.6,0.890437158,0.816666667,0.406666667,0.538534799,0.524261391
3,distance,cosine,0.1,0.820601093,0.447257187,0.68,0.537039337,0.448508798
3,distance,euclidean,0.4,0.887103825,0.797619048,0.406666667,0.531868132,0.513582377
11,distance,euclidean,0.3,0.880437158,0.716666667,0.426666667,0.530720391,0.489696987
15,distance,euclidean,0.2,0.853879781,0.526868687,0.537777778,0.529356725,0.445154946
11,distance,euclidean,0.2,0.860491803,0.572460317,0.493333333,0.527244582,0.449566683
20,distance,cosine,0.2,0.813989071,0.461631643,0.64,0.522077922,0.431728427
5,distance,cosine,0.2,0.82726776,0.467254902,0.597777778,0.521670844,0.425419341
5,distance,euclidean,0.4,0.880437158,0.743333333,0.406666667,0.518632479,0.487513597
7,distance,cosine,0.3,0.860546448,0.613589744,0.471111111,0.513913337,0.451597435
3,distance,euclidean,0.3,0.834043716,0.494155844,0.557777778,0.513809524,0.422835622
5,distance,cosine,0.4,0.880491803,0.706190476,0.406666667,0.511593407,0.474287905
20,distance,euclidean,0.2,0.850601093,0.527777778,0.493333333,0.508978328,0.42204699
7,distance,euclidean,0.3,0.873770492,0.703174603,0.406666667,0.505089647,0.465644338
11,uniform,cosine,0.2,0.82726776,0.474648962,0.557777778,0.503557846,0.409151984
5,distance,euclidean,0.3,0.850491803,0.547330447,0.471111111,0.503314659,0.419460169
9,distance,euclidean,0.3,0.863825137,0.623174603,0.426666667,0.500466853,0.438248799
7,distance,cosine,0.4,0.877103825,0.692857143,0.406666667,0.499603175,0.462872236
7,uniform,cosine,0.2,0.817431694,0.43991453,0.58,0.495209235,0.3961732
11,distance,cosine,0.3,0.870437158,0.741111111,0.406666667,0.492409812,0.467252942
9,distance,cosine,0.4,0.877103825,0.781746032,0.384444444,0.490729008,0.477008517
3,uniform,cosine,0.1,0.780710383,0.38504386,0.68,0.487868637,0.38955934
3,uniform,cosine,0.2,0.780710383,0.38504386,0.68,0.487868637,0.38955934
3,uniform,cosine,0.3,0.780710383,0.38504386,0.68,0.487868637,0.38955934
5,distance,cosine,0.1,0.74420765,0.354251082,0.788888889,0.487352791,0.400092808
11,distance,cosine,0.1,0.744043716,0.357140133,0.766666667,0.485359979,0.390760517
5,uniform,cosine,0.3,0.843989071,0.512142857,0.453333333,0.477982456,0.389668929
5,uniform,cosine,0.4,0.843989071,0.512142857,0.453333333,0.477982456,0.389668929
