n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
50,10,2,2,entropy,0.30000000000000004,0.9136612021857925,0.7645299145299146,0.7066666666666667,0.7265700483091787,0.6815246761001872
50,30,2,2,entropy,0.30000000000000004,0.9136612021857925,0.7645299145299146,0.7066666666666667,0.7265700483091787,0.6815246761001872
50,50,2,2,entropy,0.30000000000000004,0.9136612021857925,0.7645299145299146,0.7066666666666667,0.7265700483091787,0.6815246761001872
50,100,2,2,entropy,0.30000000000000004,0.9136612021857925,0.7645299145299146,0.7066666666666667,0.7265700483091787,0.6815246761001872
50,300,2,2,entropy,0.30000000000000004,0.9136612021857925,0.7645299145299146,0.7066666666666667,0.7265700483091787,0.6815246761001872
50,500,2,2,entropy,0.30000000000000004,0.9136612021857925,0.7645299145299146,0.7066666666666667,0.7265700483091787,0.6815246761001872
300,10,5,1,entropy,0.2,0.8836065573770492,0.6020961494645705,0.8955555555555555,0.7134215749268222,0.6701099011313347
300,30,5,1,entropy,0.2,0.8769398907103826,0.5876423679519654,0.8955555555555555,0.7019767588733106,0.6580266722138266
300,50,5,1,entropy,0.2,0.8769398907103826,0.5876423679519654,0.8955555555555555,0.7019767588733106,0.6580266722138266
300,100,5,1,entropy,0.2,0.8769398907103826,0.5876423679519654,0.8955555555555555,0.7019767588733106,0.6580266722138266
300,300,5,1,entropy,0.2,0.8769398907103826,0.5876423679519654,0.8955555555555555,0.7019767588733106,0.6580266722138266
300,500,5,1,entropy,0.2,0.8769398907103826,0.5876423679519654,0.8955555555555555,0.7019767588733106,0.6580266722138266
100,30,2,2,gini,0.30000000000000004,0.9036065573770491,0.7174891774891775,0.6866666666666666,0.6987050960735172,0.6436124183354155
100,50,2,2,gini,0.30000000000000004,0.9036065573770491,0.7174891774891775,0.6866666666666666,0.6987050960735172,0.6436124183354155
100,100,2,2,gini,0.30000000000000004,0.9036065573770491,0.7174891774891775,0.6866666666666666,0.6987050960735172,0.6436124183354155
100,300,2,2,gini,0.30000000000000004,0.9036065573770491,0.7174891774891775,0.6866666666666666,0.6987050960735172,0.6436124183354155
100,500,2,2,gini,0.30000000000000004,0.9036065573770491,0.7174891774891775,0.6866666666666666,0.6987050960735172,0.6436124183354155
