learning_rate,max_depth,n_estimators,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
0.3,3,50,0.2,0.893661202,0.680606061,0.657777778,0.649,0.600809624
0.1,3,200,0.3,0.900273224,0.743463203,0.595555556,0.645,0.603361016
0.3,3,200,0.2,0.896939891,0.718939394,0.615555556,0.643101604,0.599015459
0.3,3,300,0.2,0.896939891,0.718939394,0.615555556,0.643101604,0.599015459
0.3,3,50,0.1,0.873879781,0.576578324,0.744444444,0.64025974,0.579817897
0.3,5,100,0.1,0.883715847,0.633206793,0.682222222,0.637768271,0.583280272
0.3,3,200,0.1,0.880437158,0.598225108,0.7,0.637333333,0.574792153
0.3,3,300,0.1,0.880437158,0.598225108,0.7,0.637333333,0.574792153
0.3,3,100,0.2,0.893606557,0.705050505,0.615555556,0.636565657,0.590085639
0.1,7,300,0.1,0.87704918,0.605882353,0.7,0.632982456,0.57456849
0.1,10,300,0.1,0.87704918,0.605882353,0.7,0.632982456,0.57456849
0.1,3,300,0.3,0.896939891,0.736796537,0.575555556,0.631315789,0.588081389
0.1,5,300,0.2,0.890273224,0.698076923,0.615555556,0.630110827,0.583782593
0.1,3,300,0.2,0.893661202,0.692272727,0.595555556,0.629313725,0.577332231
0.1,5,300,0.3,0.896939891,0.727619048,0.573333333,0.627368421,0.58297812
0.1,7,300,0.4,0.903606557,0.813333333,0.551111111,0.627368421,0.606417131
0.1,10,300,0.4,0.903606557,0.813333333,0.551111111,0.627368421,0.606417131
0.1,5,100,0.2,0.883661202,0.656666667,0.637777778,0.626333333,0.572438648
0.1,7,100,0.2,0.883661202,0.656666667,0.637777778,0.626333333,0.572438648
0.1,10,100,0.2,0.883661202,0.656666667,0.637777778,0.626333333,0.572438648
0.1,3,200,0.2,0.890273224,0.702272727,0.595555556,0.624919786,0.576654779
0.1,3,50,0.2,0.876939891,0.659618813,0.66,0.623973064,0.576015133
0.3,3,100,0.1,0.870437158,0.578225108,0.7,0.621904762,0.557636739
0.5,7,50,0.1,0.87715847,0.578730159,0.704444444,0.620977444,0.563413401
0.5,10,50,0.1,0.87715847,0.578730159,0.704444444,0.620977444,0.563413401
0.1,5,200,0.3,0.893606557,0.714891775,0.573333333,0.62,0.574281449
0.1,7,200,0.1,0.870437158,0.573501401,0.7,0.62,0.555215529
0.1,10,200,0.1,0.870437158,0.573501401,0.7,0.62,0.555215529
0.3,5,200,0.1,0.87704918,0.616190476,0.66,0.618980392,0.559831584
0.3,5,300,0.1,0.87704918,0.616190476,0.66,0.618980392,0.559831584
0.3,7,50,0.3,0.893606557,0.730606061,0.573333333,0.618623482,0.578496744
0.3,10,50,0.3,0.893606557,0.730606061,0.573333333,0.618623482,0.578496744
0.1,3,100,0.2,0.883606557,0.674891775,0.615555556,0.618596491,0.568002378
0.1,5,300,0.1,0.873770492,0.59754902,0.68,0.617777778,0.558351654
0.1,5,200,0.1,0.873770492,0.585119048,0.68,0.616239316,0.553368751
0.3,7,50,0.2,0.890327869,0.693076923,0.593333333,0.61608725,0.570194184
0.3,10,50,0.2,0.890327869,0.693076923,0.593333333,0.61608725,0.570194184
0.1,7,200,0.3,0.890273224,0.702164502,0.573333333,0.613333333,0.565711138
0.1,7,300,0.3,0.890273224,0.702164502,0.573333333,0.613333333,0.565711138
0.1,10,200,0.3,0.890273224,0.702164502,0.573333333,0.613333333,0.565711138
0.1,10,300,0.3,0.890273224,0.702164502,0.573333333,0.613333333,0.565711138
0.3,7,100,0.3,0.893606557,0.74,0.553333333,0.613133286,0.573314835
0.3,7,200,0.3,0.893606557,0.74,0.553333333,0.613133286,0.573314835
0.3,7,300,0.3,0.893606557,0.74,0.553333333,0.613133286,0.573314835
