Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
equal KNN,5-fold,0.8421052631578947,0.8888888888888888,0.8,0.8421052631578947,0.6888888888888889,"{'threshold': 0.5, 'fold': 2}"
equal KNN,3-fold,0.8064516129032258,0.9090909090909092,0.6666666666666666,0.7692307692307693,0.6310315028394047,"{'threshold': 0.5, 'fold': 3}"
equal SVM,5-fold,0.7894736842105263,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5777777777777777,"{'threshold': 0.5, 'fold': 3}"
equal SVM,3-fold,0.7096774193548387,0.6521739130434783,0.9375,0.7692307692307693,0.4615908612487965,"{'threshold': 0.3, 'fold': 2}"
equal XGBoost,5-fold,0.8947368421052632,0.9,0.9,0.9,0.7888888888888889,"{'threshold': 0.5, 'fold': 2}"
equal XGBoost,3-fold,0.875,0.9285714285714286,0.8125,0.8666666666666667,0.7559289460184544,"{'threshold': 0.7000000000000001, 'fold': 1}"
equal Random Forest,5-fold,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882352,0.8944271909999159,"{'threshold': 0.5, 'fold': 5}"
equal Random Forest,3-fold,0.8064516129032258,0.8,0.8,0.8,0.6125,"{'threshold': 0.5, 'fold': 3}"
equal Decision Tree,5-fold,0.8421052631578947,0.8,0.8888888888888888,0.8421052631578947,0.6888888888888889,"{'threshold': 0.1, 'fold': 4}"
equal Decision Tree,3-fold,0.7096774193548387,0.6842105263157895,0.8125,0.7428571428571429,0.4232160702351261,"{'threshold': 0.1, 'fold': 2}"
