Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
larger KNN,5-fold,0.9333333333333332,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268,"{'threshold': 0.2, 'fold': 4}"
larger KNN,3-fold,0.92,1.0,0.4666666666666667,0.6363636363636364,0.6530875113574286,"{'threshold': 0.5, 'fold': 3}"
larger SVM,5-fold,0.95,0.75,1.0,0.8571428571428571,0.8401680504168058,"{'threshold': 0.2, 'fold': 4}"
larger SVM,3-fold,0.84,0.5,0.5,0.5,0.4047619047619047,"{'threshold': 0.2, 'fold': 2}"
larger XGBoost,5-fold,0.9333333333333332,0.7272727272727273,0.8888888888888888,0.8,0.7659920289562161,"{'threshold': 0.1, 'fold': 4}"
larger XGBoost,3-fold,0.9306930693069309,0.8461538461538461,0.6875,0.7586206896551724,0.7239445181531854,"{'threshold': 0.2, 'fold': 1}"
larger Random Forest,5-fold,0.8833333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6067880364121375,"{'threshold': 0.3, 'fold': 4}"
larger Random Forest,3-fold,0.83,0.48,0.75,0.5853658536585366,0.5039526306789697,"{'threshold': 0.2, 'fold': 2}"
larger Decision Tree,5-fold,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.4823186956096478,"{'threshold': 0.7000000000000001, 'fold': 3}"
larger Decision Tree,3-fold,0.89,0.6470588235294118,0.6875,0.6666666666666666,0.6012667603656328,"{'threshold': 0.7000000000000001, 'fold': 2}"
