criterion,max_depth,min_samples_split,min_samples_leaf,max_features,fold,threshold,accuracy,precision,recall,f1,mcc
gini,,2,1,,1,0.1,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.6,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.7000000000000001,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.8,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,1,0.9,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,2,0.1,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.2,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.30000000000000004,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.4,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.5,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.6,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.7000000000000001,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.8,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,2,0.9,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,,2,1,,3,0.1,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.6,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.7000000000000001,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.8,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,3,0.9,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
gini,,2,1,,4,0.1,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.2,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.30000000000000004,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.4,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.5,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.6,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.7000000000000001,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.8,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,4,0.9,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
gini,,2,1,,5,0.1,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.2,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.30000000000000004,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.4,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
