dt__criterion,dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__max_features,fold,threshold,accuracy,precision,recall,f1,mcc
gini,10,5,2,,1,0.1,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
gini,10,5,2,,1,0.2,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
gini,10,5,2,,1,0.30000000000000004,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
gini,10,5,2,,1,0.4,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
gini,10,5,2,,1,0.5,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
gini,10,5,2,,1,0.6,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
gini,10,5,2,,1,0.7000000000000001,0.819672131147541,0.42857142857142855,0.3,0.35294117647058826,0.2573637971418306
gini,10,5,2,,1,0.8,0.819672131147541,0.42857142857142855,0.3,0.35294117647058826,0.2573637971418306
gini,10,5,2,,1,0.9,0.819672131147541,0.42857142857142855,0.3,0.35294117647058826,0.2573637971418306
gini,10,5,2,,2,0.1,0.8666666666666667,0.6,0.6,0.6,0.52
gini,10,5,2,,2,0.2,0.8666666666666667,0.6,0.6,0.6,0.52
gini,10,5,2,,2,0.30000000000000004,0.8666666666666667,0.6,0.6,0.6,0.52
gini,10,5,2,,2,0.4,0.8666666666666667,0.6,0.6,0.6,0.52
gini,10,5,2,,2,0.5,0.8666666666666667,0.6,0.6,0.6,0.52
gini,10,5,2,,2,0.6,0.8833333333333333,0.6666666666666666,0.6,0.631578947368421,0.5636018619766345
gini,10,5,2,,2,0.7000000000000001,0.8833333333333333,0.6666666666666666,0.6,0.631578947368421,0.5636018619766345
gini,10,5,2,,2,0.8,0.8666666666666667,0.6666666666666666,0.4,0.5,0.4472135954999579
gini,10,5,2,,2,0.9,0.8666666666666667,0.6666666666666666,0.4,0.5,0.4472135954999579
gini,10,5,2,,3,0.1,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
gini,10,5,2,,3,0.2,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
gini,10,5,2,,3,0.30000000000000004,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
gini,10,5,2,,3,0.4,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
gini,10,5,2,,3,0.5,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
gini,10,5,2,,3,0.6,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,10,5,2,,3,0.7000000000000001,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
gini,10,5,2,,3,0.8,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
gini,10,5,2,,3,0.9,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
gini,10,5,2,,4,0.1,0.8833333333333333,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6511094304643836
gini,10,5,2,,4,0.2,0.8833333333333333,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6511094304643836
gini,10,5,2,,4,0.30000000000000004,0.8833333333333333,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6511094304643836
gini,10,5,2,,4,0.4,0.8833333333333333,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6511094304643836
gini,10,5,2,,4,0.5,0.8833333333333333,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6511094304643836
gini,10,5,2,,4,0.6,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
gini,10,5,2,,4,0.7000000000000001,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
gini,10,5,2,,4,0.8,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
gini,10,5,2,,4,0.9,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
gini,10,5,2,,5,0.1,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
gini,10,5,2,,5,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
gini,10,5,2,,5,0.30000000000000004,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
gini,10,5,2,,5,0.4,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
gini,10,5,2,,5,0.5,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
gini,10,5,2,,5,0.6,0.8333333333333334,0.42857142857142855,0.3333333333333333,0.375,0.2835257867105283
gini,10,5,2,,5,0.7000000000000001,0.8333333333333334,0.42857142857142855,0.3333333333333333,0.375,0.2835257867105283
gini,10,5,2,,5,0.8,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
gini,10,5,2,,5,0.9,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
gini,10,5,2,sqrt,1,0.1,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.2,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.30000000000000004,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.4,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.5,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.6,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.7000000000000001,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
gini,10,5,2,sqrt,1,0.8,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
gini,10,5,2,sqrt,1,0.9,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
gini,10,5,2,sqrt,2,0.1,0.7,0.3,0.6,0.4,0.25298221281347033
gini,10,5,2,sqrt,2,0.2,0.7,0.3,0.6,0.4,0.25298221281347033
gini,10,5,2,sqrt,2,0.30000000000000004,0.7166666666666667,0.3157894736842105,0.6,0.41379310344827586,0.27239252806439923
gini,10,5,2,sqrt,2,0.4,0.7166666666666667,0.3157894736842105,0.6,0.41379310344827586,0.27239252806439923
gini,10,5,2,sqrt,2,0.5,0.7166666666666667,0.3157894736842105,0.6,0.41379310344827586,0.27239252806439923
gini,10,5,2,sqrt,2,0.6,0.7166666666666667,0.23076923076923078,0.3,0.2608695652173913,0.09046162753149249
gini,10,5,2,sqrt,2,0.7000000000000001,0.7833333333333333,0.2857142857142857,0.2,0.23529411764705882,0.11609086505314302
gini,10,5,2,sqrt,2,0.8,0.8166666666666667,0.4,0.2,0.26666666666666666,0.18877596148970777
gini,10,5,2,sqrt,2,0.9,0.8166666666666667,0.4,0.2,0.26666666666666666,0.18877596148970777
gini,10,5,2,sqrt,3,0.1,0.8,0.36363636363636365,0.4444444444444444,0.4,0.28347736504678867
gini,10,5,2,sqrt,3,0.2,0.8,0.36363636363636365,0.4444444444444444,0.4,0.28347736504678867
gini,10,5,2,sqrt,3,0.30000000000000004,0.8,0.36363636363636365,0.4444444444444444,0.4,0.28347736504678867
gini,10,5,2,sqrt,3,0.4,0.8,0.36363636363636365,0.4444444444444444,0.4,0.28347736504678867
gini,10,5,2,sqrt,3,0.5,0.8,0.36363636363636365,0.4444444444444444,0.4,0.28347736504678867
gini,10,5,2,sqrt,3,0.6,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
gini,10,5,2,sqrt,3,0.7000000000000001,0.8166666666666667,0.375,0.3333333333333333,0.35294117647058826,0.24715576637149037
gini,10,5,2,sqrt,3,0.8,0.8166666666666667,0.375,0.3333333333333333,0.35294117647058826,0.24715576637149037
gini,10,5,2,sqrt,3,0.9,0.8166666666666667,0.375,0.3333333333333333,0.35294117647058826,0.24715576637149037
gini,10,5,2,sqrt,4,0.1,0.8333333333333334,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5645244046440765
gini,10,5,2,sqrt,4,0.2,0.8333333333333334,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5645244046440765
gini,10,5,2,sqrt,4,0.30000000000000004,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
gini,10,5,2,sqrt,4,0.4,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
gini,10,5,2,sqrt,4,0.5,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
gini,10,5,2,sqrt,4,0.6,0.9,0.6363636363636364,0.7777777777777778,0.7,0.6453633629788592
gini,10,5,2,sqrt,4,0.7000000000000001,0.9,0.6363636363636364,0.7777777777777778,0.7,0.6453633629788592
gini,10,5,2,sqrt,4,0.8,0.9,0.6363636363636364,0.7777777777777778,0.7,0.6453633629788592
gini,10,5,2,sqrt,4,0.9,0.9,0.6363636363636364,0.7777777777777778,0.7,0.6453633629788592
gini,10,5,2,sqrt,5,0.1,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.08496732026143791
gini,10,5,2,sqrt,5,0.2,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.08496732026143791
gini,10,5,2,sqrt,5,0.30000000000000004,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.08496732026143791
gini,10,5,2,sqrt,5,0.4,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.08496732026143791
gini,10,5,2,sqrt,5,0.5,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.08496732026143791
gini,10,5,2,sqrt,5,0.6,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
gini,10,5,2,sqrt,5,0.7000000000000001,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
gini,10,5,2,sqrt,5,0.8,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
gini,10,5,2,sqrt,5,0.9,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
gini,10,5,2,log2,1,0.1,0.7213114754098361,0.23076923076923078,0.3,0.2608695652173913,0.09395036825004334
gini,10,5,2,log2,1,0.2,0.7213114754098361,0.23076923076923078,0.3,0.2608695652173913,0.09395036825004334
gini,10,5,2,log2,1,0.30000000000000004,0.7213114754098361,0.18181818181818182,0.2,0.19047619047619047,0.02265764736148083
