criterion,max_depth,min_samples_split,min_samples_leaf,max_features,fold,threshold,accuracy,precision,recall,f1,mcc
gini,,2,1,,1,0.1,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.2,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.30000000000000004,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.4,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.5,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.6,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.7000000000000001,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.8,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,1,0.9,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555
gini,,2,1,,2,0.1,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.2,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.30000000000000004,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.4,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.5,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.6,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.7000000000000001,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.8,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,2,0.9,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
gini,,2,1,,3,0.1,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.2,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.30000000000000004,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.4,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.5,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.6,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.7000000000000001,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.8,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,3,0.9,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555
gini,,2,1,,4,0.1,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.2,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.30000000000000004,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.4,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.5,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.6,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.7000000000000001,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.8,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,4,0.9,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544
gini,,2,1,,5,0.1,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
