fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.46875,0.4838709677419355,0.9375,0.6382978723404256,-0.1796053020267749
1,0.2,0.59375,0.5555555555555556,0.9375,0.6976744186046512,0.25819888974716115
1,0.30000000000000004,0.59375,0.5714285714285714,0.75,0.6486486486486487,0.19738550848793068
1,0.4,0.65625,0.6470588235294118,0.6875,0.6666666666666666,0.31311214554257477
1,0.5,0.65625,0.6666666666666666,0.625,0.6451612903225806,0.31311214554257477
1,0.6,0.65625,0.7777777777777778,0.4375,0.56,0.34752402342845795
1,0.7000000000000001,0.625,0.75,0.375,0.5,0.2886751345948129
1,0.8,0.625,0.8333333333333334,0.3125,0.45454545454545453,0.32025630761017426
1,0.9,0.65625,1.0,0.3125,0.47619047619047616,0.43033148291193524
2,0.1,0.6451612903225806,0.6,0.9375,0.7317073170731707,0.34258007985157446
2,0.2,0.6451612903225806,0.631578947368421,0.75,0.6857142857142857,0.290693866424127
2,0.30000000000000004,0.6451612903225806,0.6470588235294118,0.6875,0.6666666666666666,0.28870545602072445
2,0.4,0.6129032258064516,0.6428571428571429,0.5625,0.6,0.23012753740782382
2,0.5,0.6774193548387096,0.8,0.5,0.6153846153846154,0.3919831548048891
2,0.6,0.6774193548387096,0.875,0.4375,0.5833333333333334,0.4235215118674525
2,0.7000000000000001,0.5806451612903226,0.8,0.25,0.38095238095238093,0.24910094751181108
2,0.8,0.5806451612903226,1.0,0.1875,0.3157894736842105,0.3169328455231937
2,0.9,0.4838709677419355,1.0,0.0,0.0,0.0
3,0.1,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.2,0.6774193548387096,0.6,1.0,0.75,0.47434164902525694
3,0.30000000000000004,0.7096774193548387,0.65,0.8666666666666667,0.7428571428571429,0.44824996408592194
3,0.4,0.7741935483870968,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.5481219527349985
3,0.5,0.8064516129032258,0.9090909090909091,0.6666666666666666,0.7692307692307693,0.6310315028394047
3,0.6,0.8064516129032258,0.9090909090909091,0.6666666666666666,0.7692307692307693,0.6310315028394047
3,0.7000000000000001,0.7096774193548387,0.875,0.4666666666666667,0.6086956521739131,0.46159086124879656
3,0.8,0.6774193548387096,0.8571428571428571,0.4,0.5454545454545454,0.4033896556503579
3,0.9,0.5806451612903226,1.0,0.13333333333333333,0.23529411764705882,0.2712254014483242
