fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.5,0.5,1.0,0.6666666666666666,0.0
1,0.2,0.5,0.5,1.0,0.6666666666666666,0.0
1,0.30000000000000004,0.59375,0.5555555555555556,0.9375,0.6976744186046512,0.25819888974716115
1,0.4,0.59375,0.5652173913043478,0.8125,0.6666666666666666,0.20851441405707474
1,0.5,0.5625,0.5625,0.5625,0.5625,0.125
1,0.6,0.5625,0.5833333333333334,0.4375,0.5,0.12909944487358055
1,0.7000000000000001,0.625,0.8333333333333334,0.3125,0.45454545454545453,0.32025630761017426
1,0.8,0.625,1.0,0.25,0.4,0.3779644730092272
1,0.9,0.53125,1.0,0.0625,0.11764705882352941,0.1796053020267749
2,0.1,0.5161290322580645,0.5161290322580645,1.0,0.6808510638297872,0.0
2,0.2,0.4838709677419355,0.5,0.9375,0.6521739130434783,-0.17677669529663687
2,0.30000000000000004,0.6774193548387096,0.65,0.8125,0.7222222222222222,0.36121113610807304
2,0.4,0.6774193548387096,0.6875,0.6875,0.6875,0.3541666666666667
2,0.5,0.7096774193548387,0.7692307692307693,0.625,0.6896551724137931,0.4304142310105583
2,0.6,0.6129032258064516,0.75,0.375,0.5,0.27600278301474435
2,0.7000000000000001,0.5161290322580645,0.6666666666666666,0.125,0.21052631578947367,0.09860132971832693
2,0.8,0.4838709677419355,0.5,0.0625,0.1111111111111111,-0.008475793795260131
2,0.9,0.4838709677419355,1.0,0.0,0.0,0.0
3,0.1,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.2,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.30000000000000004,0.5806451612903226,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.24910094751181108
3,0.4,0.5483870967741935,0.5238095238095238,0.7333333333333333,0.6111111111111112,0.11581320482871722
3,0.5,0.7096774193548387,0.75,0.6,0.6666666666666666,0.4232160702351261
3,0.6,0.7419354838709677,0.8888888888888888,0.5333333333333333,0.6666666666666666,0.5183704394136615
3,0.7000000000000001,0.6774193548387096,1.0,0.3333333333333333,0.5,0.4529108136578383
3,0.8,0.6451612903225806,1.0,0.26666666666666666,0.42105263157894735,0.3975231959999626
3,0.9,0.5161290322580645,1.0,0.0,0.0,0.0
