n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,gini,10,2,1,1,0.1,0.5789473684210527,0.5555555555555556,1.0,0.7142857142857143,0.24845199749997662
10,gini,10,2,1,1,0.2,0.7368421052631579,0.6666666666666666,1.0,0.8,0.5443310539518174
10,gini,10,2,1,1,0.30000000000000004,0.6842105263157895,0.6666666666666666,0.8,0.7272727272727273,0.3680349649825889
10,gini,10,2,1,1,0.4,0.6842105263157895,0.6666666666666666,0.8,0.7272727272727273,0.3680349649825889
10,gini,10,2,1,1,0.5,0.7894736842105263,0.875,0.7,0.7777777777777778,0.5955432118425306
10,gini,10,2,1,1,0.6,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
10,gini,10,2,1,1,0.7000000000000001,0.47368421052631576,1.0,0.0,0.0,0.0
10,gini,10,2,1,1,0.8,0.47368421052631576,1.0,0.0,0.0,0.0
10,gini,10,2,1,1,0.9,0.47368421052631576,1.0,0.0,0.0,0.0
10,gini,10,2,1,2,0.1,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.0
10,gini,10,2,1,2,0.2,0.7368421052631579,0.6666666666666666,1.0,0.8,0.5443310539518174
10,gini,10,2,1,2,0.30000000000000004,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
10,gini,10,2,1,2,0.4,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
10,gini,10,2,1,2,0.5,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
10,gini,10,2,1,2,0.6,0.7368421052631579,1.0,0.5,0.6666666666666666,0.5669467095138409
10,gini,10,2,1,2,0.7000000000000001,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
10,gini,10,2,1,2,0.8,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
10,gini,10,2,1,2,0.9,0.5263157894736842,1.0,0.1,0.18181818181818182,0.22360679774997896
10,gini,10,2,1,3,0.1,0.5263157894736842,0.5,1.0,0.6666666666666666,0.22360679774997896
10,gini,10,2,1,3,0.2,0.5789473684210527,0.5294117647058824,1.0,0.6923076923076923,0.32539568672798425
10,gini,10,2,1,3,0.30000000000000004,0.7894736842105263,0.7272727272727273,0.8888888888888888,0.8,0.5955432118425306
10,gini,10,2,1,3,0.4,0.7894736842105263,0.7272727272727273,0.8888888888888888,0.8,0.5955432118425306
10,gini,10,2,1,3,0.5,0.7368421052631579,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.4893451639269458
10,gini,10,2,1,3,0.6,0.7894736842105263,1.0,0.5555555555555556,0.7142857142857143,0.629940788348712
10,gini,10,2,1,3,0.7000000000000001,0.631578947368421,1.0,0.2222222222222222,0.36363636363636365,0.3615507630310936
10,gini,10,2,1,3,0.8,0.631578947368421,1.0,0.2222222222222222,0.36363636363636365,0.3615507630310936
10,gini,10,2,1,3,0.9,0.5789473684210527,1.0,0.1111111111111111,0.2,0.24845199749997662
10,gini,10,2,1,4,0.1,0.5263157894736842,0.5,1.0,0.6666666666666666,0.22360679774997896
10,gini,10,2,1,4,0.2,0.5263157894736842,0.5,1.0,0.6666666666666666,0.22360679774997896
10,gini,10,2,1,4,0.30000000000000004,0.7368421052631579,0.6428571428571429,1.0,0.782608695652174,0.5669467095138409
10,gini,10,2,1,4,0.4,0.7368421052631579,0.6428571428571429,1.0,0.782608695652174,0.5669467095138409
10,gini,10,2,1,4,0.5,0.7894736842105263,0.6923076923076923,1.0,0.8181818181818182,0.6445033866354896
10,gini,10,2,1,4,0.6,0.7368421052631579,0.7,0.7777777777777778,0.7368421052631579,0.4777777777777778
10,gini,10,2,1,4,0.7000000000000001,0.5263157894736842,0.5,0.1111111111111111,0.18181818181818182,0.018077538151554683
10,gini,10,2,1,4,0.8,0.5263157894736842,0.5,0.1111111111111111,0.18181818181818182,0.018077538151554683
10,gini,10,2,1,4,0.9,0.5263157894736842,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.1,0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923,0.24253562503633297
10,gini,10,2,1,5,0.2,0.7222222222222222,0.6428571428571429,1.0,0.782608695652174,0.5345224838248488
10,gini,10,2,1,5,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
10,gini,10,2,1,5,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
10,gini,10,2,1,5,0.5,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.4714045207910316
10,gini,10,2,1,5,0.6,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.14907119849998599
10,gini,10,2,1,5,0.7000000000000001,0.5,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.8,0.5,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.9,0.5,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.1,0.5789473684210527,0.5555555555555556,1.0,0.7142857142857143,0.24845199749997662
10,entropy,10,2,1,1,0.2,0.6842105263157895,0.625,1.0,0.7692307692307693,0.45643546458763845
10,entropy,10,2,1,1,0.30000000000000004,0.631578947368421,0.7142857142857143,0.5,0.5882352941176471,0.2875273163926476
10,entropy,10,2,1,1,0.4,0.631578947368421,0.7142857142857143,0.5,0.5882352941176471,0.2875273163926476
10,entropy,10,2,1,1,0.5,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
10,entropy,10,2,1,1,0.6,0.5263157894736842,1.0,0.1,0.18181818181818182,0.22360679774997896
10,entropy,10,2,1,1,0.7000000000000001,0.47368421052631576,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.8,0.47368421052631576,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.9,0.47368421052631576,1.0,0.0,0.0,0.0
