n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
3,uniform,cosine,1,0.1,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
3,uniform,cosine,1,0.2,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
3,uniform,cosine,1,0.30000000000000004,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
3,uniform,cosine,1,0.4,0.8360655737704918,0.5,0.2,0.2857142857142857,0.24047024221824384
3,uniform,cosine,1,0.5,0.8360655737704918,0.5,0.2,0.2857142857142857,0.24047024221824384
3,uniform,cosine,1,0.6,0.8360655737704918,0.5,0.2,0.2857142857142857,0.24047024221824384
3,uniform,cosine,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
3,uniform,cosine,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
3,uniform,cosine,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
3,uniform,cosine,2,0.1,0.8,0.4375,0.7,0.5384615384615384,0.43822991060110733
3,uniform,cosine,2,0.2,0.8,0.4375,0.7,0.5384615384615384,0.43822991060110733
3,uniform,cosine,2,0.30000000000000004,0.8,0.4375,0.7,0.5384615384615384,0.43822991060110733
3,uniform,cosine,2,0.4,0.8833333333333333,0.7142857142857143,0.5,0.5882352941176471,0.5340179792444579
3,uniform,cosine,2,0.5,0.8833333333333333,0.7142857142857143,0.5,0.5882352941176471,0.5340179792444579
3,uniform,cosine,2,0.6,0.8833333333333333,0.7142857142857143,0.5,0.5882352941176471,0.5340179792444579
3,uniform,cosine,2,0.7000000000000001,0.8833333333333333,1.0,0.3,0.46153846153846156,0.5129891760425771
3,uniform,cosine,2,0.8,0.8833333333333333,1.0,0.3,0.46153846153846156,0.5129891760425771
3,uniform,cosine,2,0.9,0.8833333333333333,1.0,0.3,0.46153846153846156,0.5129891760425771
3,uniform,cosine,3,0.1,0.8,0.4,0.6666666666666666,0.5,0.40422604172722165
3,uniform,cosine,3,0.2,0.8,0.4,0.6666666666666666,0.5,0.40422604172722165
3,uniform,cosine,3,0.30000000000000004,0.8,0.4,0.6666666666666666,0.5,0.40422604172722165
3,uniform,cosine,3,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,uniform,cosine,3,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,uniform,cosine,3,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,uniform,cosine,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,cosine,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,cosine,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,cosine,4,0.1,0.85,0.5,0.7777777777777778,0.6086956521739131,0.5407518998772
3,uniform,cosine,4,0.2,0.85,0.5,0.7777777777777778,0.6086956521739131,0.5407518998772
3,uniform,cosine,4,0.30000000000000004,0.85,0.5,0.7777777777777778,0.6086956521739131,0.5407518998772
3,uniform,cosine,4,0.4,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
3,uniform,cosine,4,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
3,uniform,cosine,4,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
3,uniform,cosine,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
3,uniform,cosine,4,0.8,0.85,1.0,0.0,0.0,0.0
3,uniform,cosine,4,0.9,0.85,1.0,0.0,0.0,0.0
3,uniform,cosine,5,0.1,0.7833333333333333,0.3333333333333333,0.4444444444444444,0.38095238095238093,0.2567180154051351
3,uniform,cosine,5,0.2,0.7833333333333333,0.3333333333333333,0.4444444444444444,0.38095238095238093,0.2567180154051351
3,uniform,cosine,5,0.30000000000000004,0.7833333333333333,0.3333333333333333,0.4444444444444444,0.38095238095238093,0.2567180154051351
3,uniform,cosine,5,0.4,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
3,uniform,cosine,5,0.5,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
3,uniform,cosine,5,0.6,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
3,uniform,cosine,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
3,uniform,cosine,5,0.8,0.85,1.0,0.0,0.0,0.0
3,uniform,cosine,5,0.9,0.85,1.0,0.0,0.0,0.0
3,uniform,euclidean,1,0.1,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
3,uniform,euclidean,1,0.2,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
3,uniform,euclidean,1,0.30000000000000004,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
3,uniform,euclidean,1,0.4,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
3,uniform,euclidean,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
3,uniform,euclidean,1,0.6,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
3,uniform,euclidean,1,0.7000000000000001,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
3,uniform,euclidean,1,0.8,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
3,uniform,euclidean,1,0.9,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
3,uniform,euclidean,2,0.1,0.7,0.25,0.4,0.3076923076923077,0.13483997249264842
3,uniform,euclidean,2,0.2,0.7,0.25,0.4,0.3076923076923077,0.13483997249264842
3,uniform,euclidean,2,0.30000000000000004,0.7,0.25,0.4,0.3076923076923077,0.13483997249264842
3,uniform,euclidean,2,0.4,0.85,0.6,0.3,0.4,0.3505839284808859
3,uniform,euclidean,2,0.5,0.85,0.6,0.3,0.4,0.3505839284808859
3,uniform,euclidean,2,0.6,0.85,0.6,0.3,0.4,0.3505839284808859
3,uniform,euclidean,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
3,uniform,euclidean,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
3,uniform,euclidean,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
3,uniform,euclidean,3,0.1,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
3,uniform,euclidean,3,0.2,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
3,uniform,euclidean,3,0.30000000000000004,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
3,uniform,euclidean,3,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,uniform,euclidean,3,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,uniform,euclidean,3,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,uniform,euclidean,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,euclidean,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,euclidean,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,euclidean,4,0.1,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
3,uniform,euclidean,4,0.2,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
3,uniform,euclidean,4,0.30000000000000004,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
3,uniform,euclidean,4,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
3,uniform,euclidean,4,0.5,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
3,uniform,euclidean,4,0.6,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
3,uniform,euclidean,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
3,uniform,euclidean,4,0.8,0.85,1.0,0.0,0.0,0.0
3,uniform,euclidean,4,0.9,0.85,1.0,0.0,0.0,0.0
