fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.49504950495049505,0.23880597014925373,1.0,0.3855421686746988,0.3090669637145023
1,0.2,0.7821782178217822,0.4,0.75,0.5217391304347826,0.43008255310521637
1,0.30000000000000004,0.8316831683168316,0.4666666666666667,0.4375,0.45161290322580644,0.35257585782653333
1,0.4,0.8712871287128713,0.6666666666666666,0.375,0.48,0.4353688502932043
1,0.5,0.8712871287128713,0.7142857142857143,0.3125,0.43478260869565216,0.4154417599270597
1,0.6,0.8712871287128713,1.0,0.1875,0.3157894736842105,0.40327106395129336
1,0.7000000000000001,0.8415841584158416,1.0,0.0,0.0,0.0
1,0.8,0.8415841584158416,1.0,0.0,0.0,0.0
1,0.9,0.8415841584158416,1.0,0.0,0.0,0.0
2,0.1,0.6,0.2692307692307692,0.875,0.4117647058823529,0.31011759753023416
2,0.2,0.83,0.48,0.75,0.5853658536585366,0.5039526306789697
2,0.30000000000000004,0.88,0.7,0.4375,0.5384615384615384,0.49099025303098287
2,0.4,0.86,0.75,0.1875,0.3,0.3285086098506883
2,0.5,0.85,1.0,0.0625,0.11764705882352941,0.23028309323591917
2,0.6,0.85,1.0,0.0625,0.11764705882352941,0.23028309323591917
2,0.7000000000000001,0.84,1.0,0.0,0.0,0.0
2,0.8,0.84,1.0,0.0,0.0,0.0
2,0.9,0.84,1.0,0.0,0.0,0.0
3,0.1,0.56,0.22641509433962265,0.8,0.35294117647058826,0.22725480107141366
3,0.2,0.72,0.2903225806451613,0.6,0.391304347826087,0.2634078856355648
3,0.30000000000000004,0.78,0.3157894736842105,0.4,0.35294117647058826,0.22487239817113244
3,0.4,0.85,0.5,0.26666666666666666,0.34782608695652173,0.28904404865536687
3,0.5,0.88,0.8,0.26666666666666666,0.4,0.41762016803210306
3,0.6,0.88,1.0,0.2,0.3333333333333333,0.4186379485411743
3,0.7000000000000001,0.86,1.0,0.06666666666666667,0.125,0.23924685418842448
3,0.8,0.86,1.0,0.06666666666666667,0.125,0.23924685418842448
3,0.9,0.85,1.0,0.0,0.0,0.0
