fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.5643564356435643,0.25,0.875,0.3888888888888889,0.2798079406666843
1,0.2,0.801980198019802,0.42857142857142855,0.75,0.5454545454545454,0.458229936605442
1,0.30000000000000004,0.8613861386138614,0.5625,0.5625,0.5625,0.4801470588235294
1,0.4,0.8712871287128713,0.6666666666666666,0.375,0.48,0.4353688502932043
1,0.5,0.8316831683168316,0.3333333333333333,0.0625,0.10526315789473684,0.08381712309575902
1,0.6,0.8415841584158416,1.0,0.0,0.0,0.0
1,0.7000000000000001,0.8415841584158416,1.0,0.0,0.0,0.0
1,0.8,0.8415841584158416,1.0,0.0,0.0,0.0
1,0.9,0.8415841584158416,1.0,0.0,0.0,0.0
2,0.1,0.54,0.2413793103448276,0.875,0.3783783783783784,0.26085773696300146
2,0.2,0.77,0.3939393939393939,0.8125,0.5306122448979592,0.4478404264645756
2,0.30000000000000004,0.84,0.5,0.4375,0.4666666666666667,0.3741916351883901
2,0.4,0.85,0.5714285714285714,0.25,0.34782608695652173,0.30789480347447123
2,0.5,0.85,0.6,0.1875,0.2857142857142857,0.2753443958769674
2,0.6,0.84,0.5,0.0625,0.1111111111111111,0.1324894333575668
2,0.7000000000000001,0.84,1.0,0.0,0.0,0.0
2,0.8,0.84,1.0,0.0,0.0,0.0
2,0.9,0.84,1.0,0.0,0.0,0.0
3,0.1,0.54,0.23728813559322035,0.9333333333333333,0.3783783783783784,0.29324742176056307
3,0.2,0.77,0.36666666666666664,0.7333333333333333,0.4888888888888889,0.3972360153788916
3,0.30000000000000004,0.85,0.5,0.3333333333333333,0.4,0.32673201960653564
3,0.4,0.87,0.6666666666666666,0.26666666666666666,0.38095238095238093,0.36556705446656623
3,0.5,0.87,0.75,0.2,0.3157894736842105,0.34299717028501764
3,0.6,0.85,0.5,0.06666666666666667,0.11764705882352941,0.14002800840280097
3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
3,0.8,0.85,1.0,0.0,0.0,0.0
3,0.9,0.85,1.0,0.0,0.0,0.0
