n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,gini,10,2,1,1,0.1,0.45901639344262296,0.21951219512195122,0.9,0.35294117647058826,0.2149427425898842
10,gini,10,2,1,1,0.2,0.6885245901639344,0.3333333333333333,0.9,0.4864864864864865,0.4077535723676087
10,gini,10,2,1,1,0.30000000000000004,0.8688524590163934,0.6,0.6,0.6,0.5215686274509804
10,gini,10,2,1,1,0.4,0.8688524590163934,0.6666666666666666,0.4,0.5,0.4485137534646401
10,gini,10,2,1,1,0.5,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
10,gini,10,2,1,1,0.6,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
10,gini,10,2,1,1,0.7000000000000001,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
10,gini,10,2,1,1,0.8,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
10,gini,10,2,1,1,0.9,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
10,gini,10,2,1,2,0.1,0.55,0.2571428571428571,0.9,0.4,0.2872529994870127
10,gini,10,2,1,2,0.2,0.7166666666666667,0.3333333333333333,0.7,0.45161290322580644,0.3281650616569468
10,gini,10,2,1,2,0.30000000000000004,0.8166666666666667,0.4666666666666667,0.7,0.56,0.46475800154489
10,gini,10,2,1,2,0.4,0.85,0.5384615384615384,0.7,0.6086956521739131,0.5246774396826565
10,gini,10,2,1,2,0.5,0.85,0.6,0.3,0.4,0.3505839284808859
10,gini,10,2,1,2,0.6,0.85,0.6666666666666666,0.2,0.3076923076923077,0.30779350562554625
10,gini,10,2,1,2,0.7000000000000001,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
10,gini,10,2,1,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
10,gini,10,2,1,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
10,gini,10,2,1,3,0.1,0.4166666666666667,0.20454545454545456,1.0,0.33962264150943394,0.25332019855244947
10,gini,10,2,1,3,0.2,0.5833333333333334,0.25,0.8888888888888888,0.3902439024390244,0.2993924754260479
10,gini,10,2,1,3,0.30000000000000004,0.8833333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6067880364121375
10,gini,10,2,1,3,0.4,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
10,gini,10,2,1,3,0.5,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
10,gini,10,2,1,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
10,gini,10,2,1,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,3,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,3,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,4,0.1,0.48333333333333334,0.21052631578947367,0.8888888888888888,0.3404255319148936,0.22277661714472866
10,gini,10,2,1,4,0.2,0.6666666666666666,0.28,0.7777777777777778,0.4117647058823529,0.3076976944152481
10,gini,10,2,1,4,0.30000000000000004,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
10,gini,10,2,1,4,0.4,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
10,gini,10,2,1,4,0.5,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
10,gini,10,2,1,4,0.6,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
10,gini,10,2,1,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,4,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,4,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.1,0.6666666666666666,0.2962962962962963,0.8888888888888888,0.4444444444444444,0.3705980682526575
10,gini,10,2,1,5,0.2,0.7166666666666667,0.3,0.6666666666666666,0.41379310344827586,0.2970442628930023
10,gini,10,2,1,5,0.30000000000000004,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
10,gini,10,2,1,5,0.4,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
10,gini,10,2,1,5,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,1,5,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,1,5,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,1,5,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,1,5,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,entropy,10,2,1,1,0.1,0.5737704918032787,0.2777777777777778,1.0,0.43478260869565216,0.36900620230837305
10,entropy,10,2,1,1,0.2,0.6885245901639344,0.2857142857142857,0.6,0.3870967741935484,0.23834160922733494
10,entropy,10,2,1,1,0.30000000000000004,0.8524590163934426,0.5714285714285714,0.4,0.47058823529411764,0.39629469648388077
10,entropy,10,2,1,1,0.4,0.8360655737704918,0.5,0.3,0.375,0.29982169389212354
10,entropy,10,2,1,1,0.5,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
10,entropy,10,2,1,1,0.6,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
10,entropy,10,2,1,1,0.7000000000000001,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
10,entropy,10,2,1,1,0.8,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
10,entropy,10,2,1,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
10,entropy,10,2,1,2,0.1,0.5,0.23684210526315788,0.9,0.375,0.24747528995589838
10,entropy,10,2,1,2,0.2,0.7333333333333333,0.375,0.9,0.5294117647058824,0.45643546458763845
10,entropy,10,2,1,2,0.30000000000000004,0.8333333333333334,0.5,0.6,0.5454545454545454,0.447213595499958
10,entropy,10,2,1,2,0.4,0.8333333333333334,0.5,0.6,0.5454545454545454,0.447213595499958
10,entropy,10,2,1,2,0.5,0.8166666666666667,0.42857142857142855,0.3,0.35294117647058826,0.25539990311691463
10,entropy,10,2,1,2,0.6,0.8166666666666667,0.4,0.2,0.26666666666666666,0.18877596148970777
10,entropy,10,2,1,2,0.7000000000000001,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
10,entropy,10,2,1,2,0.8,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
