n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
50,10,5,2,gini,0.8679370840895343,0.71,0.22222222222222218,0.31932067932067937,0.33705180760460735,0.17683201145822144
100,10,5,2,gini,0.8713853599516032,0.7333333333333333,0.22222222222222224,0.3222510822510823,0.3476384405828383,0.17683204270805516
200,10,5,2,gini,0.8715063520871145,0.9333333333333332,0.2,0.2897435897435897,0.30186384340804995,0.17683206076374822
50,10,10,2,gini,0.8749546279491834,0.95,0.22222222222222224,0.32811188811188813,0.36614193300237174,0.1768320760416423
100,10,10,2,gini,0.8714458560193588,0.9333333333333332,0.2,0.2895238095238095,0.3327652605931912,0.17683209027786184
200,10,10,2,gini,0.8610405323653962,0.7333333333333333,0.15555555555555556,0.23939393939393935,0.2514812555078276,0.17683210486090198
50,10,5,5,gini,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683212048602096
100,10,5,5,gini,0.8646098003629763,1.0,0.13333333333333333,0.21272727272727274,0.25886943115555183,0.17683214791638116
200,10,5,5,gini,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683216527762446
50,10,10,5,gini,0.8714458560193588,1.0,0.17777777777777778,0.28545454545454546,0.34707017375791044,0.176832179513844
100,10,10,5,gini,0.8646098003629763,1.0,0.13333333333333333,0.21272727272727274,0.25886943115555183,0.17683219305561376
200,10,10,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.1768322069442042
50,20,5,2,gini,0.8644888082274653,0.7,0.2,0.2846153846153846,0.2760612203351175,0.17683222083319883
100,20,5,2,gini,0.8715668481548701,0.95,0.2,0.305034965034965,0.3482050771503899,0.17683223437496862
200,20,5,2,gini,0.8784029038112522,1.0,0.22222222222222218,0.33580419580419585,0.3858800104109759,0.17683224756951355
50,20,10,2,gini,0.8680580762250454,0.9333333333333332,0.17777777777777776,0.26666666666666666,0.2838431163352391,0.1768322611108791
100,20,10,2,gini,0.8715063520871145,0.9,0.2,0.30909090909090914,0.3418290957084031,0.17683227569432347
200,20,10,2,gini,0.8715668481548701,0.9333333333333332,0.2,0.30666666666666664,0.3455644563200759,0.17683228993054298
50,20,5,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.22545454545454544,0.29991627071884486,0.17683230381953763
100,20,5,5,gini,0.8575922565033274,1.0,0.08888888888888888,0.15272727272727274,0.21172456035002515,0.17683231701367833
200,20,5,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683233055544811
50,20,10,5,gini,0.8575922565033274,1.0,0.08888888888888888,0.15272727272727274,0.21172456035002515,0.17683234409721788
100,20,10,5,gini,0.8645493042952207,1.0,0.13333333333333333,0.2127272727272727,0.25887846338909076,0.17683235659731306
200,20,10,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.1768323694442289
50,30,5,2,gini,0.8748941318814276,1.0,0.19999999999999998,0.3085314685314685,0.36509090083072127,0.17683238229154893
100,30,5,2,gini,0.8679370840895343,0.8,0.17777777777777776,0.26853146853146853,0.29170663958719567,0.17683239618054358
200,30,5,2,gini,0.8680580762250454,0.95,0.17777777777777776,0.26503496503496504,0.28648373716555314,0.17683240937508848
50,30,10,2,gini,0.8679975801572898,0.9,0.17777777777777776,0.28181818181818186,0.32103998612814844,0.17683242256922918
100,30,10,2,gini,0.8749546279491834,1.0,0.2,0.32545454545454544,0.4087915137427472,0.1768324357637741
200,30,10,2,gini,0.8715063520871145,1.0,0.17777777777777776,0.27272727272727276,0.3060477733417964,0.17683244756941954
50,30,5,5,gini,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257,0.17683246076396447
100,30,5,5,gini,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683247326365542
200,30,5,5,gini,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683248645820035
50,30,10,5,gini,0.8714458560193588,1.0,0.17777777777777778,0.28545454545454546,0.34707017375791044,0.1768324993055204
100,30,10,5,gini,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257,0.17683251319451504
200,30,10,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.176832525694206
50,50,5,2,gini,0.8680580762250454,0.95,0.17777777777777776,0.27776223776223774,0.32741596757013525,0.17683253854152603
100,50,5,2,gini,0.8783424077434967,0.8,0.2444444444444444,0.37272727272727274,0.4034648742772527,0.1768325513888461
200,50,5,2,gini,0.8748941318814276,0.95,0.22222222222222218,0.31538461538461543,0.32521873483132846,0.17683256388894128
50,50,10,2,gini,0.8715063520871145,1.0,0.17777777777777776,0.28545454545454546,0.3469800037463785,0.1768325777775317
100,50,10,2,gini,0.8715063520871145,0.9333333333333332,0.2,0.2897435897435897,0.30186384340804995,0.17683259062485174
200,50,10,2,gini,0.8680580762250454,0.95,0.17777777777777776,0.27776223776223774,0.32741596757013525,0.17683260416662153
50,50,5,5,gini,0.8715063520871145,1.0,0.17777777777777776,0.27272727272727276,0.3060477733417964,0.17683261805561618
100,50,5,5,gini,0.8610405323653962,1.0,0.11111111111111112,0.18545454545454546,0.23810476072247613,0.17683263090253198
200,50,5,5,gini,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683264374985205
50,50,10,5,gini,0.8576527525710829,1.0,0.08888888888888888,0.14545454545454545,0.17626881157892854,0.17683265590272235
100,50,10,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683266875004242
200,50,10,5,gini,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683268159695822
50,10,5,2,entropy,0.8679370840895343,0.8,0.17777777777777776,0.27272727272727276,0.29448405432817837,0.17683269583317773
100,10,5,2,entropy,0.8748336358136722,0.9333333333333332,0.22222222222222224,0.32974358974358975,0.3635852771202505,0.17683270902772266
200,10,5,2,entropy,0.8818511796733212,1.0,0.2444444444444444,0.3630769230769231,0.40667815222476944,0.17683272465284164
50,10,10,2,entropy,0.8714458560193588,1.0,0.17777777777777778,0.28545454545454546,0.34707017375791044,0.17683273749975748
100,10,10,2,entropy,0.8646098003629763,0.9333333333333332,0.15555555555555553,0.2393939393939394,0.2630449745214456,0.17683275104152724
200,10,10,2,entropy,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257,0.17683276493052189
50,10,5,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683277812506681
100,10,5,5,entropy,0.8715063520871145,1.0,0.17777777777777776,0.27272727272727276,0.3060477733417964,0.17683279097198262
200,10,5,5,entropy,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683280416652755
50,10,10,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683281666662273
100,10,10,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683282916671791
