fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.18032786885245902,0.14285714285714285,0.8,0.24242424242424243,-0.19053220464898674
1,0.2,0.819672131147541,0.4,0.2,0.26666666666666666,0.19053220464898674
1,0.30000000000000004,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
1,0.4,0.8360655737704918,1.0,0.0,0.0,0.0
1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
2,0.1,0.38333333333333336,0.2,0.9,0.32727272727272727,0.15491933384829668
2,0.2,0.85,0.5454545454545454,0.6,0.5714285714285714,0.4815713303308872
2,0.30000000000000004,0.8166666666666667,0.4,0.2,0.26666666666666666,0.18877596148970777
2,0.4,0.8,0.25,0.1,0.14285714285714285,0.05976143046671968
2,0.5,0.8,0.0,0.0,0.0,-0.08304547985373997
2,0.6,0.8,0.0,0.0,0.0,-0.08304547985373997
2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
3,0.1,0.6166666666666667,0.25,0.7777777777777778,0.3783783783783784,0.2619684159977919
3,0.2,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
3,0.30000000000000004,0.85,0.5,0.3333333333333333,0.4,0.32673201960653564
3,0.4,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
3,0.5,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
3,0.6,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
3,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
3,0.8,0.85,1.0,0.0,0.0,0.0
3,0.9,0.85,1.0,0.0,0.0,0.0
4,0.1,0.4,0.2,1.0,0.3333333333333333,0.242535625036333
4,0.2,0.95,0.75,1.0,0.8571428571428571,0.8401680504168058
4,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
4,0.4,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
4,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
4,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
4,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
4,0.8,0.85,1.0,0.0,0.0,0.0
4,0.9,0.85,1.0,0.0,0.0,0.0
5,0.1,0.5,0.23076923076923078,1.0,0.375,0.3082573996425538
5,0.2,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
5,0.30000000000000004,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
5,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
5,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
5,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
5,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
5,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
5,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
