eta,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,50,1,0.1,0.16393442622950818,0.16393442622950818,1.0,0.28169014084507044,0.0
0.01,3,50,1,0.2,0.7704918032786885,0.3,0.3,0.3,0.1627450980392157
0.01,3,50,1,0.30000000000000004,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.01,3,50,1,0.4,0.819672131147541,0.0,0.0,0.0,-0.05716619504750294
0.01,3,50,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,50,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,50,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,50,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,50,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,50,2,0.1,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0
0.01,3,50,2,0.2,0.75,0.38095238095238093,0.8,0.5161290322580645,0.4219265078446459
0.01,3,50,2,0.30000000000000004,0.9166666666666666,0.8571428571428571,0.6,0.7058823529411765,0.6733270173082295
0.01,3,50,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,50,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,50,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,50,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,50,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,50,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,50,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,3,50,3,0.2,0.8166666666666667,0.4375,0.7777777777777778,0.56,0.48553038055886144
0.01,3,50,3,0.30000000000000004,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
0.01,3,50,3,0.4,0.85,0.5,0.3333333333333333,0.4,0.32673201960653564
0.01,3,50,3,0.5,0.85,1.0,0.0,0.0,0.0
0.01,3,50,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,50,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,50,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,50,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,50,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,3,50,4,0.2,0.7666666666666667,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.35735948550863555
0.01,3,50,4,0.30000000000000004,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
0.01,3,50,4,0.4,0.85,1.0,0.0,0.0,0.0
0.01,3,50,4,0.5,0.85,1.0,0.0,0.0,0.0
0.01,3,50,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,50,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,50,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,50,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,50,5,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,3,50,5,0.2,0.7333333333333333,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.2537770259409151
0.01,3,50,5,0.30000000000000004,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,50,5,0.4,0.85,1.0,0.0,0.0,0.0
0.01,3,50,5,0.5,0.85,1.0,0.0,0.0,0.0
0.01,3,50,5,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,50,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,50,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,50,5,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,1,0.1,0.45901639344262296,0.21951219512195122,0.9,0.35294117647058826,0.2149427425898842
0.01,3,100,1,0.2,0.8032786885245902,0.375,0.3,0.3333333333333333,0.22149769358819713
0.01,3,100,1,0.30000000000000004,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
0.01,3,100,1,0.4,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.01,3,100,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,100,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,100,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,100,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,100,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,100,2,0.1,0.5,0.25,1.0,0.4,0.3162277660168379
0.01,3,100,2,0.2,0.7833333333333333,0.42105263157894735,0.8,0.5517241379310345,0.46466960669809276
