n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,gini,10,2,1,1,0.1,0.5333333333333333,0.24324324324324326,1.0,0.391304347826087,0.3312067831843801
10,gini,10,2,1,1,0.2,0.6666666666666666,0.28,0.7777777777777778,0.4117647058823529,0.3076976944152481
10,gini,10,2,1,1,0.30000000000000004,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21568627450980393
10,gini,10,2,1,1,0.4,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21568627450980393
10,gini,10,2,1,1,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
10,gini,10,2,1,1,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,1,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,1,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,1,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,2,0.1,0.5,0.21621621621621623,0.8888888888888888,0.34782608695652173,0.23520481704398008
10,gini,10,2,1,2,0.2,0.75,0.36363636363636365,0.8888888888888888,0.5161290322580645,0.4552391741653151
10,gini,10,2,1,2,0.30000000000000004,0.8833333333333333,0.625,0.5555555555555556,0.5882352941176471,0.5217732845620352
10,gini,10,2,1,2,0.4,0.8833333333333333,0.625,0.5555555555555556,0.5882352941176471,0.5217732845620352
10,gini,10,2,1,2,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
10,gini,10,2,1,2,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
10,gini,10,2,1,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,gini,10,2,1,2,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,gini,10,2,1,2,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,3,0.1,0.5166666666666667,0.2222222222222222,0.8888888888888888,0.35555555555555557,0.24772017853917946
10,gini,10,2,1,3,0.2,0.6666666666666666,0.23809523809523808,0.5555555555555556,0.3333333333333333,0.1810400601075316
10,gini,10,2,1,3,0.30000000000000004,0.8166666666666667,0.375,0.3333333333333333,0.35294117647058826,0.24715576637149037
10,gini,10,2,1,3,0.4,0.8333333333333334,0.42857142857142855,0.3333333333333333,0.375,0.2835257867105283
10,gini,10,2,1,3,0.5,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
10,gini,10,2,1,3,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,gini,10,2,1,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,3,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,3,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,4,0.1,0.5166666666666667,0.2222222222222222,0.8888888888888888,0.35555555555555557,0.24772017853917946
10,gini,10,2,1,4,0.2,0.7833333333333333,0.4,0.8888888888888888,0.5517241379310345,0.49507377148833714
10,gini,10,2,1,4,0.30000000000000004,0.9166666666666666,0.7,0.7777777777777778,0.7368421052631579,0.6888467201936644
10,gini,10,2,1,4,0.4,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
10,gini,10,2,1,4,0.5,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
10,gini,10,2,1,4,0.6,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
10,gini,10,2,1,4,0.7000000000000001,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
10,gini,10,2,1,4,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,1,4,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.1,0.5423728813559322,0.23529411764705882,0.8888888888888888,0.37209302325581395,0.2684060917068752
10,gini,10,2,1,5,0.2,0.7457627118644068,0.36363636363636365,0.8888888888888888,0.5161290322580645,0.45272252534823687
10,gini,10,2,1,5,0.30000000000000004,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077,0.26061310772712853
10,gini,10,2,1,5,0.4,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077,0.26061310772712853
10,gini,10,2,1,5,0.5,0.847457627118644,0.5,0.1111111111111111,0.18181818181818182,0.18101942213222266
10,gini,10,2,1,5,0.6,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
